Effective Date,Fund Name,Option Name,Asset Class Name,Int/Ext,Name/Kind of Investment Item,Currency,Stock ID,Listed Country,Units Held,% Ownership,Address,Value (AUD),Weighting
31 December 2024,ArtSuper,Lifecycle_Balanced_Pool_Superannuation,Cash,1,JPMORGAN CHASE & CO,AUD,,,,,,"$768,690,670",0.0318
31 December 2024,ArtSuper,Lifecycle_Balanced_Pool_Superannuation,Cash,1,MACQUARIE GROUP LTD.,USD,,,,,,"$102,509,351",0.0042
31 December 2024,ArtSuper,Lifecycle_Balanced_Pool_Superannuation,Cash,1,STATE STREET BANK AND TRUST,USD,,,,,,"$99,918,059",0.0040999999999999995
31 December 2024,ArtSuper,Lifecycle_Balanced_Pool_Superannuation,Cash,1,MACQUARIE GROUP LTD.,AUD,,,,,,"$94,489,865",0.0039000000000000003
31 December 2024,ArtSuper,Lifecycle_Balanced_Pool_Superannuation,Cash,1,STATE STREET BANK AND TRUST,AUD,,,,,,"$75,059,150",0.0031
31 December 2024,ArtSuper,Lifecycle_Balanced_Pool_Superannuation,Cash,1,MACQUARIE GROUP LTD.,EUR,,,,,,"$56,438,271",0.0023
31 December 2024,ArtSuper,Lifecycle_Balanced_Pool_Superannuation,Cash,1,MACQUARIE GROUP LTD.,JPY,,,,,,"$29,689,308",0.0012
31 December 2024,ArtSuper,Lifecycle_Balanced_Pool_Superannuation,Cash,1,NBN CO. LTD.,AUD,,,,,,"$25,937,766",0.0011
31 December 2024,ArtSuper,Lifecycle_Balanced_Pool_Superannuation,Cash,1,COMMONWEALTH BANK OF AUSTRALIA,AUD,,,,,,"$20,180,086",0.0008
31 December 2024,ArtSuper,Lifecycle_Balanced_Pool_Superannuation,Cash,1,MACQUARIE GROUP LTD.,GBP,,,,,,"$16,810,955",0.0007000000000000001
31 December 2024,ArtSuper,Lifecycle_Balanced_Pool_Superannuation,Cash,1,NATIONAL AUSTRALIA BANK LIMITED,AUD,,,,,,"$15,603,077",0.0006
31 December 2024,ArtSuper,Lifecycle_Balanced_Pool_Superannuation,Cash,1,SCENTRE GROUP LTD,AUD,,,,,,"$10,432,756",0.0004
31 December 2024,ArtSuper,Lifecycle_Balanced_Pool_Superannuation,Cash,1,BENDIGO & ADELAIDE BANK LTD.,AUD,,,,,,"$8,231,046",0.0003
31 December 2024,ArtSuper,Lifecycle_Balanced_Pool_Superannuation,Cash,1,PACCAR FINANCIAL PTY LTD,AUD,,,,,,"$7,245,271",0.0003
31 December 2024,ArtSuper,Lifecycle_Balanced_Pool_Superannuation,Cash,1,STATE STREET BANK AND TRUST,EUR,,,,,,"$7,068,896",0.0003
31 December 2024,ArtSuper,Lifecycle_Balanced_Pool_Superannuation,Cash,1,GPT RE LTD,AUD,,,,,,"$5,363,397",0.0002
31 December 2024,ArtSuper,Lifecycle_Balanced_Pool_Superannuation,Cash,1,MACQUARIE GROUP LTD.,KRW,,,,,,"$3,559,054",0.0001
31 December 2024,ArtSuper,Lifecycle_Balanced_Pool_Superannuation,Cash,1,MACQUARIE GROUP LTD.,CAD,,,,,,"$3,463,834",0.0001
