Effective Date,Fund Name,Option Name,Asset Class Name,Int/Ext,Name/Kind of Investment Item,Currency,Stock ID,Listed Country,Units Held,% Ownership,Address,Value (AUD),Weighting
31/12/2024,Care Super,Balanced,Cash,1,Australia and New Zealand Banking Group,AUD,,,,,,"110,893,396",0.0026
31/12/2024,Care Super,Balanced,Cash,1,Bank of America Merrill Lynch,AUD,,,,,,"2,160,863",0.0001
31/12/2024,Care Super,Balanced,Cash,1,Bank of America Merrill Lynch,USD,,,,,,"-860,394",0.0
31/12/2024,Care Super,Balanced,Cash,1,Bank of New York Mellon,USD,,,,,,"351,428",0.0
31/12/2024,Care Super,Balanced,Cash,1,The Bank Of Nova Scotia,AUD,,,,,,"140,846,685",0.0033
31/12/2024,Care Super,Balanced,Cash,1,Bank of Queensland,AUD,,,,,,"127,249,299",0.003
31/12/2024,Care Super,Balanced,Cash,1,Barclays Bank,AUD,,,,,,"107,590",0.0
31/12/2024,Care Super,Balanced,Cash,1,Barclays Bank,CAD,,,,,,"-76,536",0.0
31/12/2024,Care Super,Balanced,Cash,1,Barclays Bank,EUR,,,,,,"-662,516",0.0
31/12/2024,Care Super,Balanced,Cash,1,Barclays Bank,GBP,,,,,,"847,820",0.0
31/12/2024,Care Super,Balanced,Cash,1,Barclays Bank,ILS,,,,,,47,0.0
31/12/2024,Care Super,Balanced,Cash,1,Barclays Bank,JPY,,,,,,"-319,087",0.0
31/12/2024,Care Super,Balanced,Cash,1,Barclays Bank,NZD,,,,,,"-10,377",0.0
31/12/2024,Care Super,Balanced,Cash,1,Barclays Bank,SEK,,,,,,"17,608",0.0
31/12/2024,Care Super,Balanced,Cash,1,Barclays Bank,SGD,,,,,,"23,101",0.0
31/12/2024,Care Super,Balanced,Cash,1,Barclays Bank,THB,,,,,,"1,341",0.0
31/12/2024,Care Super,Balanced,Cash,1,Barclays Bank,USD,,,,,,"6,815,139",0.0002
31/12/2024,Care Super,Balanced,Cash,1,Bendigo and Adelaide Bank,AUD,,,,,,"109,399,820",0.0026
31/12/2024,Care Super,Balanced,Cash,1,BNP Paribas,USD,,,,,,"5,127,220",0.0001
31/12/2024,Care Super,Balanced,Cash,1,Canadian Imperial Bank of Commerce,AUD,,,,,,"179,177,870",0.0042
31/12/2024,Care Super,Balanced,Cash,1,Challenger,AUD,,,,,,"46,095,867",0.0011
31/12/2024,Care Super,Balanced,Cash,1,Citigroup,AUD,,,,,,"35,277,182",0.0008
31/12/2024,Care Super,Balanced,Cash,1,Citigroup,CAD,,,,,,"-8,079",0.0
31/12/2024,Care Super,Balanced,Cash,1,Citigroup,EUR,,,,,,"-255,336",0.0
31/12/2024,Care Super,Balanced,Cash,1,Citigroup,GBP,,,,,,"136,499",0.0
31/12/2024,Care Super,Balanced,Cash,1,Citigroup,JPY,,,,,,"44,753",0.0
31/12/2024,Care Super,Balanced,Cash,1,Citigroup,USD,,,,,,"5,453,846",0.0001
31/12/2024,Care Super,Balanced,Cash,1,Commonwealth Bank Of Australia,AUD,,,,,,"286,532,906",0.0068000000000000005
31/12/2024,Care Super,Balanced,Cash,1,Credit Agricole,AUD,,,,,,"179,606,716",0.0042
31/12/2024,Care Super,Balanced,Cash,1,Credit Union Australia,AUD,,,,,,"30,690,135",0.0007000000000000001
31/12/2024,Care Super,Balanced,Cash,1,Cuscal,AUD,,,,,,"3,701,202",0.0001
31/12/2024,Care Super,Balanced,Cash,1,DBS Bank Ltd,AUD,,,,,,"177,978,745",0.0042
31/12/2024,Care Super,Balanced,Cash,1,Deutsche Bank,USD,,,,,,"1,381,477",0.0
31/12/2024,Care Super,Balanced,Cash,1,Goldman Sachs,AUD,,,,,,"1,095,438",0.0
31/12/2024,Care Super,Balanced,Cash,1,Goldman Sachs,USD,,,,,,"-10,227,299",-0.0002
31/12/2024,Care Super,Balanced,Cash,1,HSBC Bank,CHF,,,,,,"4,772",0.0
31/12/2024,Care Super,Balanced,Cash,1,HSBC Bank,EUR,,,,,,"184,889",0.0
31/12/2024,Care Super,Balanced,Cash,1,HSBC Bank,GBP,,,,,,"42,778",0.0
31/12/2024,Care Super,Balanced,Cash,1,HSBC Bank,JPY,,,,,,"48,500",0.0
31/12/2024,Care Super,Balanced,Cash,1,HSBC Bank,USD,,,,,,"1,685,769",0.0
31/12/2024,Care Super,Balanced,Cash,1,ING Bank (Australia),AUD,,,,,,"171,379,074",0.004
31/12/2024,Care Super,Balanced,Cash,1,JP Morgan Chase & Co,AED,,,,,,706,0.0
31/12/2024,Care Super,Balanced,Cash,1,JP Morgan Chase & Co,AUD,,,,,,"532,686,006",0.0126
31/12/2024,Care Super,Balanced,Cash,1,JP Morgan Chase & Co,BRL,,,,,,"225,189",0.0
31/12/2024,Care Super,Balanced,Cash,1,JP Morgan Chase & Co,CAD,,,,,,"1,333,927",0.0
31/12/2024,Care Super,Balanced,Cash,1,JP Morgan Chase & Co,CHF,,,,,,"401,752",0.0
31/12/2024,Care Super,Balanced,Cash,1,JP Morgan Chase & Co,CNH,,,,,,"-131,396,730",-0.0031
31/12/2024,Care Super,Balanced,Cash,1,JP Morgan Chase & Co,CNY,,,,,,"132,330,249",0.0031
31/12/2024,Care Super,Balanced,Cash,1,JP Morgan Chase & Co,COP,,,,,,-4,0.0
31/12/2024,Care Super,Balanced,Cash,1,JP Morgan Chase & Co,CZK,,,,,,"1,459,488",0.0
31/12/2024,Care Super,Balanced,Cash,1,JP Morgan Chase & Co,DKK,,,,,,"98,042",0.0
31/12/2024,Care Super,Balanced,Cash,1,JP Morgan Chase & Co,EUR,,,,,,"6,140,744",0.0001
31/12/2024,Care Super,Balanced,Cash,1,JP Morgan Chase & Co,GBP,,,,,,"2,454,679",0.0001
31/12/2024,Care Super,Balanced,Cash,1,JP Morgan Chase & Co,HKD,,,,,,"1,592,797",0.0
31/12/2024,Care Super,Balanced,Cash,1,JP Morgan Chase & Co,HUF,,,,,,"61,022",0.0
31/12/2024,Care Super,Balanced,Cash,1,JP Morgan Chase & Co,IDR,,,,,,"10,470",0.0
31/12/2024,Care Super,Balanced,Cash,1,JP Morgan Chase & Co,ILS,,,,,,"333,138",0.0
31/12/2024,Care Super,Balanced,Cash,1,JP Morgan Chase & Co,INR,,,,,,"233,925",0.0
31/12/2024,Care Super,Balanced,Cash,1,JP Morgan Chase & Co,JPY,,,,,,"3,926,297",0.0001
31/12/2024,Care Super,Balanced,Cash,1,JP Morgan Chase & Co,KRW,,,,,,"12,130",0.0
31/12/2024,Care Super,Balanced,Cash,1,JP Morgan Chase & Co,MXN,,,,,,"304,722",0.0
31/12/2024,Care Super,Balanced,Cash,1,JP Morgan Chase & Co,NOK,,,,,,"22,800",0.0
31/12/2024,Care Super,Balanced,Cash,1,JP Morgan Chase & Co,NZD,,,,,,"165,070",0.0
31/12/2024,Care Super,Balanced,Cash,1,JP Morgan Chase & Co,PHP,,,,,,"1,218",0.0
31/12/2024,Care Super,Balanced,Cash,1,JP Morgan Chase & Co,PLN,,,,,,"132,982",0.0
31/12/2024,Care Super,Balanced,Cash,1,JP Morgan Chase & Co,RON,,,,,,"5,570",0.0
