Portfolio Holdings Information for Investment Option: Growth Accumulation Option - Assets,,,,,,,,,,,,,
Section,Table Order,Security Name,Portfolio Name,Manager Name,Issuer,Institution,Security Identifier,Ownership%,Address,Local Currency,Units Held,Market Value,Weight
Cash,1,,,,,BANK OF AMERICA,,,,AUD,,85733537.75,0.11%
Cash,1,,,,,BANK OF AMERICA,,,,GBP,,-13247.14,0.00%
Cash,1,,,,,BANQUE NATIONALE DE PARIS,,,,AUD,,510443.76,0.00%
Cash,1,,,,,BARCLAYS PLC,,,,AUD,,0.15,0.00%
Cash,1,,,,,BARCLAYS PLC,,,,EUR,,,0.00%
Cash,1,,,,,BARCLAYS PLC,,,,GBP,,,0.00%
Cash,1,,,,,BARCLAYS PLC,,,,USD,,-2188445.69,0.00%
Cash,1,,,,,CITIGROUP,,,,AUD,,165622943,0.22%
Cash,1,,,,,CITIGROUP,,,,EUR,,398280.13,0.00%
Cash,1,,,,,CITIGROUP,,,,GBP,,561878.4,0.00%
Cash,1,,,,,CITIGROUP,,,,JPY,,1824147.95,0.00%
Cash,1,,,,,CITIGROUP,,,,USD,,-842350.27,0.00%
Cash,1,,,,,COMMONWEALTH BANK OF AUSTRALIA,,,,AUD,,208149076.8,0.27%
Cash,1,,,,,DEUTSCHE BANK,,,,AUD,,-1134319.47,0.00%
Cash,1,,,,,GOLDMAN SACHS,,,,AUD,,8576715.57,0.01%
Cash,1,,,,,HONG KONG AND SHANGHAI BANKING CORPORATION,,,,AUD,,-245769.22,0.00%
Cash,1,,,,,HONG KONG AND SHANGHAI BANKING CORPORATION,,,,USD,,0.26,0.00%
Cash,1,,,,,JP MORGAN,,,,AED,,150778.99,0.00%
Cash,1,,,,,JP MORGAN,,,,AUD,,287560721.3,0.38%
Cash,1,,,,,JP MORGAN,,,,BRL,,4425470.08,0.01%
Cash,1,,,,,JP MORGAN,,,,CAD,,2528910.04,0.00%
Cash,1,,,,,JP MORGAN,,,,CHF,,8882970.11,0.01%
Cash,1,,,,,JP MORGAN,,,,CLP,,257526.5,0.00%
Cash,1,,,,,JP MORGAN,,,,CNH,,1770.78,0.00%
Cash,1,,,,,JP MORGAN,,,,CNY,,2045940.56,0.00%
Cash,1,,,,,JP MORGAN,,,,COP,,152282.44,0.00%
Cash,1,,,,,JP MORGAN,,,,CZK,,32937.26,0.00%
Cash,1,,,,,JP MORGAN,,,,DKK,,9136428.45,0.01%
Cash,1,,,,,JP MORGAN,,,,EUR,,37646663.07,0.05%
Cash,1,,,,,JP MORGAN,,,,GBP,,9608930.79,0.01%
Cash,1,,,,,JP MORGAN,,,,HKD,,740806.84,0.00%
Cash,1,,,,,JP MORGAN,,,,HUF,,18464.47,0.00%
Cash,1,,,,,JP MORGAN,,,,IDR,,1517187.86,0.00%
Cash,1,,,,,JP MORGAN,,,,ILS,,176172.01,0.00%
Cash,1,,,,,JP MORGAN,,,,INR,,68092.47,0.00%
