Effective Date,Fund Name,Option Name,Asset Class Name,Int/Ext,Name/Kind of Investment Item,Currency,Stock ID,Listed Country,Units Held,% Ownership,Address,Value (AUD),Weighting
2024-12-31,Equip Super Fund,Balanced Growth,Cash,1,Australia & New Zealand Banking Group Ltd,AUD,,,0,,,6947763.35,0.00254818480081648
2024-12-31,Equip Super Fund,Balanced Growth,Cash,1,BNP Paribas SA,USD,,,0,,,-156634.1,-5.74476435815297e-05
2024-12-31,Equip Super Fund,Balanced Growth,Cash,1,Bank of Queensland Ltd,AUD,,,0,,,4568696.32,0.00167563026543337
2024-12-31,Equip Super Fund,Balanced Growth,Cash,1,Bendigo & Adelaide Bank Ltd,AUD,,,0,,,6425909.7,0.00235678802241418
2024-12-31,Equip Super Fund,Balanced Growth,Cash,1,Canadian Imperial Bank of Commerce,AUD,,,0,,,1849232.5,0.000678230663723541
2024-12-31,Equip Super Fund,Balanced Growth,Cash,1,Citigroup Inc,USD,,,0,,,-13385.35,-4.90925638940905e-06
2024-12-31,Equip Super Fund,Balanced Growth,Cash,1,Commonwealth Bank Of Australia,AUD,,,0,,,15131127.81,0.00554954277884599
2024-12-31,Equip Super Fund,Balanced Growth,Cash,1,Credit Agricole,AUD,,,0,,,524180.44,0.000192250161005424
2024-12-31,Equip Super Fund,Balanced Growth,Cash,1,Goldman Sachs,USD,,,0,,,716448.46,0.000262767019147969
2024-12-31,Equip Super Fund,Balanced Growth,Cash,1,MUFG Bank Ltd,AUD,,,0,,,2260616.97,0.0008291114012841
2024-12-31,Equip Super Fund,Balanced Growth,Cash,1,National Australia Bank Limited,AUD,,,0,,,12589382.32,0.0046173237458576
2024-12-31,Equip Super Fund,Balanced Growth,Cash,1,Norfina,AUD,,,0,,,3437330.55,0.00126068678626374
2024-12-31,Equip Super Fund,Balanced Growth,Cash,1,Northern Trust Corporation,AUD,,,0,,,22909136.42,0.00840223107848592
2024-12-31,Equip Super Fund,Balanced Growth,Cash,1,Northern Trust Corporation,BRL,,,0,,,16529.96,6.06258163558284e-06
2024-12-31,Equip Super Fund,Balanced Growth,Cash,1,Northern Trust Corporation,CAD,,,0,,,334475.56,0.000122673360750454
2024-12-31,Equip Super Fund,Balanced Growth,Cash,1,Northern Trust Corporation,CHF,,,0,,,407774.72,0.00014955681368911
2024-12-31,Equip Super Fund,Balanced Growth,Cash,1,Northern Trust Corporation,CLP,,,0,,,2323.07,8.5201768401507e-07
