PHD SCHEDULE 8D TABLE 1 - PORTFOLIO HOLDINGS INFORMATION FOR THE DIVERSIFIED MY SUPER OPTION  - ASSETS - 2024-12-31,,,,,,,,,,,,
ASSET CLASS,INTERNALLY MANAGED OR EXTERNALLY MANAGED,NAME OF INSTITUTION,NAME OF ISSUER / COUNTERPARTY,NAME OF FUND MANAGER,NAME / KIND OF INVESTMENT ITEM,CURRENCY,SECURITY IDENTIFIER,ADDRESS,% OWNERSHIP / PROPERTY HELD,UNITS HELD,VALUE(AUD),WEIGHTING(%)
CASH,-,MACQUARIE GROUP LTD.,-,-,-,AUD,-,-,,,"$105,326,287",1.01%
CASH,-,STATE STREET BANK AND TRUST,-,-,-,AUD,-,-,,,"$45,796,134",0.44%
CASH,-,STATE STREET BANK AND TRUST,-,-,-,USD,-,-,,,"$44,732,444",0.43%
CASH,-,UBS AG,-,-,-,USD,-,-,,,"$38,266,542",0.37%
CASH,-,STATE STREET BANK AND TRUST,-,-,-,EUR,-,-,,,"$13,682,413",0.13%
CASH,-,BARCLAYS BANK PLC,-,-,-,USD,-,-,,,"$7,020,216",0.07%
CASH,-,UBS AG,-,-,-,AUD,-,-,,,"$6,152,880",0.06%
CASH,-,THE BANK OF NEW YORK MELLON,-,-,-,AUD,-,-,,,"$5,827,238",0.06%
CASH,-,STATE STREET BANK AND TRUST,-,-,-,GBP,-,-,,,"$1,772,395",0.02%
CASH,-,AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED,-,-,-,USD,-,-,,,"$1,037,977",0.01%
CASH,-,STATE STREET BANK AND TRUST,-,-,-,RUB,-,-,,,"$793,015",0.01%
CASH,-,STATE STREET BANK AND TRUST,-,-,-,CAD,-,-,,,"$776,292",0.01%
CASH,-,"CITIGROUP, INC.",-,-,-,USD,-,-,,,"$745,393",0.01%
CASH,-,STATE STREET BANK AND TRUST,-,-,-,HKD,-,-,,,"$685,915",0.01%
CASH,-,STATE STREET BANK AND TRUST,-,-,-,JPY,-,-,,,"$574,430",0.01%
CASH,-,STATE STREET BANK AND TRUST,-,-,-,TWD,-,-,,,"$573,364",0.01%
CASH,-,STATE STREET BANK AND TRUST,-,-,-,CNH,-,-,,,"$488,017",0.00%
CASH,-,UBS AG,-,-,-,EUR,-,-,,,"$484,462",0.00%
CASH,-,"GOLDMAN SACHS GROUP, INC.",-,-,-,AUD,-,-,,,"$467,003",0.00%
CASH,-,JPMORGAN CHASE & CO,-,-,-,USD,-,-,,,"$445,341",0.00%
CASH,-,MACQUARIE GROUP LTD.,-,-,-,USD,-,-,,,"$440,388",0.00%
CASH,-,STATE STREET BANK AND TRUST,-,-,-,NOK,-,-,,,"$421,462",0.00%
CASH,-,"CITIGROUP, INC.",-,-,-,AUD,-,-,,,"$366,164",0.00%
CASH,-,STATE STREET BANK AND TRUST,-,-,-,SGD,-,-,,,"$283,103",0.00%
CASH,-,STATE STREET BANK AND TRUST,-,-,-,DKK,-,-,,,"$253,486",0.00%
CASH,-,STATE STREET BANK AND TRUST,-,-,-,SEK,-,-,,,"$235,632",0.00%
CASH,-,JPMORGAN CHASE & CO,-,-,-,AUD,-,-,,,"$199,039",0.00%
CASH,-,STATE STREET BANK AND TRUST,-,-,-,CHF,-,-,,,"$188,400",0.00%
CASH,-,"GOLDMAN SACHS GROUP, INC.",-,-,-,USD,-,-,,,"$177,152",0.00%
CASH,-,JPMORGAN CHASE & CO,-,-,-,GBP,-,-,,,"$175,580",0.00%
CASH,-,ROYAL BANK OF CANADA,-,-,-,AUD,-,-,,,"$146,672",0.00%
CASH,-,STATE STREET BANK AND TRUST,-,-,-,ILS,-,-,,,"$139,459",0.00%
