Effective Date,Fund Name,Option Name,Asset Class Name,Int/Ext,Name/Kind of Investment Item,CURRENCY,Stock ID,Listed Country,% Ownership,Units Held,Adress,Value (AUD),Weighting (%)
2024-12-31,NGS,Balanced Growth,CASH,1,MACQUARIE GROUP LTD.,AUD,,,,,-,105326287.0,1.01
2024-12-31,NGS,Balanced Growth,CASH,1,STATE STREET BANK AND TRUST,AUD,,,,,-,45796134.0,0.44
2024-12-31,NGS,Balanced Growth,CASH,1,STATE STREET BANK AND TRUST,USD,,,,,-,44732444.0,0.43
2024-12-31,NGS,Balanced Growth,CASH,1,UBS AG,USD,,,,,-,38266542.0,0.37
2024-12-31,NGS,Balanced Growth,CASH,1,STATE STREET BANK AND TRUST,EUR,,,,,-,13682413.0,0.13
2024-12-31,NGS,Balanced Growth,CASH,1,BARCLAYS BANK PLC,USD,,,,,-,7020216.0,0.07
2024-12-31,NGS,Balanced Growth,CASH,1,UBS AG,AUD,,,,,-,6152880.0,0.06
2024-12-31,NGS,Balanced Growth,CASH,1,THE BANK OF NEW YORK MELLON,AUD,,,,,-,5827238.0,0.06
2024-12-31,NGS,Balanced Growth,CASH,1,STATE STREET BANK AND TRUST,GBP,,,,,-,1772395.0,0.02
2024-12-31,NGS,Balanced Growth,CASH,1,AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED,USD,,,,,-,1037977.0,0.01
2024-12-31,NGS,Balanced Growth,CASH,1,STATE STREET BANK AND TRUST,RUB,,,,,-,793015.0,0.01
2024-12-31,NGS,Balanced Growth,CASH,1,STATE STREET BANK AND TRUST,CAD,,,,,-,776292.0,0.01
2024-12-31,NGS,Balanced Growth,CASH,1,"CITIGROUP, INC.",USD,,,,,-,745393.0,0.01
2024-12-31,NGS,Balanced Growth,CASH,1,STATE STREET BANK AND TRUST,HKD,,,,,-,685915.0,0.01
2024-12-31,NGS,Balanced Growth,CASH,1,STATE STREET BANK AND TRUST,JPY,,,,,-,574430.0,0.01
2024-12-31,NGS,Balanced Growth,CASH,1,STATE STREET BANK AND TRUST,TWD,,,,,-,573364.0,0.01
2024-12-31,NGS,Balanced Growth,CASH,1,STATE STREET BANK AND TRUST,CNH,,,,,-,488017.0,0.0
2024-12-31,NGS,Balanced Growth,CASH,1,UBS AG,EUR,,,,,-,484462.0,0.0
