Effective Date,Fund Name,Option Name,Asset Class Name,Int/Ext,Name/Kind of Investment Item,Currency,Stock ID,Listed Country,Units Held,% Ownership,Address,Value (AUD),Weighting (%)
2024-12-31,Vision Super Fund,Balanced growth,Cash,1,JP Morgan Chase,AUD,,,,,,-27694955.51,-0.38
2024-12-31,Vision Super Fund,Balanced growth,Cash,1,AUSTRALIA & NEW ZEALAND BANKING GROUP LTD,AUD,,,,,,4079515.22,0.06
2024-12-31,Vision Super Fund,Balanced growth,Cash,1,CITI GROUP,USD,,,,,,446108.0425,0.01
2024-12-31,Vision Super Fund,Balanced growth,Cash,1,Citibank,AUD,,,,,,110097.636,0
2024-12-31,Vision Super Fund,Balanced growth,Cash,1,COMMONWEALTH BANK OF AUSTRALIA,AUD,,,,,,76540348.17,1.06
2024-12-31,Vision Super Fund,Balanced growth,Cash,1,CREDIT AGRICOLE CORP,USD,,,,,,22078.4401,0
2024-12-31,Vision Super Fund,Balanced growth,Cash,1,FINISTERRE EMD TRF,AUD,,,,,,46840409.68,0.65
2024-12-31,Vision Super Fund,Balanced growth,Cash,1,FINISTERRE EMD TRF,BRL,,,,,,-2025471.676,-0.03
2024-12-31,Vision Super Fund,Balanced growth,Cash,1,FINISTERRE EMD TRF,CLP,,,,,,522578.2433,0.01
2024-12-31,Vision Super Fund,Balanced growth,Cash,1,FINISTERRE EMD TRF,CNH,,,,,,-3676120.725,-0.05
2024-12-31,Vision Super Fund,Balanced growth,Cash,1,FINISTERRE EMD TRF,CZK,,,,,,-3606.6793,0
2024-12-31,Vision Super Fund,Balanced growth,Cash,1,FINISTERRE EMD TRF,EGP,,,,,,703074.0965,0.01
2024-12-31,Vision Super Fund,Balanced growth,Cash,1,FINISTERRE EMD TRF,EUR,,,,,,-3343050.302,-0.05
2024-12-31,Vision Super Fund,Balanced growth,Cash,1,FINISTERRE EMD TRF,HUF,,,,,,0,0
2024-12-31,Vision Super Fund,Balanced growth,Cash,1,FINISTERRE EMD TRF,ILS,,,,,,1294277.291,0.02
2024-12-31,Vision Super Fund,Balanced growth,Cash,1,FINISTERRE EMD TRF,INR,,,,,,-1500839.954,-0.02
2024-12-31,Vision Super Fund,Balanced growth,Cash,1,FINISTERRE EMD TRF,MXN,,,,,,-1751776.865,-0.02
2024-12-31,Vision Super Fund,Balanced growth,Cash,1,FINISTERRE EMD TRF,NGN,,,,,,661958.7437,0.01
2024-12-31,Vision Super Fund,Balanced growth,Cash,1,FINISTERRE EMD TRF,PEN,,,,,,-1280737.558,-0.02
2024-12-31,Vision Super Fund,Balanced growth,Cash,1,FINISTERRE EMD TRF,PLN,,,,,,-1200555.009,-0.02
2024-12-31,Vision Super Fund,Balanced growth,Cash,1,FINISTERRE EMD TRF,THB,,,,,,-766039.1237,-0.01
2024-12-31,Vision Super Fund,Balanced growth,Cash,1,FINISTERRE EMD TRF,TRY,,,,,,1492675.389,0.02
2024-12-31,Vision Super Fund,Balanced growth,Cash,1,FINISTERRE EMD TRF,USD,,,,,,-30328902.55,-0.42
2024-12-31,Vision Super Fund,Balanced growth,Cash,1,FINISTERRE EMD TRF,ZAR,,,,,,-1134470.332,-0.02
2024-12-31,Vision Super Fund,Balanced growth,Cash,1,FINISTERRE EMD TRF,ZMW,,,,,,108501.0955,0
2024-12-31,Vision Super Fund,Balanced growth,Cash,1,Generation Investment Management LLP,USD,,,,,,99531.5846,0
2024-12-31,Vision Super Fund,Balanced growth,Cash,1,HSBC,USD,,,,,,247837.798,0
2024-12-31,Vision Super Fund,Balanced growth,Cash,1,IFM Investors Pty Ltd,AUD,,,,,,9859013.319,0.13999999999999999
2024-12-31,Vision Super Fund,Balanced growth,Cash,1,IFM Investors Pty Ltd,USD,,,,,,-6533076.62,-0.09
2024-12-31,Vision Super Fund,Balanced growth,Cash,1,International equities transition account,AUD,,,,,,53672.3707,0
2024-12-31,Vision Super Fund,Balanced growth,Cash,1,ISPT Pty Ltd,AUD,,,,,,3826125.566,0.05
2024-12-31,Vision Super Fund,Balanced growth,Cash,1,JP Morgan Chase,AUD,,,,,,83430408.82,1.16
2024-12-31,Vision Super Fund,Balanced growth,Cash,1,JP Morgan Chase,BRL,,,,,,133029.7574,0
2024-12-31,Vision Super Fund,Balanced growth,Cash,1,JP Morgan Chase,CAD,,,,,,569715.0435,0.01
2024-12-31,Vision Super Fund,Balanced growth,Cash,1,JP Morgan Chase,CHF,,,,,,56702.7358,0
2024-12-31,Vision Super Fund,Balanced growth,Cash,1,JP Morgan Chase,CNY,,,,,,112064.3882,0
2024-12-31,Vision Super Fund,Balanced growth,Cash,1,JP Morgan Chase,COP,,,,,,85.677,0
2024-12-31,Vision Super Fund,Balanced growth,Cash,1,JP Morgan Chase,CZK,,,,,,59861.348,0
2024-12-31,Vision Super Fund,Balanced growth,Cash,1,JP Morgan Chase,DKK,,,,,,64777.545,0
2024-12-31,Vision Super Fund,Balanced growth,Cash,1,JP Morgan Chase,EUR,,,,,,1109012.666,0.02
2024-12-31,Vision Super Fund,Balanced growth,Cash,1,JP Morgan Chase,GBP,,,,,,590082.9374,0.01
2024-12-31,Vision Super Fund,Balanced growth,Cash,1,JP Morgan Chase,HKD,,,,,,277265.0407,0
2024-12-31,Vision Super Fund,Balanced growth,Cash,1,JP Morgan Chase,HUF,,,,,,44377.0921,0
2024-12-31,Vision Super Fund,Balanced growth,Cash,1,JP Morgan Chase,ILS,,,,,,65608.9309,0
2024-12-31,Vision Super Fund,Balanced growth,Cash,1,JP Morgan Chase,INR,,,,,,9804.9315,0
2024-12-31,Vision Super Fund,Balanced growth,Cash,1,JP Morgan Chase,JPY,,,,,,413947.4174,0.01
2024-12-31,Vision Super Fund,Balanced growth,Cash,1,JP Morgan Chase,MXN,,,,,,220961.6726,0
2024-12-31,Vision Super Fund,Balanced growth,Cash,1,JP Morgan Chase,NOK,,,,,,65076.7596,0
2024-12-31,Vision Super Fund,Balanced growth,Cash,1,JP Morgan Chase,NZD,,,,,,61308.1397,0
2024-12-31,Vision Super Fund,Balanced growth,Cash,1,JP Morgan Chase,PLN,,,,,,43549.2724,0
2024-12-31,Vision Super Fund,Balanced growth,Cash,1,JP Morgan Chase,SAR,,,,,,184381.1758,0
2024-12-31,Vision Super Fund,Balanced growth,Cash,1,JP Morgan Chase,SEK,,,,,,71244.0259,0
2024-12-31,Vision Super Fund,Balanced growth,Cash,1,JP Morgan Chase,SGD,,,,,,30223.7975,0
2024-12-31,Vision Super Fund,Balanced growth,Cash,1,JP Morgan Chase,TRY,,,,,,42588.1202,0
2024-12-31,Vision Super Fund,Balanced growth,Cash,1,JP Morgan Chase,USD,,,,,,19874074.25,0.27999999999999997
2024-12-31,Vision Super Fund,Balanced growth,Cash,1,JP Morgan Chase,VND,,,,,,65050.1601,0
2024-12-31,Vision Super Fund,Balanced growth,Cash,1,JP Morgan Chase,ZAR,,,,,,38782.2822,0
2024-12-31,Vision Super Fund,Balanced growth,Cash,1,JPMORGAN CHASE & CO,USD,,,,,,-99135.1201,0
2024-12-31,Vision Super Fund,Balanced growth,Cash,1,Macquarie,AUD,,,,,,1947936.829,0.03
2024-12-31,Vision Super Fund,Balanced growth,Cash,1,Metrics Credit Partners Pty Ltd,AUD,,,,,,5661049.798,0.08
2024-12-31,Vision Super Fund,Balanced growth,Cash,1,NATIONAL AUSTRALIA BANK LTD,AUD,,,,,,85682230.81,1.1900000000000002
2024-12-31,Vision Super Fund,Balanced growth,Cash,1,Norfina Limited,AUD,,,,,,25026548,0.35000000000000003
2024-12-31,Vision Super Fund,Balanced growth,Cash,1,ROC Capital Pty Limited,AUD,,,,,,38381.1238,0
2024-12-31,Vision Super Fund,Balanced growth,Cash,1,STANDARD CHARTERED BANK,USD,,,,,,14954461.88,0.21
2024-12-31,Vision Super Fund,Balanced growth,Cash,1,"State Street Global Advisors, Australia, Limited",AUD,,,,,,18508.1574,0
2024-12-31,Vision Super Fund,Balanced growth,Cash,1,Vision Cash,AUD,,,,,,-2993821.553,-0.04
2024-12-31,Vision Super Fund,Balanced growth,Cash,1,Sub Total,,,,,,,303538343.6939,4.22
2024-12-31,Vision Super Fund,Balanced growth,Fixed Income Internal,0,AUSTRALIA & NEW ZEALAND BANKING GROUP LTD,,,,,,,11339775.29,0.16
2024-12-31,Vision Super Fund,Balanced growth,Fixed Income Internal,0,BANK OF QUEENSLAND LTD,,,,,,,41319805.2,0.5700000000000001
2024-12-31,Vision Super Fund,Balanced growth,Fixed Income Internal,0,BENDIGO & ADELAIDE BANK LTD,,,,,,,58424440.11,0.8099999999999999
2024-12-31,Vision Super Fund,Balanced growth,Fixed Income Internal,0,COMMONWEALTH BANK OF AUSTRALIA,,,,,,,34019584.34,0.47000000000000003
2024-12-31,Vision Super Fund,Balanced growth,Fixed Income Internal,0,Norfina Limited,,,,,,,126922848.1,1.76
2024-12-31,Vision Super Fund,Balanced growth,Fixed Income Internal,0,WESTPAC BANKING CORP,,,,,,,70747519.34,0.98
2024-12-31,Vision Super Fund,Balanced growth,Fixed Income Internal,0,Sub Total,,,,,,,342773972.38,4.75
2024-12-31,Vision Super Fund,Balanced growth,Fixed Income External,1,Amundi Singapore Limited,,,,,,,872351744.9,12.08
2024-12-31,Vision Super Fund,Balanced growth,Fixed Income External,1,Barings Global Advisers Limited,,,,,,,70867352.8,0.98
2024-12-31,Vision Super Fund,Balanced growth,Fixed Income External,1,"Brandywine Global Investment Management, LLC",,,,,,,117006712.3,1.6199999999999999
2024-12-31,Vision Super Fund,Balanced growth,Fixed Income External,1,IFM Investors Pty Ltd,,,,,,,210024351.1,2.91
2024-12-31,Vision Super Fund,Balanced growth,Fixed Income External,1,Metrics Credit Partners Pty Ltd,,,,,,,95187814.28,1.32
2024-12-31,Vision Super Fund,Balanced growth,Fixed Income External,1,Principal Global Investors (Australia) Limited,,,,,,,47410871.37,0.66
2024-12-31,Vision Super Fund,Balanced growth,Fixed Income External,1,Sub Total,,,,,,,1412848846.75,19.57
2024-12-31,Vision Super Fund,Balanced growth,Listed Equity,1,29METALS LTD COMMON STOCK AUD,,BNNVRL0,,2329363,,,570693.8542,0.01
2024-12-31,Vision Super Fund,Balanced growth,Listed Equity,1,3I GROUP PLC COMMON STOCK GBP 73.8636,,B1YW440,,34243,,,2468616.562,0.03
2024-12-31,Vision Super Fund,Balanced growth,Listed Equity,1,A2 MILK CO LTD/THE COMMON STOCK NZD 0,,2F5232S,,287841,,,1660843.259,0.02
2024-12-31,Vision Super Fund,Balanced growth,Listed Equity,1,ABB INDIA LTD COMMON STOCK INR 2,,B1Y9QS9,,6043,,,786440.0934,0.01
2024-12-31,Vision Super Fund,Balanced growth,Listed Equity,1,ABB LTD COMMON STOCK CHF 0.12,,7108899,,44228,,,3867102.445,0.05
2024-12-31,Vision Super Fund,Balanced growth,Listed Equity,1,ABBOTT LABORATORIES COMMON STOCK USD 0,,2002305,,39262,,,7174547.286,0.1
2024-12-31,Vision Super Fund,Balanced growth,Listed Equity,1,ABBVIE INC COMMON STOCK USD 0.01,,B92SR70,,35141,,,10090816.75,0.13999999999999999
2024-12-31,Vision Super Fund,Balanced growth,Listed Equity,1,ACCENT GROUP LTD COMMON STOCK AUD 0,,BD20RS5,,807271,,,1889015.276,0.03
