Effective Date,Fund Name,Option Name,Asset Class Name,Int/Ext,Name/Kind of Investment Item,Currency,Stock ID,Listed Country,Units Held,% Ownership,Address,Value (AUD),Weighting
31/12/2024,HESTA,Balanced Growth,Cash,1,JPMorgan Chase & Co,AED,,,,,,90349.30802,1.3e-06
31/12/2024,HESTA,Balanced Growth,Cash,1,JPMorgan Chase & Co,ARS,,,,,,11705.31485,1.7e-07
31/12/2024,HESTA,Balanced Growth,Cash,1,Australia Government Bond,AUD,,,,,,384994668.1,0.00555518
31/12/2024,HESTA,Balanced Growth,Cash,1,Australia & New Zealand Banking Group Ltd,AUD,,,,,,515530908.1,0.00743872
31/12/2024,HESTA,Balanced Growth,Cash,1,Bank of America Corp,AUD,,,,,,-7214699.672,-0.0001041
31/12/2024,HESTA,Balanced Growth,Cash,1,Bank of Nova Scotia/Australia,AUD,,,,,,110758384.4,0.00159816
31/12/2024,HESTA,Balanced Growth,Cash,1,Bank of Queensland Ltd,AUD,,,,,,15799693.63,0.00022798
31/12/2024,HESTA,Balanced Growth,Cash,1,Barclays Bank PLC,AUD,,,,,,-4108203.428,-5.928e-05
31/12/2024,HESTA,Balanced Growth,Cash,1,Bendigo & Adelaide Bank Ltd,AUD,,,,,,188010733.0,0.00271285
31/12/2024,HESTA,Balanced Growth,Cash,1,Canadian Imperial Bank of Commerce/Sydney,AUD,,,,,,44673772.49,0.00064461
31/12/2024,HESTA,Balanced Growth,Cash,1,Citigroup Inc,AUD,,,,,,141581188.6,0.00204291
31/12/2024,HESTA,Balanced Growth,Cash,1,Commonwealth Bank of Australia,AUD,,,,,,983688071.0,0.01419387
31/12/2024,HESTA,Balanced Growth,Cash,1,Cooperatieve Rabobank UA/Australia,AUD,,,,,,208210880.1,0.00300432
31/12/2024,HESTA,Balanced Growth,Cash,1,Credit Union Australia Ltd,AUD,,,,,,152498231.1,0.00220043
31/12/2024,HESTA,Balanced Growth,Cash,1,DBS Bank Ltd/Australia,AUD,,,,,,39909531.06,0.00057586
31/12/2024,HESTA,Balanced Growth,Cash,1,Defence Bank Ltd,AUD,,,,,,26860231.69,0.00038757
31/12/2024,HESTA,Balanced Growth,Cash,1,Goldman Sachs Group Inc/The,AUD,,,,,,-1684607.259,-2.431e-05
31/12/2024,HESTA,Balanced Growth,Cash,1,Great Southern Bank,AUD,,,,,,2501680.711,3.61e-05
31/12/2024,HESTA,Balanced Growth,Cash,1,Heritage and People's Choice Ltd,AUD,,,,,,23724533.92,0.00034233
31/12/2024,HESTA,Balanced Growth,Cash,1,HSBC Holdings PLC,AUD,,,,,,-10882894.78,-0.00015703
31/12/2024,HESTA,Balanced Growth,Cash,1,IMB Ltd,AUD,,,,,,20616376.5,0.00029748
31/12/2024,HESTA,Balanced Growth,Cash,1,ING Bank Australia Ltd,AUD,,,,,,15627794.84,0.0002255
31/12/2024,HESTA,Balanced Growth,Cash,1,JPMorgan Chase & Co,AUD,,,,,,436110167.9,0.00629274
31/12/2024,HESTA,Balanced Growth,Cash,1,Macquarie Bank Ltd,AUD,,,,,,111738493.2,0.0016123
31/12/2024,HESTA,Balanced Growth,Cash,1,Macquarie Group Ltd,AUD,,,,,,121052083.2,0.00174669
31/12/2024,HESTA,Balanced Growth,Cash,1,Merrill Lynch & Co,AUD,,,,,,-119487.9809,-1.72e-06
31/12/2024,HESTA,Balanced Growth,Cash,1,Mitsubishi UFJ Financial Group Inc,AUD,,,,,,37461505.9,0.00054054
31/12/2024,HESTA,Balanced Growth,Cash,1,Mizuho Bank Ltd/Sydney,AUD,,,,,,58263612.8,0.0008407
31/12/2024,HESTA,Balanced Growth,Cash,1,MSI Banking,AUD,,,,,,-0.04,0.0
31/12/2024,HESTA,Balanced Growth,Cash,1,MUFG Bank Ltd/Sydney,AUD,,,,,,109137863.0,0.00157478
31/12/2024,HESTA,Balanced Growth,Cash,1,National Australia Bank Ltd,AUD,,,,,,915738269.6,0.0132134
31/12/2024,HESTA,Balanced Growth,Cash,1,NBN Co Ltd,AUD,,,,,,164621536.6,0.00237536
31/12/2024,HESTA,Balanced Growth,Cash,1,Newcastle Greater Mutual Group Ltd,AUD,,,,,,43484230.41,0.00062744
31/12/2024,HESTA,Balanced Growth,Cash,1,Norfina Ltd,AUD,,,,,,175157601.3,0.00252739
31/12/2024,HESTA,Balanced Growth,Cash,1,Oversea-Chinese Banking Corp Ltd,AUD,,,,,,11972859.32,0.00017276
31/12/2024,HESTA,Balanced Growth,Cash,1,Police & Nurses Ltd,AUD,,,,,,85803883.1,0.00123808
31/12/2024,HESTA,Balanced Growth,Cash,1,Royal Bank of Canada,AUD,,,,,,165887369.2,0.00239363
31/12/2024,HESTA,Balanced Growth,Cash,1,Standard Chartered PLC,AUD,,,,,,35918577.96,0.00051828
31/12/2024,HESTA,Balanced Growth,Cash,1,State Street Corp,AUD,,,,,,-1869206.097,-2.697e-05
31/12/2024,HESTA,Balanced Growth,Cash,1,Sumitomo Mitsui Banking Corp/Sydney,AUD,,,,,,425390949.5,0.00613807
31/12/2024,HESTA,Balanced Growth,Cash,1,Suncorp Bank,AUD,,,,,,100349157.5,0.00144796
31/12/2024,HESTA,Balanced Growth,Cash,1,Teachers Mutual Bank Ltd,AUD,,,,,,59125637.75,0.00085314
31/12/2024,HESTA,Balanced Growth,Cash,1,UBS AG/Australia,AUD,,,,,,141016930.2,0.00203477
31/12/2024,HESTA,Balanced Growth,Cash,1,UBS Group AG,AUD,,,,,,-464702.2714,-6.71e-06
31/12/2024,HESTA,Balanced Growth,Cash,1,United Overseas Bank Ltd/Sydney,AUD,,,,,,45580110.09,0.00065769
31/12/2024,HESTA,Balanced Growth,Cash,1,Warburg Dillon,AUD,,,,,,1912579.339,2.76e-05
31/12/2024,HESTA,Balanced Growth,Cash,1,Westpac Banking Corp,AUD,,,,,,706608942.6,0.01019583
31/12/2024,HESTA,Balanced Growth,Cash,1,JPMorgan Chase & Co,BRL,,,,,,1578112.644,2.277e-05
31/12/2024,HESTA,Balanced Growth,Cash,1,Barclays Bank PLC,CAD,,,,,,931741.6871,1.344e-05
31/12/2024,HESTA,Balanced Growth,Cash,1,Citigroup Inc,CAD,,,,,,-2124742.629,-3.066e-05
31/12/2024,HESTA,Balanced Growth,Cash,1,Goldman Sachs Group Inc/The,CAD,,,,,,-330665.9216,-4.77e-06
31/12/2024,HESTA,Balanced Growth,Cash,1,JPMorgan Chase & Co,CAD,,,,,,3578515.757,5.164e-05
31/12/2024,HESTA,Balanced Growth,Cash,1,Merrill Lynch & Co,CAD,,,,,,-21547.04079,-3.1e-07
31/12/2024,HESTA,Balanced Growth,Cash,1,Barclays Bank PLC,CHF,,,,,,53857.00753,7.8e-07
31/12/2024,HESTA,Balanced Growth,Cash,1,CIT Bank,CHF,,,,,,2.058948,0.0
31/12/2024,HESTA,Balanced Growth,Cash,1,JPMorgan Chase & Co,CHF,,,,,,11842456.52,0.00017088
31/12/2024,HESTA,Balanced Growth,Cash,1,JPMorgan Chase & Co,CLP,,,,,,2528.526675,4e-08
31/12/2024,HESTA,Balanced Growth,Cash,1,JPMorgan Chase & Co,CNH,,,,,,-0.008129,0.0
31/12/2024,HESTA,Balanced Growth,Cash,1,JPMorgan Chase & Co,CNY,,,,,,98489.43951,1.42e-06
31/12/2024,HESTA,Balanced Growth,Cash,1,JPMorgan Chase & Co,COP,,,,,,13379.33319,1.9e-07
31/12/2024,HESTA,Balanced Growth,Cash,1,JPMorgan Chase & Co,CZK,,,,,,67856.88269,9.8e-07
