INVESTMENT OPTION NAME,Balanced,,,
REPORTING DATE,31/12/2024,,,
PORTFOLIO HOLDINGS INFORMATION,,,,
Schedule 8D,,,,
TABLE 1,,,,
ASSETS,,,,
Portfolio Holdings Information for Balanced - Assets,,,,
CASH,,,,
NAME OF INSTITUTION,,CURRENCY,VALUE (AUD),WEIGHTING (%)
AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED,,AUD,9288,0
BNP PARIBAS SA (AUSTRALIA),,AUD,4663490322,0.0883
BNP PARIBAS SA (AUSTRALIA),,BRL,64450,0
BNP PARIBAS SA (AUSTRALIA),,CAD,7564296,0.0001
BNP PARIBAS SA (AUSTRALIA),,CHF,324696,0
BNP PARIBAS SA (AUSTRALIA),,CLP,417,0
BNP PARIBAS SA (AUSTRALIA),,CNY,1088,0
BNP PARIBAS SA (AUSTRALIA),,DKK,1503851,0
BNP PARIBAS SA (AUSTRALIA),,EUR,4091457,0.0001
BNP PARIBAS SA (AUSTRALIA),,GBP,7616463,0.0001
BNP PARIBAS SA (AUSTRALIA),,HKD,1259592,0
BNP PARIBAS SA (AUSTRALIA),,HUF,23276,0
BNP PARIBAS SA (AUSTRALIA),,ILS,62046,0
BNP PARIBAS SA (AUSTRALIA),,INR,768084,0
BNP PARIBAS SA (AUSTRALIA),,JPY,8248811,0.0002
BNP PARIBAS SA (AUSTRALIA),,KRW,1062,0
BNP PARIBAS SA (AUSTRALIA),,MXN,165,0
BNP PARIBAS SA (AUSTRALIA),,NOK,346366,0
BNP PARIBAS SA (AUSTRALIA),,NZD,321492,0
BNP PARIBAS SA (AUSTRALIA),,PHP,30408,0
BNP PARIBAS SA (AUSTRALIA),,PLN,1741,0
BNP PARIBAS SA (AUSTRALIA),,SEK,107743,0
BNP PARIBAS SA (AUSTRALIA),,SGD,551769,0
BNP PARIBAS SA (AUSTRALIA),,THB,470,0
BNP PARIBAS SA (AUSTRALIA),,TRY,305,0
BNP PARIBAS SA (AUSTRALIA),,TWD,407336,0
BNP PARIBAS SA (AUSTRALIA),,USD,148418833,0.0028
BNP PARIBAS SA (AUSTRALIA),,ZAR,41765,0
COMMONWEALTH BANK OF AUSTRALIA,,AUD,2063336149,0.0391
HSBC,,AUD,5899,0
NATIONAL AUSTRALIA BANK LIMITED,,AUD,261231074,0.0049
WESTPAC BANKING CORPORATION,,AUD,841407937,0.0159
TOTAL,,,8011238651,0.1517
FIXED INCOME,,,,
Held directly or by associated entities or by PSTs,,,,
Internally Managed,,,,
NAME OF ISSUER/COUNTERPARTY,,,VALUE (AUD),WEIGHTING (%)
ABA TRUST 2023-1,,,7750769,0.0001
AFG 2022-2 TRUST,,,209737,0
AFG 2023-1 TRUST,,,827835,0
AGI FINANCE PTY LTD,,,9046010,0.0002
AIRSERVICES AUSTRALIA,,,15169083,0.0003
AMP BANK LTD,,,1720365,0
AMP LTD,,,643626,0
AMPOL LTD,,,477058,0
ANZ HOLDINGS (NEW ZEALAND) LTD,,,90969189,0.0017
APOLLO SERIES 2018-1 TRUST,,,35311,0
APOLLO SERIES 2023-1 TRUST,,,1476951,0
APOLLO SERIES 2024-1 TRUST,,,6027399,0.0001
AQUASURE FINANCE PTY LTD,,,64625671,0.0012
ASX LTD,,,1150167,0
AUCKLAND INTERNATIONAL AIRPORT LTD,,,89300,0
AUSGRID FINANCE PTY LTD,,,4670528,0.0001
AUSNET SERVICES HOLDINGS PTY LTD,,,6279494,0.0001
AUSTRALIA AND NEW ZEALAND BANKING GROUP LTD,,,348673431,0.0066
AUSTRALIA PACIFIC AIRPORTS (MELBOURNE) PTY LTD,,,1388242,0
"AUSTRALIA, COMMONWEALTH OF (GOVERNMENT)",,,616655828,0.0117
AUSTRALIAN ENERGY MARKET OPERATOR LTD,,,3821007,0.0001
AUSTRALIAN GAS NETWORKS LTD,,,3942077,0.0001
AUSTRALIAN POSTAL CORP,,,1559364,0
AUSTRALIAN PRIME PROPERTY FUND COMMERCIAL,,,1000487,0
AUSTRALIAN UNITY FUNDS MANAGEMENT LTD,,,3452105,0.0001
"AUSTRALIAN, CAPITAL TERRITORY OF",,,61452422,0.0012
AUSWIDE BANK LTD,,,59404,0
BANCO SANTANDER SA,,,16314559,0.0003
BANK AUSTRALIA LTD,,,1986066,0
BANK OF QUEENSLAND LTD,,,41523454,0.0008
BANQUE FEDERATIVE DU CREDIT MUTUEL SA,,,3562005,0.0001
BARCLAYS PLC,,,4074099,0.0001
BENDIGO AND ADELAIDE BANK LIMITED,,,90605361,0.0017
BNP PARIBAS SA,,,33325240,0.0006
BPCE SA,,,7423542,0.0001
CHARTER HALL EXCHANGE FINANCE PTY LTD,,,960592,0
CHARTER HALL LWR PTY LTD,,,2128754,0
CHC FINANCE PTY LTD,,,15270,0
CHORUS LTD,,,1642320,0
CNH INDUSTRIAL CAPITAL AUSTRALIA PTY LTD,,,2179186,0
COLES GROUP TREASURY PTY LTD,,,6507623,0.0001
COMMONWEALTH BANK OF AUSTRALIA,,,226413550,0.0043
COMPUTERSHARE US INC,,,2318208,0
CONNECTEAST FINANCE PTY LTD,,,4030347,0.0001
CONQUEST 2022-1 TRUST,,,746694,0
CONQUEST 2023-2 TRUST,,,788800,0
CONQUEST 2024-1 TRUST,,,2262004,0
CONTACT ENERGY LTD,,,2706737,0.0001
COOPERATIEVE RABOBANK UA,,,3356455,0.0001
COOPERATIEVE RABOBANK UA (SYDNEY BRANCH),,,4703068,0.0001
CPIF FINANCE PTY LTD,,,1614006,0
CREDIT AGRICOLE SA,,,15505801,0.0003
DBL FUNDING TRUST NO. 1 SALUTE SERIES 2024-1,,,2321390,0
DBNGP FINANCE CO PTY LTD,,,758009,0
DBS BANK LTD (SYDNEY BRANCH),,,2300653,0
DEUTSCHE BAHN FINANCE GMBH,,,7526561,0.0001
DEXUS WHOLESALE PROPERTY FUND,,0.013,59330,0
DWPF FINANCE PTY LTD,,,2581601,0
ELECTRANET PTY LTD,,,119394,0
ENBW INTERNATIONAL FINANCE BV,,,5893197,0.0001
ETSA UTILITIES FINANCE PTY LTD,,,1193378,0
EXPORT-IMPORT BANK OF KOREA,,,3084910,0.0001
FIRSTMAC MORTGAGE FUNDING TRUST NO. 4 SERIES 2024-1,,,1889646,0
FIRSTMAC MORTGAGE FUNDING TRUST NO. 4 SERIES 2024-4,,,1897121,0
FIRSTMAC MORTGAGE FUNDING TRUST SERIES 20223-1,,,1170989,0
FLINDERS PORT HOLDINGS PTY LTD,,,3241559,0.0001
GAIF BOND ISSUER PTY LTD,,,3314173,0.0001
GOLDMAN SACHS GROUP INC,,,1901647,0
GPT RE LTD,,,14694,0
GPT WHOLESALE OFFICE FUND NO1,,,4545712,0.0001
GPT WHOLESALE SHOPPING CENTRE FUND NO 1,,,1392635,0
GTA FINANCE COMPANY PTY LIMITED,,,1913396,0
HARBOURVEST PARTNERS,,,64937359,0.0012
HEATHROW FUNDING LTD,,,7842159,0.0001
HONGKONG AND SHANGHAI BANKING CORPORATION LTD (SYDNEY BRANCH),,,4626408,0.0001
HSBC HOLDINGS PLC,,,5451281,0.0001
ICPF FINANCE PTY LTD,,,1173739,0
ILLAWARRA SERIES 2017-1 RMBS TRUST,,,17003,0
ING BANK (AUSTRALIA) LTD,,,13721682,0.0003
JOHN DEERE FINANCIAL LTD,,,4066961,0.0001
KINGFISHER TRUST 2016-1,,,4377,0
KIWIBANK LTD,,,2940584,0.0001
KOREA HOUSING FINANCE CORP,,,3793878,0.0001
LIGHT TRUST 2019-1,,,22168,0
LIGHT TRUST 2023-1,,,37971,0
LIGHT TRUST 2024-1,,,5008494,0.0001
LION SERIES 2024-1 TRUST,,,4541634,0.0001
LLITST FINANCE PTY LTD,,,1624887,0
LLOYDS BANKING GROUP PLC,,,12810259,0.0002
LONSDALE FINANCE PTY LTD,,,9651235,0.0002
MACQUARIE BANK LTD,,,13287934,0.0003
MEDALLION TRUST SERIES 2019-1,,,16604,0
MEDALLION TRUST SERIES 2023-2,,,113054,0
MIRVAC GROUP FINANCE LTD,,,2758208,0.0001
MIZUHO BANK LTD (SYDNEY BRANCH),,,1144268,0
MIZUHO FINANCIAL GROUP INC,,,4176681,0.0001
MORTGAGE HOUSE RMBS PRIME SERIES 2024-2,,,3863436,0.0001
MORTGAGE HOUSE RMBS SERIES 2022-2,,,53361,0
MPF DELAWARE 1 LTD,,,222976953,0.0042
MPF GENERAL PARTNER,,,458242818,0.0087
NATIONAL AUSTRALIA BANK LIMITED,,,76159502,0.0014
NATIONAL RMBS TRUST 2018-1,,,44666,0
NATIONAL RMBS TRUST 2022-1,,,3884195,0.0001
NATIONAL RMBS TRUST 2024-1,,,2592677,0
NATIONWIDE BUILDING SOCIETY,,,5986136,0.0001
NATWEST MARKETS PLC,,,4406917,0.0001
NBN CO LTD,,,31075132,0.0006
NETWORK FINANCE COMPANY PTY LIMITED,,,9123577,0.0002
NEW SOUTH WALES TREASURY CORP,,,357767846,0.0068
NEW TERMINAL FINANCING COMPANY PTY LTD,,,1953769,0
NEXTERA ENERGY CAPITAL HOLDINGS INC,,,2299718,0
NORFINA LTD,,,24504912,0.0005
NORTHERN TERRITORY TREASURY CORP,,,48327192,0.0009
NSW ELECTRICITY NETWORKS FINANCE PTY LTD,,,3377941,0.0001
NSW PORTS FINANCE CO PTY LTD,,,3813391,0.0001
