Option Code,Option Name,Asset Class,Filter,Sub-Filter,Name,Name Type,Currency,Issuer Type,Security Identifier,Units Held,Location,Address,% Ownership,$ Value,Weighting (%),Actual Currency Exposure (%),Actual Asset Allocation (%),Effect of Derivatives Exposure (%),Classification,Sort Order,Value Range,Geo Latitude,Geo Longitude
ARBA,Balanced,Cash,,,Australia & New Zealand Banking Group Ltd,Name of Institution,Australia Dollar,,,,,,,228864032.0,0.1,,,,,,,nan,nan
ARBA,Balanced,Cash,,,Bank of America NA,Name of Institution,Australia Dollar,,,,,,,-4876457.0,0.0,,,,,,,nan,nan
ARBA,Balanced,Cash,,,Bank of America NA,Name of Institution,United States Dollar,,,,,,,386619.0,0.0,,,,,,,nan,nan
ARBA,Balanced,Cash,,,Bank of England,Name of Institution,United States Dollar,,,,,,,27013777.0,0.01,,,,,,,nan,nan
ARBA,Balanced,Cash,,,Bank of Montreal/London,Name of Institution,United Kingdom Pound,,,,,,,1337556.0,0.0,,,,,,,nan,nan
ARBA,Balanced,Cash,,,Bank of Montreal/London,Name of Institution,United States Dollar,,,,,,,21623446.0,0.01,,,,,,,nan,nan
ARBA,Balanced,Cash,,,Barclays Bank PLC,Name of Institution,Australia Dollar,,,,,,,44747173.0,0.02,,,,,,,nan,nan
ARBA,Balanced,Cash,,,BNP Paribas SA,Name of Institution,Australia Dollar,,,,,,,193336893.0,0.08,,,,,,,nan,nan
ARBA,Balanced,Cash,,,BNP Paribas SA,Name of Institution,United States Dollar,,,,,,,5143986.0,0.0,,,,,,,nan,nan
ARBA,Balanced,Cash,,,BRED Banque Populaire,Name of Institution,Euro Member Countries,,,,,,,26011552.0,0.01,,,,,,,nan,nan
ARBA,Balanced,Cash,,,BRED Banque Populaire,Name of Institution,United Kingdom Pound,,,,,,,7376875.0,0.0,,,,,,,nan,nan
ARBA,Balanced,Cash,,,Citibank NA,Name of Institution,Australia Dollar,,,,,,,63265305.0,0.03,,,,,,,nan,nan
ARBA,Balanced,Cash,,,Citibank NA,Name of Institution,United States Dollar,,,,,,,912786.0,0.0,,,,,,,nan,nan
ARBA,Balanced,Cash,,,Commonwealth Bank of Australia,Name of Institution,Australia Dollar,,,,,,,1035993068.0,0.43,,,,,,,nan,nan
ARBA,Balanced,Cash,,,Commonwealth Bank of Australia,Name of Institution,United Kingdom Pound,,,,,,,4023750.0,0.0,,,,,,,nan,nan
ARBA,Balanced,Cash,,,Commonwealth Bank of Australia/London,Name of Institution,United Kingdom Pound,,,,,,,2011875.0,0.0,,,,,,,nan,nan
ARBA,Balanced,Cash,,,Cooperatieve Rabobank UA,Name of Institution,Australia Dollar,,,,,,,48103024.0,0.02,,,,,,,nan,nan
ARBA,Balanced,Cash,,,Export-Import Bank of Korea,Name of Institution,United States Dollar,,,,,,,10748370.0,0.0,,,,,,,nan,nan
ARBA,Balanced,Cash,,,Goldman Sachs International,Name of Institution,Australia Dollar,,,,,,,162234349.0,0.07,,,,,,,nan,nan
ARBA,Balanced,Cash,,,Goldman Sachs International,Name of Institution,United States Dollar,,,,,,,9381806.0,0.0,,,,,,,nan,nan
ARBA,Balanced,Cash,,,Hongkong and Shanghai Banking Corporation Ltd,Name of Institution,Australia Dollar,,,,,,,23710952.0,0.01,,,,,,,nan,nan
ARBA,Balanced,Cash,,,JP Morgan Securities LLC,Name of Institution,Australia Dollar,,,,,,,-8053693.0,0.0,,,,,,,nan,nan
ARBA,Balanced,Cash,,,JP Morgan Securities LLC,Name of Institution,Canada Dollar,,,,,,,-5558001.0,0.0,,,,,,,nan,nan
ARBA,Balanced,Cash,,,JP Morgan Securities LLC,Name of Institution,Czech Republic Koruna,,,,,,,383179.0,0.0,,,,,,,nan,nan
ARBA,Balanced,Cash,,,JP Morgan Securities LLC,Name of Institution,Euro Member Countries,,,,,,,32117609.0,0.01,,,,,,,nan,nan
ARBA,Balanced,Cash,,,JP Morgan Securities LLC,Name of Institution,Japan Yen,,,,,,,13259135.0,0.01,,,,,,,nan,nan
ARBA,Balanced,Cash,,,JP Morgan Securities LLC,Name of Institution,Korea (South) Won,,,,,,,-1085874.0,0.0,,,,,,,nan,nan
ARBA,Balanced,Cash,,,JP Morgan Securities LLC,Name of Institution,Mexico Peso,,,,,,,-1192122.0,0.0,,,,,,,nan,nan
ARBA,Balanced,Cash,,,JP Morgan Securities LLC,Name of Institution,New Zealand Dollar,,,,,,,36767.0,0.0,,,,,,,nan,nan
ARBA,Balanced,Cash,,,JP Morgan Securities LLC,Name of Institution,Norway Krone,,,,,,,-9198854.0,0.0,,,,,,,nan,nan
ARBA,Balanced,Cash,,,JP Morgan Securities LLC,Name of Institution,Sweden Krona,,,,,,,2060008.0,0.0,,,,,,,nan,nan
ARBA,Balanced,Cash,,,JP Morgan Securities LLC,Name of Institution,Switzerland Franc,,,,,,,-725692.0,0.0,,,,,,,nan,nan
ARBA,Balanced,Cash,,,JP Morgan Securities LLC,Name of Institution,United Kingdom Pound,,,,,,,75146972.0,0.03,,,,,,,nan,nan
ARBA,Balanced,Cash,,,JP Morgan Securities LLC,Name of Institution,United States Dollar,,,,,,,233141500.0,0.1,,,,,,,nan,nan
ARBA,Balanced,Cash,,,JP Morgan Securities PLC,Name of Institution,Australia Dollar,,,,,,,-5766741.0,0.0,,,,,,,nan,nan
ARBA,Balanced,Cash,,,JP Morgan Securities PLC,Name of Institution,Canada Dollar,,,,,,,-2827906.0,0.0,,,,,,,nan,nan
ARBA,Balanced,Cash,,,JP Morgan Securities PLC,Name of Institution,Euro Member Countries,,,,,,,48629310.0,0.02,,,,,,,nan,nan
ARBA,Balanced,Cash,,,JP Morgan Securities PLC,Name of Institution,Hong Kong Dollar,,,,,,,1150760.0,0.0,,,,,,,nan,nan
ARBA,Balanced,Cash,,,JP Morgan Securities PLC,Name of Institution,Japan Yen,,,,,,,16531557.0,0.01,,,,,,,nan,nan
ARBA,Balanced,Cash,,,JP Morgan Securities PLC,Name of Institution,Singapore Dollar,,,,,,,238.0,0.0,,,,,,,nan,nan
ARBA,Balanced,Cash,,,JP Morgan Securities PLC,Name of Institution,Switzerland Franc,,,,,,,-215107.0,0.0,,,,,,,nan,nan
ARBA,Balanced,Cash,,,JP Morgan Securities PLC,Name of Institution,United Kingdom Pound,,,,,,,23151673.0,0.01,,,,,,,nan,nan
ARBA,Balanced,Cash,,,JP Morgan Securities PLC,Name of Institution,United States Dollar,,,,,,,283208441.0,0.12,,,,,,,nan,nan
ARBA,Balanced,Cash,,,JPMorgan Chase & Co,Name of Institution,Australia Dollar,,,,,,,-7124.0,0.0,,,,,,,nan,nan
ARBA,Balanced,Cash,,,JPMorgan Chase & Co,Name of Institution,Euro Member Countries,,,,,,,-1.0,0.0,,,,,,,nan,nan
