CASH,,,,
NAME OF INSTITUTION,,CURRENCY,VALUE (AUD),WEIGHTING (%)
AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED,,AUD,9288,0.00%
BNP PARIBAS SA (AUSTRALIA),,AUD,4663490322,8.83%
BNP PARIBAS SA (AUSTRALIA),,BRL,64450,0.00%
BNP PARIBAS SA (AUSTRALIA),,CAD,7564296,0.01%
BNP PARIBAS SA (AUSTRALIA),,CHF,324696,0.00%
BNP PARIBAS SA (AUSTRALIA),,CLP,417,0.00%
BNP PARIBAS SA (AUSTRALIA),,CNY,1088,0.00%
BNP PARIBAS SA (AUSTRALIA),,DKK,1503851,0.00%
BNP PARIBAS SA (AUSTRALIA),,EUR,4091457,0.01%
BNP PARIBAS SA (AUSTRALIA),,GBP,7616463,0.01%
BNP PARIBAS SA (AUSTRALIA),,HKD,1259592,0.00%
BNP PARIBAS SA (AUSTRALIA),,HUF,23276,0.00%
BNP PARIBAS SA (AUSTRALIA),,ILS,62046,0.00%
BNP PARIBAS SA (AUSTRALIA),,INR,768084,0.00%
BNP PARIBAS SA (AUSTRALIA),,JPY,8248811,0.02%
BNP PARIBAS SA (AUSTRALIA),,KRW,1062,0.00%
BNP PARIBAS SA (AUSTRALIA),,MXN,165,0.00%
BNP PARIBAS SA (AUSTRALIA),,NOK,346366,0.00%
BNP PARIBAS SA (AUSTRALIA),,NZD,321492,0.00%
BNP PARIBAS SA (AUSTRALIA),,PHP,30408,0.00%
BNP PARIBAS SA (AUSTRALIA),,PLN,1741,0.00%
BNP PARIBAS SA (AUSTRALIA),,SEK,107743,0.00%
BNP PARIBAS SA (AUSTRALIA),,SGD,551769,0.00%
BNP PARIBAS SA (AUSTRALIA),,THB,470,0.00%
BNP PARIBAS SA (AUSTRALIA),,TRY,305,0.00%
BNP PARIBAS SA (AUSTRALIA),,TWD,407336,0.00%
BNP PARIBAS SA (AUSTRALIA),,USD,148418833,0.28%
BNP PARIBAS SA (AUSTRALIA),,ZAR,41765,0.00%
COMMONWEALTH BANK OF AUSTRALIA,,AUD,2063336149,3.91%
HSBC,,AUD,5899,0.00%
NATIONAL AUSTRALIA BANK LIMITED,,AUD,261231074,0.49%
WESTPAC BANKING CORPORATION,,AUD,841407937,1.59%
TOTAL,,,8011238651,15.17%
FIXED INCOME,,,,
Held directly or by associated entities or by PSTs,,,,
Internally Managed,,,,
NAME OF ISSUER/COUNTERPARTY,,,VALUE (AUD),WEIGHTING (%)
ABA TRUST 2023-1,,,7750769,0.01%
AFG 2022-2 TRUST,,,209737,0.00%
AFG 2023-1 TRUST,,,827835,0.00%
AGI FINANCE PTY LTD,,,9046010,0.02%
AIRSERVICES AUSTRALIA,,,15169083,0.03%
AMP BANK LTD,,,1720365,0.00%
AMP LTD,,,643626,0.00%
AMPOL LTD,,,477058,0.00%
ANZ HOLDINGS (NEW ZEALAND) LTD,,,90969189,0.17%
APOLLO SERIES 2018-1 TRUST,,,35311,0.00%
APOLLO SERIES 2023-1 TRUST,,,1476951,0.00%
APOLLO SERIES 2024-1 TRUST,,,6027399,0.01%
AQUASURE FINANCE PTY LTD,,,64625671,0.12%
ASX LTD,,,1150167,0.00%
AUCKLAND INTERNATIONAL AIRPORT LTD,,,89300,0.00%
AUSGRID FINANCE PTY LTD,,,4670528,0.01%
AUSNET SERVICES HOLDINGS PTY LTD,,,6279494,0.01%
AUSTRALIA AND NEW ZEALAND BANKING GROUP LTD,,,348673431,0.66%
AUSTRALIA PACIFIC AIRPORTS (MELBOURNE) PTY LTD,,,1388242,0.00%
"AUSTRALIA, COMMONWEALTH OF (GOVERNMENT)",,,616655828,1.17%
AUSTRALIAN ENERGY MARKET OPERATOR LTD,,,3821007,0.01%
AUSTRALIAN GAS NETWORKS LTD,,,3942077,0.01%
AUSTRALIAN POSTAL CORP,,,1559364,0.00%
AUSTRALIAN PRIME PROPERTY FUND COMMERCIAL,,,1000487,0.00%
AUSTRALIAN UNITY FUNDS MANAGEMENT LTD,,,3452105,0.01%
"AUSTRALIAN, CAPITAL TERRITORY OF",,,61452422,0.12%
AUSWIDE BANK LTD,,,59404,0.00%
BANCO SANTANDER SA,,,16314559,0.03%
BANK AUSTRALIA LTD,,,1986066,0.00%
BANK OF QUEENSLAND LTD,,,41523454,0.08%
BANQUE FEDERATIVE DU CREDIT MUTUEL SA,,,3562005,0.01%
BARCLAYS PLC,,,4074099,0.01%
BENDIGO AND ADELAIDE BANK LIMITED,,,90605361,0.17%
BNP PARIBAS SA,,,33325240,0.06%
BPCE SA,,,7423542,0.01%
CHARTER HALL EXCHANGE FINANCE PTY LTD,,,960592,0.00%
CHARTER HALL LWR PTY LTD,,,2128754,0.00%
CHC FINANCE PTY LTD,,,15270,0.00%
CHORUS LTD,,,1642320,0.00%
CNH INDUSTRIAL CAPITAL AUSTRALIA PTY LTD,,,2179186,0.00%
COLES GROUP TREASURY PTY LTD,,,6507623,0.01%
COMMONWEALTH BANK OF AUSTRALIA,,,226413550,0.43%
COMPUTERSHARE US INC,,,2318208,0.00%
CONNECTEAST FINANCE PTY LTD,,,4030347,0.01%
CONQUEST 2022-1 TRUST,,,746694,0.00%
CONQUEST 2023-2 TRUST,,,788800,0.00%
CONQUEST 2024-1 TRUST,,,2262004,0.00%
CONTACT ENERGY LTD,,,2706737,0.01%
COOPERATIEVE RABOBANK UA,,,3356455,0.01%
COOPERATIEVE RABOBANK UA (SYDNEY BRANCH),,,4703068,0.01%
CPIF FINANCE PTY LTD,,,1614006,0.00%
CREDIT AGRICOLE SA,,,15505801,0.03%
DBL FUNDING TRUST NO. 1 SALUTE SERIES 2024-1,,,2321390,0.00%
DBNGP FINANCE CO PTY LTD,,,758009,0.00%
DBS BANK LTD (SYDNEY BRANCH),,,2300653,0.00%
DEUTSCHE BAHN FINANCE GMBH,,,7526561,0.01%
DEXUS WHOLESALE PROPERTY FUND,,1.30%,59330,0.00%
DWPF FINANCE PTY LTD,,,2581601,0.00%
ELECTRANET PTY LTD,,,119394,0.00%
ENBW INTERNATIONAL FINANCE BV,,,5893197,0.01%
ETSA UTILITIES FINANCE PTY LTD,,,1193378,0.00%
EXPORT-IMPORT BANK OF KOREA,,,3084910,0.01%
FIRSTMAC MORTGAGE FUNDING TRUST NO. 4 SERIES 2024-1,,,1889646,0.00%
FIRSTMAC MORTGAGE FUNDING TRUST NO. 4 SERIES 2024-4,,,1897121,0.00%
FIRSTMAC MORTGAGE FUNDING TRUST SERIES 20223-1,,,1170989,0.00%
FLINDERS PORT HOLDINGS PTY LTD,,,3241559,0.01%
GAIF BOND ISSUER PTY LTD,,,3314173,0.01%
GOLDMAN SACHS GROUP INC,,,1901647,0.00%
GPT RE LTD,,,14694,0.00%
GPT WHOLESALE OFFICE FUND NO1,,,4545712,0.01%
GPT WHOLESALE SHOPPING CENTRE FUND NO 1,,,1392635,0.00%
GTA FINANCE COMPANY PTY LIMITED,,,1913396,0.00%
HARBOURVEST PARTNERS,,,64937359,0.12%
HEATHROW FUNDING LTD,,,7842159,0.01%
HONGKONG AND SHANGHAI BANKING CORPORATION LTD (SYDNEY BRANCH),,,4626408,0.01%
HSBC HOLDINGS PLC,,,5451281,0.01%
ICPF FINANCE PTY LTD,,,1173739,0.00%
ILLAWARRA SERIES 2017-1 RMBS TRUST,,,17003,0.00%
ING BANK (AUSTRALIA) LTD,,,13721682,0.03%
JOHN DEERE FINANCIAL LTD,,,4066961,0.01%
KINGFISHER TRUST 2016-1,,,4377,0.00%
KIWIBANK LTD,,,2940584,0.01%
KOREA HOUSING FINANCE CORP,,,3793878,0.01%
LIGHT TRUST 2019-1,,,22168,0.00%
LIGHT TRUST 2023-1,,,37971,0.00%
LIGHT TRUST 2024-1,,,5008494,0.01%
LION SERIES 2024-1 TRUST,,,4541634,0.01%
LLITST FINANCE PTY LTD,,,1624887,0.00%
LLOYDS BANKING GROUP PLC,,,12810259,0.02%
LONSDALE FINANCE PTY LTD,,,9651235,0.02%
MACQUARIE BANK LTD,,,13287934,0.03%
MEDALLION TRUST SERIES 2019-1,,,16604,0.00%
MEDALLION TRUST SERIES 2023-2,,,113054,0.00%
MIRVAC GROUP FINANCE LTD,,,2758208,0.01%
MIZUHO BANK LTD (SYDNEY BRANCH),,,1144268,0.00%
MIZUHO FINANCIAL GROUP INC,,,4176681,0.01%
MORTGAGE HOUSE RMBS PRIME SERIES 2024-2,,,3863436,0.01%
MORTGAGE HOUSE RMBS SERIES 2022-2,,,53361,0.00%
MPF DELAWARE 1 LTD,,,222976953,0.42%
MPF GENERAL PARTNER,,,458242818,0.87%
NATIONAL AUSTRALIA BANK LIMITED,,,76159502,0.14%
NATIONAL RMBS TRUST 2018-1,,,44666,0.00%
NATIONAL RMBS TRUST 2022-1,,,3884195,0.01%
NATIONAL RMBS TRUST 2024-1,,,2592677,0.00%
NATIONWIDE BUILDING SOCIETY,,,5986136,0.01%
NATWEST MARKETS PLC,,,4406917,0.01%
NBN CO LTD,,,31075132,0.06%
NETWORK FINANCE COMPANY PTY LIMITED,,,9123577,0.02%
NEW SOUTH WALES TREASURY CORP,,,357767846,0.68%
NEW TERMINAL FINANCING COMPANY PTY LTD,,,1953769,0.00%
NEXTERA ENERGY CAPITAL HOLDINGS INC,,,2299718,0.00%
NORFINA LTD,,,24504912,0.05%
NORTHERN TERRITORY TREASURY CORP,,,48327192,0.09%
NSW ELECTRICITY NETWORKS FINANCE PTY LTD,,,3377941,0.01%
NSW PORTS FINANCE CO PTY LTD,,,3813391,0.01%
PERTH AIRPORT PTY LTD,,,907849,0.00%
PROGRESS 2021-1 TRUST,,,49466,0.00%
PROGRESS 2023-2 TRUST,,,4506566,0.01%
PROGRESS 2024-2 TRUST,,,782737,0.00%
PUMA SERIES 2023-1,,,106104,0.00%
QIC FINANCE (TOWN CENTRE FUND) PTY LTD,,,7625157,0.01%
QPH FINANCE CO PTY LTD,,,2693664,0.01%
QUBE HOLDINGS LTD,,,5445127,0.01%
QUEENSLAND TREASURY CORP,,,304231979,0.58%
REGION RE LTD,,,1262568,0.00%
REGISTRY FINANCE PTY LTD,,,7686558,0.01%
ROYAL BANK OF CANADA,,,3129645,0.01%
SCENTRE GROUP TRUST 1,,,7839807,0.01%
SERIES 2017-1 HARVEY TRUST,,,11201,0.00%
SERIES 2018-1 REDS TRUST,,,49156,0.00%
SERIES 2023-1 REDS TRUST,,,1086681,0.00%
SERIES 2024-1 REDS TRUST,,,4054448,0.01%
SERIES 2024-2 WST TRUST,,,9206419,0.02%
SGSP (AUSTRALIA) ASSETS PTY LTD,,,2578170,0.00%
SMHL SERIES SECURITISATION FUND 2019-1,,,148946,0.00%
SOCIETE GENERALE SA,,,2585659,0.00%
SOUTH AUSTRALIAN GOVERNMENT FINANCING AUTHORITY,,,99357788,0.19%
SPARK FINANCE LTD,,,3659705,0.01%
STOCKLAND TRUST MANAGEMENT LTD,,,3180211,0.01%
SUNCORP-METWAY LTD,,,14474022,0.03%
SYDNEY AIRPORT ALLIANCE,,,1661061935,3.15%
TASMANIAN PUBLIC FINANCE CORP,,,6778366,0.01%
TEACHERS MUTUAL BANK LTD,,,1193840,0.00%
TELSTRA GROUP LTD,,,5109340,0.01%
TORONTO-DOMINION BANK,,,11418563,0.02%
TORRENS SERIES 2021-1 TRUST,,,9343,0.00%
TRANSPOWER NEW ZEALAND LTD,,,2583094,0.00%
TRANSURBAN QUEENSLAND FINANCE PTY LTD,,,141219,0.00%
TREASURY CORPORATION OF VICTORIA,,,431986346,0.82%
TRITON BOND TRUST 2021-2,,,33245,0.00%
TRITON BOND TRUST 2023-1,,,85610,0.00%
TRITON BOND TRUST 2024-1,,,5794135,0.01%
TRITON BOND TRUST 2024-3,,,1256957,0.00%
UBS AG (SYDNEY BRANCH),,,6374707,0.01%
UNITED ENERGY DISTRIBUTION PTY LTD,,,2859600,0.01%
VANTAGE TOWERS AG,,,471945003,0.89%
VERIZON COMMUNICATIONS INC,,,1344138,0.00%
VICINITY CENTRES RE LTD,,,5600024,0.01%
VICINITY CENTRES TRUST,,,5669397,0.01%
VICTORIA POWER NETWORKS (FINANCE) PTY LTD,,,1413195,0.00%
WELLS FARGO & CO,,,3576811,0.01%
WESFARMERS LTD,,,2597620,0.00%
WESTCONNEX FINANCE COMPANY PTY LTD,,,1843360,0.00%
WESTERN AUSTRALIAN TREASURY CORP,,,16462479,0.03%
WESTPAC BANKING CORPORATION,,,79915101,0.15%
WOOLWORTHS GROUP LTD,,,7861297,0.01%
WSO FINANCE PTY LTD,,,5325648,0.01%
TOTAL,,,6428109569,12.17%
FIXED INCOME,,,,
Investment in non associated entities,,,,
Held directly or by associated entities or by PSTs,,,,
Externally Managed,,,,
NAME OF FUND MANAGER,,,VALUE (AUD),WEIGHTING (%)
