Name,Stock ID,Yahoo ticker,LC
ANSYS Inc,US03662Q1058,,
AVZ Minerals Ltd,AU000000AVZ6,,
Alphabet Inc,US02079K3059,,
Arcadium Lithium PLC,AU0000305724,,
Aspen Technology Inc,US29109X1063,,
BDO Unibank Inc,PHY077751022,,
Barrick Gold Corp,CA0679011084,,
Barrick Gold Corp,CA0679011084,,
Block Inc,AU0000187353,,
CONSOL Energy Inc,US20854L1089,,
De Grey Mining Ltd,AU000000DEG6,,
Discover Financial Services,US2547091080,,
Domain Holdings Australia Ltd,AU000000DHG9,,
Epiroc AB,SE0015658117,,
Firefinch Ltd,AU0000114522,,
Greatland Gold PLC,GB00B15XDH89,,
Hargreaves Lansdown PLC,GB00B1VZ0M25,,
Hess Corp,US42809H1077,,
InRetail Peru Corp,PAL1801171A1,,
InRetail Peru Corp,PAL1801171A1,,
Juniper Networks Inc,US48203R1041,,
Kesko Oyj,FI0009000202,,
Kongsberg Gruppen ASA,NO0003043309,,
Latin Resources Ltd,AU000000LRS6,,
Leo Lithium Ltd,AU0000221251,,
Malaysia Airports Holdings Bhd,MYL5014OO005,,
Midway Ltd,AU000000MWY2,,
Opthea Ltd,AU000000OPT2,,
Revelyst Inc,US6900451096,,
SM Investments Corp,PHY806761029,,
Sagax AB,SE0005127818,,
Salt Lake Potash Ltd,AU000000SO44,,
Spartan Resources Ltd/Australia,AU0000294233,,
TELUS Corp,CA87971M9969,,
Walgreens Boots Alliance Inc,US9314271084,,
Hotel Property Investments Ltd,AU000000HPI9,,
iShares Physical Platinum ETC,IE00B4LHWP62,,
