Name,Stock ID,Yahoo ticker,LC
360 Security Technology Inc,CNE100002RZ2,601360.SS,China
37 Interactive Entertainment Network Technology Group Co Ltd,CNE1000010N2,002555.SZ,China
3i Group PLC,GB00B1YW4409,III.L,United Kingdom
3M Co,US88579Y1010,MMM,United States
a2 Milk Co Ltd/The,NZATME0002S8,ATM.NZ,New Zealand
AAC Technologies Holdings Inc,KYG2953R1149,2018.HK,Hong Kong
ABB India Ltd,INE117A01022,ABB.BO,India
ABB Ltd,CH0012221716,ABBN.SW,Switzerland
Abbott Laboratories,US0028241000,ABT,United States
AbbVie Inc,US00287Y1091,ABBV,United States
ABIOMED Inc,US003CVR0169,,
ABN AMRO Bank NV,NL0011540547,ABN.AS,Netherlands
Absa Group Ltd,ZAE000255915,ABG.JO,South Africa
Abu Dhabi Commercial Bank PJSC,AEA000201011,,
Abu Dhabi Islamic Bank PJSC,AEA000801018,,
Abu Dhabi National Oil Co for Distribution PJSC,AEA006101017,,
Accent Group Ltd,AU000000AX19,AX1.AX,Australia
Accenture PLC,IE00B4BNMY34,ACN,United States
Acciona SA,ES0125220311,ANA.MC,Spain
Accor SA,FR0000120404,AC.PA,France
Accton Technology Corp,TW0002345006,2345.TW,Taiwan
Acer Inc,TW0002353000,2353.TW,Taiwan
ACS Actividades de Construccion y Servicios SA,ES0167050915,ACS.MC,Spain
Acuity Brands Inc,US00508Y1029,AYI,United States
Adairs Ltd,AU000000ADH2,ADH.AX,Australia
AddTech AB,SE0014781795,ADDT-B.ST,Sweden
Adecco Group AG,CH0012138605,ADEN.SW,Switzerland
adidas AG,DE000A1EWWW0,ADS.DE,Germany
Admiral Group PLC,GB00B02J6398,ADM.L,United Kingdom
ADNOC Drilling Co PJSC,AEA007301012,,
Adobe Inc,US00724F1012,ADBE,United States
Adriatic Metals PLC,AU0000004772,ADT.AX,Australia
Advanced Drainage Systems Inc,US00790R1041,WMS,United States
Advanced Info Service PCL,TH0268010Z11,AISF.F,Germany
Advanced Info Service PCL,TH0268010R11,ADVANC-R.BK,Thailand
Advanced Micro Devices Inc,US0079031078,AMD,United States
Advanced Micro-Fabrication Equipment Inc China,CNE100003MM9,688012.SS,China
Advantech Co Ltd,TW0002395001,2395.TW,Taiwan
Advantest Corp,JP3122400009,6857.T,Japan
Adyen NV,NL0012969182,ADYEN.AS,Netherlands
AECC Aero-Engine Control Co Ltd,CNE000000RM5,000738.SZ,China
AECC Aviation Power Co Ltd,CNE000000JW1,600893.SS,China
AECOM,US00766T1007,ACM,United States
Aegon Ltd,BMG0112X1056,AGN.AS,Netherlands
Aena SME SA,ES0105046009,AENA.MC,Spain
Aeon Co Ltd,JP3388200002,8267.T,Japan
AerCap Holdings NV,NL0000687663,AER,United States
Aeroports de Paris SA,FR0010340141,ADP.PA,France
AES Corp/The,US00130H1059,AES,United States
Aflac Inc,US0010551028,AFL,United States
AGC Inc,JP3112000009,5201.T,Japan
AGCO Corp,US0010841023,AGCO,United States
Ageas SA/NV,BE0974264930,AGS.BR,Belgium
Agilent Technologies Inc,US00846U1016,A,United States
AGL Energy Ltd,AU000000AGL7,AGL.AX,Australia
Agnico Eagle Mines Ltd,CA0084741085,AEM,United States
Agricultural Bank of China Ltd,CNE100000RJ0,601288.SS,China
Agricultural Bank of China Ltd,CNE100000Q43,1288.HK,Hong Kong
AIA Group Ltd,HK0000069689,1299.HK,Hong Kong
AIB Group PLC,IE00BF0L3536,A5G.IR,Ireland
Aier Eye Hospital Group Co Ltd,CNE100000GR6,300015.SZ,China
Ainsworth Game Technology Ltd,AU000000AGI3,AGI.AX,Australia
Airbnb Inc,US0090661010,ABNB,United States
Airbus SE,NL0000235190,AIR.PA,France
Air Canada,CA0089118776,AC.TO,Canada
Air China Ltd,CNE000001NN0,601111.SS,China
Air Liquide SA,FR0000120073,AI.PA,France
Air New Zealand Ltd,NZAIRE0001S2,AIR.NZ,New Zealand
Airports of Thailand PCL,TH0765010Z16,TX3A.F,Germany
Airports of Thailand PCL,TH0765010R16,AOT-R.BK,Thailand
Air Products and Chemicals Inc,US0091581068,APD,United States
Airtac International Group,KYG014081064,1590.TW,Taiwan
Aisin Corp,JP3102000001,7259.T,Japan
Ajinomoto Co Inc,JP3119600009,2802.T,Japan
Akamai Technologies Inc,US00971T1016,AKAM,United States
Akbank TAS,TRAAKBNK91N6,AKBNK.IS,Turkey
Aker BP ASA,NO0010345853,AKRBP.OL,Norway
Akeso Inc,KYG0146B1032,9926.HK,Hong Kong
Akzo Nobel NV,NL0013267909,AKZA.AS,Netherlands
Albemarle Corp,US0126531013,ALB,United States
Albertsons Cos Inc,US0130911037,ACI,United States
Alchip Technologies Ltd,KYG022421088,3661.TW,Taiwan
Alcoa Corp,US0138721065,AA,United States
Alcoa Corp,AU0000339426,AAI.AX,Australia
Alcon AG,CH0432492467,ALC.SW,Switzerland
Aldar Properties PJSC,AEA002001013,,
Alfa Laval AB,SE0000695876,ALFA.ST,Sweden
Alfa SAB de CV,MXP000511016,ALFAA.MX,Mexico
Alibaba Group Holding Ltd,KYG017191142,9988.HK,Hong Kong
Alibaba Group Holding Ltd,US01609W1027,BABA,United States
Alibaba Health Information Technology Ltd,BMG0171K1018,0241.HK,Hong Kong
Align Technology Inc,US0162551016,ALGN,United States
Alimentation Couche-Tard Inc,CA01626P1484,ATD.TO,Canada
Alior Bank SA,PLALIOR00045,ALR.WA,Poland
Alkem Laboratories Ltd,INE540L01014,ALKEM.NS,India
Allegion plc,IE00BFRT3W74,ALLE,United States
Allegro.eu SA,LU2237380790,LU2237380790.SG,Germany
Alliant Energy Corp,US0188021085,LNT,United States
Allianz SE,DE0008404005,ALV.DE,Germany
Allstate Corp/The,US0200021014,ALL,United States
Ally Financial Inc,US02005N1000,ALLY,United States
Alnylam Pharmaceuticals Inc,US02043Q1076,ALNY,United States
Alphabet Inc,US02079K3059,,
Alphabet Inc,US02079K1079,GOOG,United States
Alpha HPA Ltd,AU0000033060,A4N.AX,Australia
Alpha Services and Holdings SA,GRS015003007,,
Al Rayan Bank,QA000A0M8VM3,MARK.QA,Qatar
ALS Ltd,AU000000ALQ6,ALQ.AX,Australia
Alstom SA,FR0010220475,ALO.PA,France
AltaGas Ltd,CA0213611001,ALA.TO,Canada
Alteogen Inc,KR7196170005,196170.KQ,South Korea
Aluminum Corp of China Ltd,CNE1000001T8,2600.HK,Hong Kong
Aluminum Corp of China Ltd,CNE1000000T0,601600.SS,China
Amadeus IT Group SA,ES0109067019,AMS.MC,Spain
Amazon.com Inc,US0231351067,AMZN,United States
Ambev SA,BRABEVACNOR1,ABEV3.SA,Brazil
Ambuja Cements Ltd,INE079A01024,AMBUJACEM.BO,India
Amcor PLC,JE00BJ1F3079,AMCR,United States
Amcor PLC,AU000000AMC4,AU000000AMC4.SG,Germany
Ameren Corp,US0236081024,AEE,United States
America Movil SAB de CV,MX01AM050019,AMXB.MX,Mexico
America Movil SAB de CV,US02390A1016,AMX,United States
Americana Restaurants International PLC - Foreign Co,AEE01135A222,,
American Electric Power Co Inc,US0255371017,AEP,United States
American Express Co,US0258161092,AXP,United States
American Financial Group Inc/OH,US0259321042,AFG,United States
American International Group Inc,US0268747849,AIG,United States
American Water Works Co Inc,US0304201033,AWK,United States
Ameriprise Financial Inc,US03076C1062,AMP,United States
AMETEK Inc,US0311001004,AME,United States
Amgen Inc,US0311621009,AMGN,United States
Amlogic Shanghai Co Ltd,CNE100003LZ3,688099.SS,China
Amman Mineral Internasional PT,ID1000191109,AMMN.JK,Indonesia
AMMB Holdings Bhd,MYL1015OO006,1015.KL,Malaysia
Amorepacific Corp,KR7090430000,090430.KS,South Korea
Amotiv Ltd,AU0000340770,AOV.AX,Australia
Amphenol Corp,US0320951017,APH,United States
Amplifon SpA,IT0004056880,AMP.MI,Italy
Amplitude Energy Ltd,AU0000361909,AEL.AX,Australia
AMP Ltd,AU000000AMP6,AMP.AX,Australia
