Name,Stock ID,Yahoo ticker,LC
CI FINANCIAL CORP C,CA1254911003,,
ZHUHAI COSMX BATTERY CO LTD A,CNE100005030,688772.SS,China
360 DIGITECH INC,US88557W1018,QFIN,United States
3I GROUP PLC,GB00B1YW4409,III.L,United Kingdom
3M CO,US88579Y1010,MMM,United States
4D MOLECULAR THERAPEUTICS INC,US35104E1001,FDMT,United States
4IMPRINT GROUP PLC,GB0006640972,FOUR.L,United Kingdom
89BIO INC,US2825591033,ETNB,United States
A P MOLLER MAERSK AS,DK0010244425,MAERSK-A.CO,Denmark
A P MOLLER-MAERSK B,DK0010244508,MAERSK-B.CO,Denmark
A2 MILK COMPANY LTD,NZATME0002S8,ATM.NZ,New Zealand
AAC TECHNOLOGIES,KYG2953R1149,2018.HK,Hong Kong
AAON INC COM STK USD0.004,US0003602069,AAON,United States
ABB INDIA LTD,INE117A01022,ABB.BO,India
ABB LTD,CH0012221716,ABBN.SW,Switzerland
ABBOTT LABS,US0028241000,ABT,United States
ABBVIE INC COM,US00287Y1091,ABBV,United States
ABERCROMBIE FITCH CO CL-A,US0028962076,ANF,United States
ABM INDUSTRIES INC,US0009571003,ABM,United States
ABN AMRO BANK N V DR EACH REP SHS,NL0011540547,ABN.AS,Netherlands
ABN AMRO BK AMSTM BRH UN ADR REP ORD SHS,US00080Q1058,AB2A.MU,Germany
ACCELLERON N ORD SHS,CH1169360919,ACLN.SW,Switzerland
ACCENT GROUP LIMITED,AU000000AX19,AX1.AX,Australia
ACCENTURE PLC,IE00B4BNMY34,ACN,United States
ACCOR SA,FR0000120404,AC.PA,France
ACCTON TECHNOLOGY CORPORATION,TW0002345006,2345.TW,Taiwan
ACI WORLDWIDE INC,US0044981019,ACIW,United States
ACKERMANS & VAN HAAREN NV,BE0003764785,ACKB.BR,Belgium
ACOM CO LTD JPY,JP3108600002,8572.T,Japan
ACS ACTIVIDADES CO EUR 0.5 RFD JANUARY 2024,ES0167050915,ACS.MC,Spain
ACUITY BRANDS INC,US00508Y1029,AYI,United States
ADDTECH AB SER B NPV,SE0014781795,ADDT-B.ST,Sweden
ADECCO GROUP AG,CH0012138605,ADEN.SW,Switzerland
ADIDAS AG,DE000A1EWWW0,ADS.DE,Germany
ADITYA BIRLA REAL ESTATE LIMITED,INE055A01016,ABREL.BO,India
ADMA BIOLOGICS INC,US0008991046,ADMA,United States
ADMIRAL GROUP PLC,GB00B02J6398,ADM.L,United Kingdom
ADOBE INC COM,US00724F1012,ADBE,United States
ADRIATIC METALS PLC CHESS DEPOSITARY INTERESTS 1 1,AU0000004772,ADT.AX,Australia
ADT INC,US00090Q1031,ADT,United States
ADVANCED MICRO DEVICES,US0079031078,AMD,United States
ADVANTEST CORP,JP3122400009,6857.T,Japan
ADYEN NV,NL0012969182,ADYEN.AS,Netherlands
AECOM,US00766T1007,ACM,United States
AEGON ORD SHS,BMG0112X1056,AGN.AS,Netherlands
AEON CO LTD,JP3388200002,8267.T,Japan
AEON CREDIT SERVICE CO LTD,JP3131400008,8570.T,Japan
AERCAP HOLDINGS NV,NL0000687663,AER,United States
AES CORP,US00130H1059,AES,United States
AFLAC INC,US0010551028,AFL,United States
AGC INC,JP3112000009,5201.T,Japan
AGEAS NPV POST SPLIT,BE0974264930,AGS.BR,Belgium
AGILENT TECHNOLOGIES INC,US00846U1016,A,United States
AGNICO EAGLE MINES,CA0084741085,AEM,United States
AGNICO-EAGLE MINES LTD,CA0084741085,AEM,United States
AGRICULTURAL BANK OF CHINA,CNE100000Q43,1288.HK,Hong Kong
AGS ORD SHS,JP3160460006,3648.T,Japan
AIA GROUP LTD,HK0000069689,1299.HK,Hong Kong
AIB GROUP PLC,IE00BF0L3536,A5G.IR,Ireland
AIB GROUP PLC ORD,IE00BF0L3536,A5G.IR,Ireland
AIB GROUP PLC UNSPONSORED ADR,US00135T1043,AIBGY,United States
AIR CANADA VAR VTG SHS NPV,CA0089118776,AC.TO,Canada
AIR LIQUIDE,FR0000120073,AI.PA,France
AIR PROD & CHEMS INC COM USD,US0091581068,APD,United States
AIR WATER INC,JP3160670000,4088.T,Japan
AIRASIA BHD,MYL5099OO006,5099.KL,Malaysia
AIRBNB INC,US0090661010,ABNB,United States
AIRBUS SE,NL0000235190,AIR.PA,France
AIRTAC INTERNATIONAL GROUP,KYG014081064,1590.TW,Taiwan
AISIN SEIKI CO LTD,JP3102000001,7259.T,Japan
AJ BELL PLC,GB00BFZNLB60,AJB.L,United Kingdom
AJINOMOTO CO INC JPY,JP3119600009,2802.T,Japan
AKAMAI TECHNOLOGIES,US00971T1016,AKAM,United States
AKER BP ASA NOK1,NO0010345853,AKRBP.OL,Norway
AKERO THERAPEUTICS INC,US00973Y1082,AKRO,United States
AKZO NOBEL NV,NL0013267909,AKZA.AS,Netherlands
ALAMOS GOLD INC,CA0115321089,AGI.TO,Canada
ALARM.COM HOLDINGS INC,US0116421050,ALRM,United States
ALBERMARLE CORP,US0126531013,ALB,United States
ALBERTSONS COMPANIES INC,US0130911037,ACI,United States
ALCOA CORPORATION CDI 1 1 FOREIGN EXEMPT DEFERRED SETTLEMENT,AU0000339426,AAI.AX,Australia
ALCON AG,CH0432492467,ALC.SW,Switzerland
ALFA FINANCIAL SOFTWARE HOLDINGS ORDINARY SHARES,GB00BDHXPG30,ALFA.L,United Kingdom
ALFA LAVAL AB,SE0000695876,ALFA.ST,Sweden
ALFRESA HOLDINGS CORP,JP3126340003,2784.T,Japan
