AsAtDate,OptionName,Type,Name,Currency,SecurityIdentifier,UnitsHeld,Address,Ownership,Value,Weighting,ActualExposure,EffectOfExposure,TotalValue,TotalWeighting,TotalActualExposure
31 December 2024,Lifecycle_Balanced_Pool_Superannuation,Cash,JPMORGAN CHASE & CO,AUD,n/a,n/a,n/a,n/a,"$768,690,670",3.18%,,,,,
31 December 2024,Lifecycle_Balanced_Pool_Superannuation,Cash,MACQUARIE GROUP LTD.,USD,n/a,n/a,n/a,n/a,"$102,509,351",0.42%,,,,,
31 December 2024,Lifecycle_Balanced_Pool_Superannuation,Cash,STATE STREET BANK AND TRUST,USD,n/a,n/a,n/a,n/a,"$99,918,059",0.41%,,,,,
31 December 2024,Lifecycle_Balanced_Pool_Superannuation,Cash,MACQUARIE GROUP LTD.,AUD,n/a,n/a,n/a,n/a,"$94,489,865",0.39%,,,,,
31 December 2024,Lifecycle_Balanced_Pool_Superannuation,Cash,STATE STREET BANK AND TRUST,AUD,n/a,n/a,n/a,n/a,"$75,059,150",0.31%,,,,,
31 December 2024,Lifecycle_Balanced_Pool_Superannuation,Cash,MACQUARIE GROUP LTD.,EUR,n/a,n/a,n/a,n/a,"$56,438,271",0.23%,,,,,
31 December 2024,Lifecycle_Balanced_Pool_Superannuation,Cash,MACQUARIE GROUP LTD.,JPY,n/a,n/a,n/a,n/a,"$29,689,308",0.12%,,,,,
31 December 2024,Lifecycle_Balanced_Pool_Superannuation,Cash,NBN CO. LTD.,AUD,n/a,n/a,n/a,n/a,"$25,937,766",0.11%,,,,,
31 December 2024,Lifecycle_Balanced_Pool_Superannuation,Cash,COMMONWEALTH BANK OF AUSTRALIA,AUD,n/a,n/a,n/a,n/a,"$20,180,086",0.08%,,,,,
31 December 2024,Lifecycle_Balanced_Pool_Superannuation,Cash,MACQUARIE GROUP LTD.,GBP,n/a,n/a,n/a,n/a,"$16,810,955",0.07%,,,,,
31 December 2024,Lifecycle_Balanced_Pool_Superannuation,Cash,NATIONAL AUSTRALIA BANK LIMITED,AUD,n/a,n/a,n/a,n/a,"$15,603,077",0.06%,,,,,
31 December 2024,Lifecycle_Balanced_Pool_Superannuation,Cash,SCENTRE GROUP LTD,AUD,n/a,n/a,n/a,n/a,"$10,432,756",0.04%,,,,,
31 December 2024,Lifecycle_Balanced_Pool_Superannuation,Cash,BENDIGO & ADELAIDE BANK LTD.,AUD,n/a,n/a,n/a,n/a,"$8,231,046",0.03%,,,,,
31 December 2024,Lifecycle_Balanced_Pool_Superannuation,Cash,PACCAR FINANCIAL PTY LTD,AUD,n/a,n/a,n/a,n/a,"$7,245,271",0.03%,,,,,
31 December 2024,Lifecycle_Balanced_Pool_Superannuation,Cash,STATE STREET BANK AND TRUST,EUR,n/a,n/a,n/a,n/a,"$7,068,896",0.03%,,,,,
31 December 2024,Lifecycle_Balanced_Pool_Superannuation,Cash,GPT RE LTD,AUD,n/a,n/a,n/a,n/a,"$5,363,397",0.02%,,,,,
31 December 2024,Lifecycle_Balanced_Pool_Superannuation,Cash,MACQUARIE GROUP LTD.,KRW,n/a,n/a,n/a,n/a,"$3,559,054",0.01%,,,,,
31 December 2024,Lifecycle_Balanced_Pool_Superannuation,Cash,MACQUARIE GROUP LTD.,CAD,n/a,n/a,n/a,n/a,"$3,463,834",0.01%,,,,,
31 December 2024,Lifecycle_Balanced_Pool_Superannuation,Cash,JPMORGAN CHASE & CO,USD,n/a,n/a,n/a,n/a,"$2,802,317",0.01%,,,,,
31 December 2024,Lifecycle_Balanced_Pool_Superannuation,Cash,STATE STREET BANK AND TRUST,GBP,n/a,n/a,n/a,n/a,"$2,593,728",0.01%,,,,,
31 December 2024,Lifecycle_Balanced_Pool_Superannuation,Cash,"GOLDMAN SACHS GROUP, INC.",USD,n/a,n/a,n/a,n/a,"$2,577,363",0.01%,,,,,
31 December 2024,Lifecycle_Balanced_Pool_Superannuation,Cash,STATE STREET BANK AND TRUST,JPY,n/a,n/a,n/a,n/a,"$2,550,870",0.01%,,,,,
31 December 2024,Lifecycle_Balanced_Pool_Superannuation,Cash,MORGAN STANLEY,EUR,n/a,n/a,n/a,n/a,"$1,570,621",0.01%,,,,,
31 December 2024,Lifecycle_Balanced_Pool_Superannuation,Cash,"GOLDMAN SACHS GROUP, INC.",KRW,n/a,n/a,n/a,n/a,"$1,061,295",0.00%,,,,,
31 December 2024,Lifecycle_Balanced_Pool_Superannuation,Cash,STATE STREET BANK AND TRUST,CAD,n/a,n/a,n/a,n/a,"$966,668",0.00%,,,,,
31 December 2024,Lifecycle_Balanced_Pool_Superannuation,Cash,STATE STREET BANK AND TRUST,IDR,n/a,n/a,n/a,n/a,"$894,131",0.00%,,,,,
31 December 2024,Lifecycle_Balanced_Pool_Superannuation,Cash,MIZUHO BANK LTD.,USD,n/a,n/a,n/a,n/a,"$594,772",0.00%,,,,,
31 December 2024,Lifecycle_Balanced_Pool_Superannuation,Cash,STATE STREET BANK AND TRUST,COP,n/a,n/a,n/a,n/a,"$590,572",0.00%,,,,,
31 December 2024,Lifecycle_Balanced_Pool_Superannuation,Cash,STATE STREET BANK AND TRUST,HKD,n/a,n/a,n/a,n/a,"$576,313",0.00%,,,,,
31 December 2024,Lifecycle_Balanced_Pool_Superannuation,Cash,STATE STREET BANK AND TRUST,CNY,n/a,n/a,n/a,n/a,"$566,189",0.00%,,,,,
31 December 2024,Lifecycle_Balanced_Pool_Superannuation,Cash,STATE STREET BANK AND TRUST,BRL,n/a,n/a,n/a,n/a,"$485,759",0.00%,,,,,
31 December 2024,Lifecycle_Balanced_Pool_Superannuation,Cash,STATE STREET BANK AND TRUST,MXN,n/a,n/a,n/a,n/a,"$465,810",0.00%,,,,,
31 December 2024,Lifecycle_Balanced_Pool_Superannuation,Cash,STATE STREET BANK AND TRUST,PLN,n/a,n/a,n/a,n/a,"$465,000",0.00%,,,,,
31 December 2024,Lifecycle_Balanced_Pool_Superannuation,Cash,STATE STREET BANK AND TRUST,NZD,n/a,n/a,n/a,n/a,"$408,146",0.00%,,,,,
31 December 2024,Lifecycle_Balanced_Pool_Superannuation,Cash,STATE STREET BANK AND TRUST,PEN,n/a,n/a,n/a,n/a,"$338,413",0.00%,,,,,
31 December 2024,Lifecycle_Balanced_Pool_Superannuation,Cash,STATE STREET BANK AND TRUST,SGD,n/a,n/a,n/a,n/a,"$328,881",0.00%,,,,,
31 December 2024,Lifecycle_Balanced_Pool_Superannuation,Cash,STATE STREET BANK AND TRUST,INR,n/a,n/a,n/a,n/a,"$286,548",0.00%,,,,,
31 December 2024,Lifecycle_Balanced_Pool_Superannuation,Cash,STATE STREET BANK AND TRUST,ZAR,n/a,n/a,n/a,n/a,"$273,353",0.00%,,,,,
31 December 2024,Lifecycle_Balanced_Pool_Superannuation,Cash,"CITIGROUP, INC.",USD,n/a,n/a,n/a,n/a,"$248,090",0.00%,,,,,
31 December 2024,Lifecycle_Balanced_Pool_Superannuation,Cash,STATE STREET BANK AND TRUST,NOK,n/a,n/a,n/a,n/a,"$226,539",0.00%,,,,,
31 December 2024,Lifecycle_Balanced_Pool_Superannuation,Cash,JPMORGAN CHASE & CO,EUR,n/a,n/a,n/a,n/a,"$224,652",0.00%,,,,,
31 December 2024,Lifecycle_Balanced_Pool_Superannuation,Cash,STATE STREET BANK AND TRUST,CHF,n/a,n/a,n/a,n/a,"$223,615",0.00%,,,,,
31 December 2024,Lifecycle_Balanced_Pool_Superannuation,Cash,STATE STREET BANK AND TRUST,SAR,n/a,n/a,n/a,n/a,"$222,590",0.00%,,,,,
31 December 2024,Lifecycle_Balanced_Pool_Superannuation,Cash,JPMORGAN CHASE & CO,JPY,n/a,n/a,n/a,n/a,"$213,111",0.00%,,,,,
31 December 2024,Lifecycle_Balanced_Pool_Superannuation,Cash,STATE STREET BANK AND TRUST,SEK,n/a,n/a,n/a,n/a,"$201,850",0.00%,,,,,
31 December 2024,Lifecycle_Balanced_Pool_Superannuation,Cash,STATE STREET BANK AND TRUST,RUB,n/a,n/a,n/a,n/a,"$186,226",0.00%,,,,,
31 December 2024,Lifecycle_Balanced_Pool_Superannuation,Cash,STATE STREET BANK AND TRUST,MYR,n/a,n/a,n/a,n/a,"$182,157",0.00%,,,,,
31 December 2024,Lifecycle_Balanced_Pool_Superannuation,Cash,STATE STREET BANK AND TRUST,PHP,n/a,n/a,n/a,n/a,"$175,385",0.00%,,,,,
31 December 2024,Lifecycle_Balanced_Pool_Superannuation,Cash,STATE STREET BANK AND TRUST,KRW,n/a,n/a,n/a,n/a,"$141,343",0.00%,,,,,
31 December 2024,Lifecycle_Balanced_Pool_Superannuation,Cash,STATE STREET BANK AND TRUST,AED,n/a,n/a,n/a,n/a,"$140,964",0.00%,,,,,
