Stock ID,Name/Kind of Investment Item,YF_Symbol,YF_Suffix,YF_Exchange,YF_Country
DK0010244425,A P MOLLER MAERSK AS,,,,
US02079K3059,ALPHABET INC CLASS A EQUITY,,,,
JE00BTDN8H13,APTIV PLC NEW ORD USD0.01,,,,
AU0000305724,ARCADIUM LITHIUM CDI DEFEERED,,,,
US29109X1063,ASPEN TECHNOLOGY,,,,
AU0000321788,AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED CAP NOTE,,,,
US05478C1053,AZEK COMPANY INC,,,,
US10921T1016,BRIGHTCOVE INC,,,,
GB00B0N8QD54,BRITVIC PLC,,,,
CA13000C2058,CALIBRE MINING CORP,,,,
AU0000003832,COMMONWEALTH BANK OF AUSTRALIA CAP NOTE 3-BBSW+3.40% PERP NON-CUM RED T-04-25,,,,
AU000000DEG6,DE GREY MINING LTD,,,,
US2547091080,DISCOVER FINANCIAL SERVICES,,,,
SE0015658117,EPIROC AB SER B NPV POST SPLIT,,,,
AEN000101016,FIRST ABU DHABI BANK PJSC,,,,
GB00B1VZ0M25,HARGREAVES LANSDOWN PLC,,,,
US4181001037,HASHICORP INC,,,,
FI0009000202,KESKO OYJ-B SHS,,,,
NO0003043309,KONGSBERG GRUPPEN ORD SHS,,,,
FR001400M8G9,LOREAL EUR 0.2 PRIME DE FIDELITE 2,,,,
FR0011149590,LOREAL EUR PRIME FIDELIT REGD,,,,
PHY5342M1000,LT GROUP INC,,,,
GB00BJHPLV88,NINETY ONE PLC ORD GBP0.0001,,,,
US68287N1000,ONESPAN INC COM USD0,,,,
CA68827L1013,OSISKO GOLD ROYALTIES LTD,,,,
US6983412031,PANDORA AS SPONSORED ADR,,,,
GB00BNR4T868,RENEWI PLC ORD GBP1,,,,
GB00BDVZYZ77,ROYAL MAIL PLC,,,,
TH9460010019,S HOTELS AND RESORTS PCL,,,,
CA81373C1023,SECURE ENERGY SERVICES INC,,,,
CA8283631015,SILVERCREST METALS ORD,,,,
SE0016101844,SINCH AB NPV,,,,
GB00BYQB9V88,TI FLUID SYSTEMS PLC,,,,
CNE100005D50,YONGAN FUTURES CO LTD A,,,,
DE000ZAL1111,ZALANDO SE NPV,,,,
GB00BYXVMJ03,CARE REIT PLC,,,,
AU0000367088,DIGICO INFRASTRUCTURE REIT FULLY PAID ORD UNITS STAPLED SECURITY,,,,
ES0105015012,LAR ESPANA REAL ESTATE SA,,,,
US69007J1060,OUTFRONT MEDIA INC COM NPV,,,,
SG2G02994595,PARAGON REIT,,,,
US76131N1019,RETAIL OPPORTUNITY INVESTMENT,,,,
JP3048200004,STAR ASIA INVESTME REIT,,,,
US88146M1018,TERRENO REALTY COR COM,,,,
GB00BYV8MN78,URBAN LOGISTICS REIT PLC,,,,
CNE000000R93,CHONGQING ROAD BRIDGE CO A,,,,
PHY1757W1054,CONVERGE INFORMATION AND COMMUNICATIONS TECHNOLOGY SOLUTIONS,,,,
US29336T1007,ENLINK MIDSTREAM LLC,,,,
PHY411571011,INTERNATIONAL CONTAINER TERMINAL SERVICES INCOPORATED,,,,
TH8170010012,PRIMA MARINE ORD SHS F,,,,
