Name,Stock ID,Yahoo ticker,LC
3M Co,US88579Y1010,MMM,United States
3i Group PLC,GB00B1YW4409,III.L,United Kingdom
A O Smith Corp,US8318652091,AOS,United States
ABB Ltd,CH0012221716,ABBN.SW,Switzerland
ABN AMRO Bank NV,NL0011540547,ABN.AS,Netherlands
ACS Actividades de Construccion y Servicio,ES0167050915,ACS.MC,Spain
AECOM,US00766T1007,ACM,United States
AES Corp/The,US00130H1059,AES,United States
AGC Inc,JP3112000009,5201.T,Japan
AGL Energy Ltd,AU000000AGL7,AGL.AX,Australia
AIA Group Ltd,HK0000069689,1299.HK,Hong Kong
AIB Group PLC,IE00BF0L3536,A5G.IR,Ireland
ALS Ltd,AU000000ALQ6,ALQ.AX,Australia
AMETEK Inc,US0311001004,AME,United States
AMP Ltd,AU000000AMP6,AMP.AX,Australia
ANA Holdings Inc,JP3429800000,9202.T,Japan
ANSYS Inc,US03662Q1058,,
AP Moller - Maersk A/S,DK0010244425,MAERSK-A.CO,Denmark
AP Moller - Maersk A/S,DK0010244508,MAERSK-B.CO,Denmark
APA Corp,US03743Q1085,APA,United States
ARB Corp Ltd,AU000000ARB5,ARB.AX,Australia
ARC Resources Ltd,CA00208D4084,ARX.TO,Canada
ASM International NV,NL0000334118,ASM.AS,Netherlands
ASML Holding NV,NL0010273215,ASML.AS,Netherlands
ASR Nederland NV,NL0011872643,ASRNL.AS,Netherlands
ASX Ltd,AU000000ASX7,ASX.AX,Australia
AT&T Inc,US00206R1023,T,United States
ATI Inc,US01741R1023,ATI,United States
AUB Group Ltd,AU000000AUB9,AUB.AX,Australia
AVZ Minerals Ltd,AU000000AVZ6,,
AXA SA,FR0000120628,CS.PA,France
AbbVie Inc,US00287Y1091,ABBV,United States
Abbott Laboratories,US0028241000,ABT,United States
Academy Sports & Outdoors Inc,US00402L1070,ASO,United States
Accent Group Ltd,AU000000AX19,AX1.AX,Australia
Accenture PLC,IE00B4BNMY34,ACN,United States
Acciona SA,ES0125220311,ANA.MC,Spain
Accor SA,FR0000120404,AC.PA,France
Accton Technology Corp,TW0002345006,2345.TW,Taiwan
Acuity Brands Inc,US00508Y1029,AYI,United States
Adairs Ltd,AU000000ADH2,ADH.AX,Australia
AddTech AB,SE0014781795,ADDT-B.ST,Sweden
Adecco Group AG,CH0012138605,ADEN.SW,Switzerland
Admiral Group PLC,GB00B02J6398,ADM.L,United Kingdom
Adobe Inc,US00724F1012,ADBE,United States
Adriatic Metals PLC,AU0000004772,ADT.AX,Australia
Advanced Micro Devices Inc,US0079031078,AMD,United States
Advantech Co Ltd,TW0002395001,2395.TW,Taiwan
Advantest Corp,JP3122400009,6857.T,Japan
Adyen NV,NL0012969182,ADYEN.AS,Netherlands
Aegon Ltd,BMG0112X1056,AGN.AS,Netherlands
Aena SME SA,ES0105046009,AENA.MC,Spain
Aeon Co Ltd,JP3388200002,8267.T,Japan
AerCap Holdings NV,NL0000687663,AER,United States
Aeroports de Paris SA,FR0010340141,ADP.PA,France
Aflac Inc,US0010551028,AFL,United States
Ageas SA/NV,BE0974264930,AGS.BR,Belgium
Agilent Technologies Inc,US00846U1016,A,United States
Agnico Eagle Mines Ltd,CA0084741085,AEM,United States
Ainsworth Game Technology Ltd,AU000000AGI3,AGI.AX,Australia
Air Canada,FR0000120404,AC.PA,France
Air Liquide SA,FR0000120073,AI.PA,France
Air New Zealand Ltd,NZAIRE0001S2,AIR.NZ,New Zealand
Air Products and Chemicals Inc,US0091581068,APD,United States
Airbnb Inc,US0090661010,ABNB,United States
Airbus SE,NL0000235190,AIR.PA,France
Aisin Corp,JP3102000001,7259.T,Japan
Ajinomoto Co Inc,JP3119600009,2802.T,Japan
Akamai Technologies Inc,US00971T1016,AKAM,United States
Aker BP ASA,NO0010345853,AKRBP.OL,Norway
Akzo Nobel NV,NL0013267909,AKZA.AS,Netherlands
Albemarle Corp,US0126531013,ALB,United States
Albertsons Cos Inc,US0130911037,ACI,United States
Alcoa Corp,AU0000339426,AAI.AX,Australia
Alcon AG,CH0432492467,ALC.SW,Switzerland
Alfa Laval AB,SE0000695876,ALFA.ST,Sweden
Alibaba Group Holding Ltd,KYG017191142,9988.HK,Hong Kong
Alibaba Group Holding Ltd,US01609W1027,BABA,United States
Align Technology Inc,US0162551016,ALGN,United States
Alimentation Couche-Tard Inc,CA01626P1484,ATD.TO,Canada
Allegion plc,IE00BFRT3W74,ALLE,United States
Alliant Energy Corp,US0188021085,LNT,United States
Allianz SE,DE0008404005,ALV.DE,Germany
Allstate Corp/The,US0200021014,ALL,United States
Ally Financial Inc,US02005N1000,ALLY,United States
Alnylam Pharmaceuticals Inc,US02043Q1076,ALNY,United States
Alpha HPA Ltd,AU0000033060,A4N.AX,Australia
Alpha Metallurgical Resources Inc,US0207641061,AMR,United States
Alphabet Inc,US02079K1079,GOOG,United States
Alphabet Inc,US02079K3059,,
Alstom SA,FR0010220475,ALO.PA,France
AltaGas Ltd,CA0213611001,ALA.TO,Canada
Amadeus IT Group SA,ES0109067019,AMS.MC,Spain
Amazon.com Inc,US0231351067,AMZN,United States
Ambev SA,US02319V1035,ABEVN.MX,Mexico
Amcor PLC,AU000000AMC4,AU000000AMC4.SG,Germany
Amcor PLC,JE00BJ1F3079,AMCR,United States
Ameren Corp,US0236081024,AEE,United States
America Movil SAB de CV,US02390A1016,AMX,United States
American Electric Power Co Inc,US0255371017,AEP,United States
American Express Co,US0258161092,AXP,United States
