Name,Stock ID,Yahoo ticker,LC
ABIOMED Inc,US003CVR0169,,
Abu Dhabi Commercial Bank PJSC,AEA000201011,,
Abu Dhabi Islamic Bank PJSC,AEA000801018,,
Abu Dhabi National Oil Co for Distribution PJSC,AEA006101017,,
ADNOC Drilling Co PJSC,AEA007301012,,
Aldar Properties PJSC,AEA002001013,,
Alphabet Inc,US02079K3059,,
Alpha Services and Holdings SA,GRS015003007,,
Americana Restaurants International PLC - Foreign Co,AEE01135A222,,
ANSYS Inc,US03662Q1058,,
Arcadium Lithium PLC,AU0000305724,,
Aspen Technology Inc,US29109X1063,,
Ayala Corp,PHY0486V1154,,
Ayala Land Inc,PHY0488F1004,,
AZEK Co Inc/The,US05478C1053,,
Bancolombia SA,COB07PA00078,,
Bancolombia SA,US05968L1026,,
Bancolombia SA,COB07PA00086,,
Bank of the Philippine Islands,PHY0967S1694,,
Barrick Gold Corp,CA0679011084,,
BDO Unibank Inc,PHY077751022,,
Block Inc,AU0000187353,,
De Grey Mining Ltd,AU000000DEG6,,
Discover Financial Services,US2547091080,,
Domain Holdings Australia Ltd,AU000000DHG9,,
Emirates Telecommunications Group Co PJSC,AEE000401019,,
Epiroc AB,SE0015658117,,
First Abu Dhabi Bank PJSC,AEN000101016,,
Gulf Energy Development PCL,TH8319010R14,,
Haitong Securities Co Ltd,CNE1000019K9,,
Haitong Securities Co Ltd,CNE000000CK1,,
Hargreaves Lansdown PLC,GB00B1VZ0M25,,
Hess Corp,US42809H1077,,
International Container Terminal Services Inc,PHY411571011,,
Intouch Holdings PCL,TH0201010R12,,
JBS S/A,BRJBSSACNOR8,,
JG Summit Holdings Inc,PHY444251177,,
Jollibee Foods Corp,PHY4466S1007,,
Juniper Networks Inc,US48203R1041,,
Kesko Oyj,FI0009000202,,
Kongsberg Gruppen ASA,NO0003043309,,
Latin Resources Ltd,AU000000LRS6,,
Leo Lithium Ltd,AU0000221251,,
Magellan Financial Group Ltd,AU0000215808,,
Manila Electric Co,PHY5764J1483,,
Metropolitan Bank & Trust Co,PHY6028G1361,,
Multiply Group PJSC,AEM001001019,,
Natura & Co Holding SA,BRNTCOACNOR5,,
Opthea Ltd,AU000000OPT2,,
PLDT Inc,PHY7072Q1032,,
Richter Gedeon Nyrt,HU0000123096,,
Robinsons Retail Holdings Inc,PHY7318T1017,,
Sagax AB,SE0005127818,,
Shin Kong Financial Holding Co Ltd,TW0002888005,,
SM Investments Corp,PHY806761029,,
SM Prime Holdings Inc,PHY8076N1120,,
Spartan Resources Ltd/Australia,AU0000294233,,
TELUS Corp,CA87971M9969,,
Universal Robina Corp,PHY9297P1004,,
Walgreens Boots Alliance Inc,US9314271084,,
