Option Name,Asset Class Name,Name/Kind of Investment Item,Stock ID,ID_Type,Listed Country,Exchange Code,Ticker,Yahoo Ticker
Lifecycle_Balanced_Pool_Superannuation,Listed Equity,COMMONWEALTH BANK OF AUSTRALIA,CBA AU,BB Ticker,Australia,,,
Lifecycle_Balanced_Pool_Superannuation,Listed Equity,BHP GROUP LTD.,BHP AU,BB Ticker,Australia,,,
Lifecycle_Balanced_Pool_Superannuation,Listed Equity,NVIDIA CORP.,NVDA US,BB Ticker,United States,,,
Lifecycle_Balanced_Pool_Superannuation,Listed Equity,CSL LTD.,CSL AU,BB Ticker,Australia,,,
Lifecycle_Balanced_Pool_Superannuation,Listed Equity,"AMAZON.COM, INC.",AMZN US,BB Ticker,United States,,,
Lifecycle_Balanced_Pool_Superannuation,Listed Equity,NATIONAL AUSTRALIA BANK LTD.,NAB AU,BB Ticker,Australia,,,
Lifecycle_Balanced_Pool_Superannuation,Listed Equity,WESTPAC BANKING CORP.,WBC AU,BB Ticker,Australia,,,
Lifecycle_Balanced_Pool_Superannuation,Listed Equity,ANZ GROUP HOLDINGS LTD.,ANZ AU,BB Ticker,Australia,,,
Lifecycle_Balanced_Pool_Superannuation,Listed Equity,"APPLE, INC.",AAPL US,BB Ticker,United States,,,
Lifecycle_Balanced_Pool_Superannuation,Listed Equity,MACQUARIE GROUP LTD.,MQG AU,BB Ticker,Australia,,,
Lifecycle_Balanced_Pool_Superannuation,Listed Equity,ISHARES CORE S&P 500 ETF,IVV US,BB Ticker,United States,,,
Lifecycle_Balanced_Pool_Superannuation,Listed Equity,WESFARMERS LTD.,WES AU,BB Ticker,Australia,,,
Lifecycle_Balanced_Pool_Superannuation,Listed Equity,MICROSOFT CORP.,MSFT US,BB Ticker,United States,,,
Lifecycle_Balanced_Pool_Superannuation,Listed Equity,TELSTRA GROUP LTD.,TLS AU,BB Ticker,Australia,,,
Lifecycle_Balanced_Pool_Superannuation,Listed Equity,RIO TINTO LTD.,RIO AU,BB Ticker,Australia,,,
Lifecycle_Balanced_Pool_Superannuation,Listed Equity,WOODSIDE ENERGY GROUP LTD.,WDS AU,BB Ticker,Australia,,,
Lifecycle_Balanced_Pool_Superannuation,Listed Equity,ARISTOCRAT LEISURE LTD.,ALL AU,BB Ticker,Australia,,,
Lifecycle_Balanced_Pool_Superannuation,Listed Equity,"TESLA, INC.",TSLA US,BB Ticker,United States,,,
Lifecycle_Balanced_Pool_Superannuation,Listed Equity,WOOLWORTHS GROUP LTD.,WOW AU,BB Ticker,Australia,,,
Lifecycle_Balanced_Pool_Superannuation,Listed Equity,QBE INSURANCE GROUP LTD.,QBE AU,BB Ticker,Australia,,,
Lifecycle_Balanced_Pool_Superannuation,Listed Equity,"META PLATFORMS, INC.",META US,BB Ticker,United States,,,
Lifecycle_Balanced_Pool_Superannuation,Listed Equity,FORTESCUE LTD.,FMG AU,BB Ticker,Australia,,,
Lifecycle_Balanced_Pool_Superannuation,Listed Equity,"ALPHABET, INC.",GOOGL US,BB Ticker,United States,,,
Lifecycle_Balanced_Pool_Superannuation,Listed Equity,BRAMBLES LTD.,BXB AU,BB Ticker,Australia,,,
Lifecycle_Balanced_Pool_Superannuation,Listed Equity,XERO LTD.,XRO AU,BB Ticker,Australia,,,
Lifecycle_Balanced_Pool_Superannuation,Listed Equity,COLES GROUP LTD.,COL AU,BB Ticker,Australia,,,
Lifecycle_Balanced_Pool_Superannuation,Listed Equity,"RESMED, INC.",RMD AU,BB Ticker,Australia,,,
Lifecycle_Balanced_Pool_Superannuation,Listed Equity,SANTOS LTD.,STO AU,BB Ticker,Australia,,,
Lifecycle_Balanced_Pool_Superannuation,Listed Equity,"BROADCOM, INC.",AVGO US,BB Ticker,United States,,,
Lifecycle_Balanced_Pool_Superannuation,Listed Equity,SUNCORP GROUP LTD.,SUN AU,BB Ticker,Australia,,,
Lifecycle_Balanced_Pool_Superannuation,Listed Equity,INSURANCE AUSTRALIA GROUP LTD.,IAG AU,BB Ticker,Australia,,,
Lifecycle_Balanced_Pool_Superannuation,Listed Equity,"ALPHABET, INC.",GOOG US,BB Ticker,United States,,,
Lifecycle_Balanced_Pool_Superannuation,Listed Equity,WISETECH GLOBAL LTD.,WTC AU,BB Ticker,Australia,,,
Lifecycle_Balanced_Pool_Superannuation,Listed Equity,COCHLEAR LTD.,COH AU,BB Ticker,Australia,,,
