Option Name,Asset Class Name,Name/Kind of Investment Item,Stock ID,ID_Type,Listed Country,Exchange Code,Ticker,Yahoo Ticker
Balanced Growth,LISTED EQUITY,BHP GROUP LTD.,BHP AU,BB Ticker,Australia,,,
Balanced Growth,LISTED EQUITY,COMMONWEALTH BANK OF AUSTRALIA,CBA AU,BB Ticker,Australia,,,
Balanced Growth,LISTED EQUITY,MICROSOFT CORP.,MSFT US,BB Ticker,United States,,,
Balanced Growth,LISTED EQUITY,"APPLE, INC.",AAPL US,BB Ticker,United States,,,
Balanced Growth,LISTED EQUITY,"AMAZON.COM, INC.",AMZN US,BB Ticker,United States,,,
Balanced Growth,LISTED EQUITY,CSL LTD.,CSL AU,BB Ticker,Australia,,,
Balanced Growth,LISTED EQUITY,NVIDIA CORP.,NVDA US,BB Ticker,United States,,,
Balanced Growth,LISTED EQUITY,"META PLATFORMS, INC.",META US,BB Ticker,United States,,,
Balanced Growth,LISTED EQUITY,NATIONAL AUSTRALIA BANK LTD.,NAB AU,BB Ticker,Australia,,,
Balanced Growth,LISTED EQUITY,WESTPAC BANKING CORP.,WBC AU,BB Ticker,Australia,,,
Balanced Growth,LISTED EQUITY,MACQUARIE GROUP LTD.,MQG AU,BB Ticker,Australia,,,
Balanced Growth,LISTED EQUITY,"ALPHABET, INC.",GOOG US,BB Ticker,United States,,,
Balanced Growth,LISTED EQUITY,ANZ GROUP HOLDINGS LTD.,ANZ AU,BB Ticker,Australia,,,
Balanced Growth,LISTED EQUITY,"ALPHABET, INC.",GOOGL US,BB Ticker,United States,,,
Balanced Growth,LISTED EQUITY,"UNITEDHEALTH GROUP, INC.",UNH US,BB Ticker,United States,,,
Balanced Growth,LISTED EQUITY,TELSTRA GROUP LTD.,TLS AU,BB Ticker,Australia,,,
Balanced Growth,LISTED EQUITY,"RESMED, INC.",RMD AU,BB Ticker,Australia,,,
Balanced Growth,LISTED EQUITY,XERO LTD.,XRO AU,BB Ticker,Australia,,,
Balanced Growth,LISTED EQUITY,TAIWAN SEMICONDUCTOR MANUFACTURING CO. LTD.,TSM US,BB Ticker,United States,,,
