Option Name,Asset Class Name,Name/Kind of Investment Item,Stock ID,ID_Type,Listed Country,Exchange Code,Ticker,Yahoo Ticker
Balanced,Listed Equity,3i Group PLC,III LN,BB Ticker,United Kingdom,,,
Balanced,Listed Equity,3M Co,MMM US,BB Ticker,United States,,,
Balanced,Listed Equity,A O Smith Corp,AOS US,BB Ticker,United States,,,
Balanced,Listed Equity,a2 Milk Co Ltd/The,A2M AU,BB Ticker,Australia,,,
Balanced,Listed Equity,A2A SpA,A2A IM,BB Ticker,Italy,,,
Balanced,Listed Equity,AAC Technologies Holdings Inc,2018 HK,BB Ticker,Hong Kong,,,
Balanced,Listed Equity,ABB Ltd,ABBN SW,BB Ticker,Switzerland,,,
Balanced,Listed Equity,Abbott Laboratories,ABT US,BB Ticker,United States,,,
Balanced,Listed Equity,AbbVie Inc,ABBV US,BB Ticker,United States,,,
Balanced,Listed Equity,ABN AMRO Bank NV,ABN NA,BB Ticker,Netherlands,,,
Balanced,Listed Equity,Abu Dhabi Commercial Bank PJSC,ADCB UH,BB Ticker,United Arab Emirates,,,
Balanced,Listed Equity,Abu Dhabi Islamic Bank PJSC,ADIB UH,BB Ticker,United Arab Emirates,,,
Balanced,Listed Equity,Accent Group Ltd,AX1 AU,BB Ticker,Australia,,,
Balanced,Listed Equity,Accenture PLC,ACN US,BB Ticker,United States,,,
Balanced,Listed Equity,Accton Technology Corp,2345 TT,BB Ticker,Taiwan,,,
Balanced,Listed Equity,ACS Actividades de Construccion y Servicios SA,ACS SM,BB Ticker,Spain,,,
Balanced,Listed Equity,Acuity Brands Inc,AYI US,BB Ticker,United States,,,
Balanced,Listed Equity,Adairs Ltd,ADH AU,BB Ticker,Australia,,,
Balanced,Listed Equity,adidas AG,ADS GR,BB Ticker,Germany,,,
Balanced,Listed Equity,Adnoc Gas PLC,ADNOCGAS UH,BB Ticker,United Arab Emirates,,,
Balanced,Listed Equity,ADNOC Logistics & Services,ADNOCLS UH,BB Ticker,United Arab Emirates,,,
Balanced,Listed Equity,Adobe Inc,ADBE US,BB Ticker,United States,,,
Balanced,Listed Equity,Adriatic Metals PLC,ADT AU,BB Ticker,Australia,,,
Balanced,Listed Equity,Advanced Micro Devices Inc,AMD US,BB Ticker,United States,,,
Balanced,Listed Equity,Advantech Co Ltd,2395 TT,BB Ticker,Taiwan,,,
Balanced,Listed Equity,Advantest Corp,6857 JP,BB Ticker,Japan,,,
Balanced,Listed Equity,Adyen NV,ADYEN NA,BB Ticker,Netherlands,,,
Balanced,Listed Equity,Aena SME SA,AENA SM,BB Ticker,Spain,,,
Balanced,Listed Equity,AerCap Holdings NV,AER US,BB Ticker,United States,,,
Balanced,Listed Equity,Aeroports de Paris SA,ADP FP,BB Ticker,France,,,
Balanced,Listed Equity,Aflac Inc,AFL US,BB Ticker,United States,,,
Balanced,Listed Equity,Agilent Technologies Inc,A US,BB Ticker,United States,,,
Balanced,Listed Equity,AGL Energy Ltd,AGL AU,BB Ticker,Australia,,,
Balanced,Listed Equity,Agnico Eagle Mines Limited/Mines Agnico Eagle Limitee,AEM CN,BB Ticker,Canada,,,
Balanced,Listed Equity,AIA Group Ltd,1299 HK,BB Ticker,Hong Kong,,,
Balanced,Listed Equity,AIB Group PLC,AIBG ID,BB Ticker,Ireland,,,
Balanced,Listed Equity,Aier Eye Hospital Group Co Ltd,300015 C2,BB Ticker,China,,,
Balanced,Listed Equity,Air Canada,AC CN,BB Ticker,Canada,,,
Balanced,Listed Equity,Air Liquide SA,AI FP,BB Ticker,France,,,
Balanced,Listed Equity,Airbnb Inc,ABNB US,BB Ticker,United States,,,
Balanced,Listed Equity,Airbus SE,AIR FP,BB Ticker,France,,,
Balanced,Listed Equity,Airtac International Group,1590 TT,BB Ticker,Taiwan,,,
Balanced,Listed Equity,Ajinomoto Co Inc,2802 JP,BB Ticker,Japan,,,
Balanced,Listed Equity,Akamai Technologies Inc,AKAM US,BB Ticker,United States,,,
Balanced,Listed Equity,Akbank TAS,AKBNK TI,BB Ticker,Turkey,,,
Balanced,Listed Equity,Al Rajhi Bank,RJHI AB,BB Ticker,Saudi Arabia,,,
Balanced,Listed Equity,Al Rajhi Co for Co-operative Insurance,ARCCI AB,BB Ticker,Saudi Arabia,,,
Balanced,Listed Equity,Albertsons Cos Inc,ACI US,BB Ticker,United States,,,
Balanced,Listed Equity,Alcoa Corp,AAI AU,BB Ticker,Australia,,,
Balanced,Listed Equity,Alcoa Corp,AA US,BB Ticker,United States,,,
Balanced,Listed Equity,Alcon Inc,ALC SW,BB Ticker,Switzerland,,,
Balanced,Listed Equity,Alfresa Holdings Corp,2784 JP,BB Ticker,Japan,,,
Balanced,Listed Equity,Algonquin Power & Utilities Corp,AQN CN,BB Ticker,Canada,,,
Balanced,Listed Equity,Alibaba Group Holding Ltd,BABA US,BB Ticker,United States,,,
Balanced,Listed Equity,Alibaba Group Holding Ltd,9988 HK,BB Ticker,Hong Kong,,,
Balanced,Listed Equity,Align Technology Inc,ALGN US,BB Ticker,United States,,,
Balanced,Listed Equity,Allegion plc,ALLE US,BB Ticker,United States,,,
Balanced,Listed Equity,Allegro.eu SA,ALE PW,BB Ticker,Poland,,,
Balanced,Listed Equity,ALLETE Inc,ALE US,BB Ticker,United States,,,
Balanced,Listed Equity,Alliance Aviation Services Ltd,AQZ AU,BB Ticker,Australia,,,
