Option Name,Asset Class Name,Name/Kind of Investment Item,Stock ID,ID_Type,Listed Country
Balanced Growth,Listed equity,361 DEGREES INTERNATIONAL LTD COMMON STOCK HKD 0.1,B51BL70,SEDOL,
Balanced Growth,Listed equity,3I GROUP,B1YW440,SEDOL,
Balanced Growth,Listed equity,3SBIO,BY9D3L9,SEDOL,
Balanced Growth,Listed equity,AAC TECHNOLOGIES (CN),B85LKS1,SEDOL,
Balanced Growth,Listed equity,ABB INDIA LTD COMMON STOCK INR 2,B1Y9QS9,SEDOL,
Balanced Growth,Listed equity,ABB LTD,7108899,SEDOL,
Balanced Growth,Listed equity,ABB LTD COMMON STOCK CHF 0.12,7113815,SEDOL,
Balanced Growth,Listed equity,ABBOTT LABORATORIES,2002305,SEDOL,
Balanced Growth,Listed equity,ABBVIE,B92SR70,SEDOL,
Balanced Growth,Listed equity,ABN AMRO BANK,BYQP136,SEDOL,
Balanced Growth,Listed equity,ABOITIZ EQUITY VENTURES,6068411,SEDOL,
Balanced Growth,Listed equity,ABOITIZ POWER,B1Z9Q99,SEDOL,
Balanced Growth,Listed equity,ABSA GROUP,BFX05H3,SEDOL,
Balanced Growth,Listed equity,ABU DHABI ISLAMIC BK(AE),6001728,SEDOL,
Balanced Growth,Listed equity,ACCENT GROUP LTD,BD20RS5,SEDOL,
Balanced Growth,Listed equity,ACCENTURE A,B4BNMY3,SEDOL,
Balanced Growth,Listed equity,ACCOR,5852842,SEDOL,
Balanced Growth,Listed equity,ACS ACTIV CONST Y SVCS,B01FLQ6,SEDOL,
Balanced Growth,Listed equity,ADAIRS LTD,BYYT7Q5,SEDOL,
Balanced Growth,Listed equity,ADANI ENTERPRISES,B01VRK0,SEDOL,
Balanced Growth,Listed equity,ADANI GREEN ENERGY,BD6H7M6,SEDOL,
Balanced Growth,Listed equity,ADANI PORTS AND SEZ,B28XXH2,SEDOL,
Balanced Growth,Listed equity,ADANI POWER,B3WQH49,SEDOL,
Balanced Growth,Listed equity,ADANI TRANSMISSION,BYPCLL6,SEDOL,
Balanced Growth,Listed equity,ADARO ENERGY INDONESIA,B3BQFC4,SEDOL,
Balanced Growth,Listed equity,ADDTECH B,BLN8T44,SEDOL,
Balanced Growth,Listed equity,ADECCO GROUP,7110720,SEDOL,
Balanced Growth,Listed equity,ADIDAS,4031976,SEDOL,
Balanced Growth,Listed equity,ADITYA BIRLA CAPITAL LTD COMMON STOCK INR 10,BYVKT10,SEDOL,
Balanced Growth,Listed equity,ADNOC DRILLING CO PJSC COMMON STOCK AED,BN12D39,SEDOL,
Balanced Growth,Listed equity,ADNOC GAS PLC,BPJLW35,SEDOL,
Balanced Growth,Listed equity,ADNOC LOGISTICS & SERVICES COMMON STOCK AED 1.983,BRBN103,SEDOL,
Balanced Growth,Listed equity,ADOBE,2008154,SEDOL,
Balanced Growth,Listed equity,ADP,B164FY1,SEDOL,
Balanced Growth,Listed equity,ADTALEM GLOBAL EDUCATION INC COMMON STOCK USD 0.01,BZ12TX5,SEDOL,
Balanced Growth,Listed equity,ADVANCED INFO SERVICE PCL FOREIGN SH. THB 1,6412591,SEDOL,
Balanced Growth,Listed equity,ADVANCED MICRO DEVICES,2007849,SEDOL,
Balanced Growth,Listed equity,ADVANTEST CORP,6870490,SEDOL,
Balanced Growth,Listed equity,ADYEN NV,BZ1HM42,SEDOL,
Balanced Growth,Listed equity,AECOM,B1VZ431,SEDOL,
Balanced Growth,Listed equity,AEGON,BPH0Y27,SEDOL,
Balanced Growth,Listed equity,AEGON LTD NY REG SHRS USD,BSB7ZN3,SEDOL,
Balanced Growth,Listed equity,AENA,BVRZ8L1,SEDOL,
Balanced Growth,Listed equity,AERCAP HOLDINGS NV,B1HHKD3,SEDOL,
Balanced Growth,Listed equity,AG ANADOLU GRUBU HOLDING AS COMMON STOCK TRY 1,B03MZM9,SEDOL,
Balanced Growth,Listed equity,AGILE GROUP HOLDINGS,B0PR2F4,SEDOL,
Balanced Growth,Listed equity,AGILENT TECHNOLOGIES,2520153,SEDOL,
Balanced Growth,Listed equity,AGL ENERGY,BSS7GP5,SEDOL,
Balanced Growth,Listed equity,AGNICO EAGLE MINES,2009823,SEDOL,
Balanced Growth,Listed equity,AGNICO EAGLE MINES LTD COMMON STOCK CAD 0,2009834,SEDOL,
Balanced Growth,Listed equity,AGRI BANK OF CHINA H,B60LZR6,SEDOL,
Balanced Growth,Listed equity,AGRI BANK OF CN A (HK-C),BP3R228,SEDOL,
Balanced Growth,Listed equity,AHOLD DELHAIZE,BD0Q398,SEDOL,
Balanced Growth,Listed equity,AIA GROUP,B4TX8S1,SEDOL,
Balanced Growth,Listed equity,AIB GROUP,BF0L353,SEDOL,
Balanced Growth,Listed equity,AIMA TECHNOLOGY GROUP CO LTD COMMON STOCK CNY 1,BP91ND2,SEDOL,
Balanced Growth,Listed equity,AINSWORTH GAME TECHNOLOGY LTD COMMON STOCK AUD 0,6427829,SEDOL,
Balanced Growth,Listed equity,AIR NEW ZEALAND LTD COMMON STOCK NZD 0,6426569,SEDOL,
Balanced Growth,Listed equity,AIRBNB A,BMGYYH4,SEDOL,
Balanced Growth,Listed equity,AIRBUS,4012250,SEDOL,
Balanced Growth,Listed equity,AIRTAC INTERNATIONAL,B52J816,SEDOL,
Balanced Growth,Listed equity,AISIN CORP,6010702,SEDOL,
Balanced Growth,Listed equity,AJIN INDUSTRIAL CO LTD COMMON STOCK KRW 500,BDCWS11,SEDOL,
Balanced Growth,Listed equity,AKAMAI TECHNOLOGIES,2507457,SEDOL,
Balanced Growth,Listed equity,AKBANK,B03MN70,SEDOL,
Balanced Growth,Listed equity,AKER BP,B1L95G3,SEDOL,
Balanced Growth,Listed equity,AKZO NOBEL,BJ2KSG2,SEDOL,
Balanced Growth,Listed equity,AL RAJHI BANKING & INV,B12LZH9,SEDOL,
Balanced Growth,Listed equity,AL RAYAN BANK,B0VR7W0,SEDOL,
Balanced Growth,Listed equity,ALCOA CORP CDI AUD,BSY2LN7,SEDOL,
Balanced Growth,Listed equity,ALDAR PROPERTIES,B0LX3Y2,SEDOL,
Balanced Growth,Listed equity,ALFA,2043423,SEDOL,
Balanced Growth,Listed equity,ALFA LAVAL,7332687,SEDOL,
Balanced Growth,Listed equity,ALIBABA GROUP HLDG ADR,BP41ZD1,SEDOL,
Balanced Growth,Listed equity,ALIBABA GRP HLDG (HK),BK6YZP5,SEDOL,
Balanced Growth,Listed equity,ALIGN TECHNOLOGY,2679204,SEDOL,
Balanced Growth,Listed equity,ALIMENTATION COUCHE,BL56KN2,SEDOL,
Balanced Growth,Listed equity,ALIOR BANK,B8W8F13,SEDOL,
Balanced Growth,Listed equity,ALL WINNER TECHNOLOGY CO LTD COMMON STOCK CNY 1,BD5M1H5,SEDOL,
Balanced Growth,Listed equity,ALLEGRO.EU,BMBQDF6,SEDOL,
Balanced Growth,Listed equity,ALLIANZ,5231485,SEDOL,
Balanced Growth,Listed equity,ALLSTATE CORP,2019952,SEDOL,
Balanced Growth,Listed equity,ALLY FINANCIAL,B72XK05,SEDOL,
Balanced Growth,Listed equity,ALPEK SAB DE CV COMMON STOCK MXN 0,B85H8C9,SEDOL,
Balanced Growth,Listed equity,ALPHA CORP COMMON STOCK JPY,6744186,SEDOL,
Balanced Growth,Listed equity,ALPHA DHABI HOLDING PJSC COMMON STOCK AED 1,BM8K209,SEDOL,
Balanced Growth,Listed equity,ALPHA SERVICES AND HLDGS,BZ1MXR7,SEDOL,
Balanced Growth,Listed equity,ALPHABET A,BYVY8G0,SEDOL,
Balanced Growth,Listed equity,ALPHABET C,BYY88Y7,SEDOL,
Balanced Growth,Listed equity,ALS LTD,B86SZR5,SEDOL,
Balanced Growth,Listed equity,ALTAGAS,B43WJC5,SEDOL,
Balanced Growth,Listed equity,ALUMINUM CORP OF CHINA H,6425395,SEDOL,
Balanced Growth,Listed equity,AMAZON.COM,2000019,SEDOL,
Balanced Growth,Listed equity,AMBEV SA ADR USD 0,BG804F6,SEDOL,
Balanced Growth,Listed equity,AMBEV SA COMMON STOCK BRL 0,BG7ZWY7,SEDOL,
Balanced Growth,Listed equity,AMBUJA CEMENTS,B09QQ11,SEDOL,
Balanced Growth,Listed equity,AMCOR PLC CDI,6066608,SEDOL,
Balanced Growth,Listed equity,AMEREN CORPORATION,2050832,SEDOL,
Balanced Growth,Listed equity,AMERICA MOVIL B,BMVRB77,SEDOL,
Balanced Growth,Listed equity,AMERICAN ELECTRIC POWER,2026242,SEDOL,
Balanced Growth,Listed equity,AMERICAN EXPRESS,2026082,SEDOL,
Balanced Growth,Listed equity,AMERICAN INTL GROUP,2027342,SEDOL,
Balanced Growth,Listed equity,AMERICAN PUBLIC EDUCATION INC COMMON STOCK USD 0.01,B292GM4,SEDOL,
Balanced Growth,Listed equity,AMERICANA RESTAURANTS,BPCMH29,SEDOL,
Balanced Growth,Listed equity,AMERIPRISE FINANCIAL,B0J7D57,SEDOL,
Balanced Growth,Listed equity,AMGEN,2023607,SEDOL,
Balanced Growth,Listed equity,AMOREG,6665931,SEDOL,
Balanced Growth,Listed equity,AMOREPACIFIC CORP (NEW),B15SK50,SEDOL,
Balanced Growth,Listed equity,AMOTIV LTD COMMON STOCK AUD 0,BQH8HH4,SEDOL,
Balanced Growth,Listed equity,AMP LTD,6709958,SEDOL,
Balanced Growth,Listed equity,AMPHENOL CORP,2145084,SEDOL,
Balanced Growth,Listed equity,AMPLITUDE ENERGY LTD,BLGTZK2,SEDOL,
Balanced Growth,Listed equity,AMPOL,BM91201,SEDOL,
Balanced Growth,Listed equity,ANA HOLDINGS,6014908,SEDOL,
Balanced Growth,Listed equity,ANADOLU EFES BIRACILIK,B03MNV4,SEDOL,
Balanced Growth,Listed equity,ANGLO AMERICAN PLATINUM,6761000,SEDOL,
Balanced Growth,Listed equity,ANGLO AMERICAN PLC COMMON STOCK GBP 0.54945,B1XZS82,SEDOL,
Balanced Growth,Listed equity,ANGLOGOLD ASHANTI PLC COMMON STOCK,BRXH266,SEDOL,
Balanced Growth,Listed equity,ANHEUSER-BUSCH INBEV,BYYHL23,SEDOL,
Balanced Growth,Listed equity,ANHUI CONCH CEMENT H,6080396,SEDOL,
Balanced Growth,Listed equity,ANSELL LTD,6286611,SEDOL,
Balanced Growth,Listed equity,ANTA SPORTS PRODUCTS,B1YVKN8,SEDOL,
Balanced Growth,Listed equity,ANZ GROUP HOLDINGS,6065586,SEDOL,
Balanced Growth,Listed equity,APA CORPORATION,BNNF1C1,SEDOL,
Balanced Growth,Listed equity,APPLE,2046251,SEDOL,
Balanced Growth,Listed equity,APPLIED MATERIALS,2046552,SEDOL,
Balanced Growth,Listed equity,APPLOVIN CORP A,BMV3LG4,SEDOL,
Balanced Growth,Listed equity,ARABIAN INTERNET COMMU,BMVH0Q9,SEDOL,
Balanced Growth,Listed equity,ARB CORP LTD,BWV03W5,SEDOL,
Balanced Growth,Listed equity,ARC RESOURCES,B6463M8,SEDOL,
Balanced Growth,Listed equity,ARCA CONTINENTAL,2823885,SEDOL,
Balanced Growth,Listed equity,ARCELORMITTAL SA COMMON STOCK EUR 0,BZ11XT6,SEDOL,
Balanced Growth,Listed equity,ARCHER-DANIELS-MIDLAND,2047317,SEDOL,
Balanced Growth,Listed equity,ARDMORE SHIPPING CORP COMMON STOCK USD 0.01,BCGCR57,SEDOL,
Balanced Growth,Listed equity,ARISTA NETWORKS INC COMMON STOCK USD 0.0001,BL9XPM3,SEDOL,
Balanced Growth,Listed equity,ARISTOCRAT LEISURE,6253983,SEDOL,
Balanced Growth,Listed equity,ASAHI KASEI CORP,6054603,SEDOL,
Balanced Growth,Listed equity,ASE TECHNOLOGY HOLDING,BFXZDY1,SEDOL,
Balanced Growth,Listed equity,ASIA CEMENT CORP,6056331,SEDOL,
Balanced Growth,Listed equity,ASIAN PAINTS,BCRWL65,SEDOL,
Balanced Growth,Listed equity,ASICS CORP COMMON STOCK JPY,6057378,SEDOL,
Balanced Growth,Listed equity,ASM INTERNATIONAL NV COMMON STOCK EUR 0.04,5165294,SEDOL,
Balanced Growth,Listed equity,ASML HLDG,B929F46,SEDOL,
Balanced Growth,Listed equity,ASML HOLDING NV NY REG SHRS USD 0.09,B908F01,SEDOL,
Balanced Growth,Listed equity,ASPEED TECHNOLOGY INC COMMON STOCK TWD 10,B80VKP3,SEDOL,
Balanced Growth,Listed equity,ASPEN PHARMACARE HLDGS,B09C0Z1,SEDOL,
Balanced Growth,Listed equity,ASR NEDERLAND,BD9PNF2,SEDOL,
Balanced Growth,Listed equity,ASSICURAZIONI GENERALI,4056719,SEDOL,
Balanced Growth,Listed equity,ASSOCIATED BRITISH FOODS,673123,SEDOL,
Balanced Growth,Listed equity,ASSURED GUARANTY LTD COMMON STOCK USD 0.01,B00V7H8,SEDOL,
Balanced Growth,Listed equity,ASTI CORP COMMON STOCK JPY,6050894,SEDOL,
Balanced Growth,Listed equity,ASTRA INTERNATIONAL,B800MQ5,SEDOL,
Balanced Growth,Listed equity,ASTRAZENECA PLC COMMON STOCK GBP 0.25,989529,SEDOL,
Balanced Growth,Listed equity,ASUSTEK COMPUTER,6051046,SEDOL,
Balanced Growth,Listed equity,AT&T,2831811,SEDOL,
Balanced Growth,Listed equity,ATACADAO,BF7LBH4,SEDOL,
Balanced Growth,Listed equity,ATLASSIAN (US),BQ1PC76,SEDOL,
Balanced Growth,Listed equity,AUB GROUP LIMITED,B0MBNC3,SEDOL,
Balanced Growth,Listed equity,AUCKLAND INTERNATIONAL AIRPORT LTD COMMON STOCK NZD 0,BLRZSS8,SEDOL,
Balanced Growth,Listed equity,AUO CORP,6288190,SEDOL,
Balanced Growth,Listed equity,AURELIA METALS LIMITED,BN790Y4,SEDOL,
Balanced Growth,Listed equity,AURIZON HOLDINGS,B87CVM3,SEDOL,
Balanced Growth,Listed equity,AUROBINDO PHARMA,6702634,SEDOL,
Balanced Growth,Listed equity,AUSTAL LTD,6137162,SEDOL,
Balanced Growth,Listed equity,AUSTRALIAN CLINICAL LABS LTD,BMWLLJ0,SEDOL,
Balanced Growth,Listed equity,AUSTRALIAN ETHICAL INVESTMENT LTD,6568212,SEDOL,
Balanced Growth,Listed equity,AUSTRALIAN FINANCE GROUP LTD,BY4K6K5,SEDOL,
Balanced Growth,Listed equity,AUTO TRADER GROUP,BVYVFW2,SEDOL,
Balanced Growth,Listed equity,AUTODESK,2065159,SEDOL,
Balanced Growth,Listed equity,AUTOHOME ADR,BH5QGR0,SEDOL,
Balanced Growth,Listed equity,AUTOLIV,2064253,SEDOL,
Balanced Growth,Listed equity,AUTOZONE,2065955,SEDOL,
Balanced Growth,Listed equity,AVERY DENNISON CORP,2066408,SEDOL,
Balanced Growth,Listed equity,AVIVA,BPQY8M8,SEDOL,
Balanced Growth,Listed equity,AVZ MINERALS LTD COMMON STOCK AUD 0,AU000000AVZ6,ISIN,
Balanced Growth,Listed equity,AXA,7088429,SEDOL,
Balanced Growth,Listed equity,AXIS BANK,BPFJHC7,SEDOL,
Balanced Growth,Listed equity,AYALA CORP,B09JBT3,SEDOL,
Balanced Growth,Listed equity,AYALA LAND,6055112,SEDOL,
Balanced Growth,Listed equity,AZTECH GLOBAL LTD COMMON STOCK SGD,BMFZSZ4,SEDOL,
Balanced Growth,Listed equity,B3,BG36ZK1,SEDOL,
Balanced Growth,Listed equity,BABY BUNTING GROUP LIMITED,BYRJS58,SEDOL,
Balanced Growth,Listed equity,BAIC MOTOR CORP H,BTF8BT7,SEDOL,
Balanced Growth,Listed equity,BAIDU (HK),B0J2D41,SEDOL,
Balanced Growth,Listed equity,BAIRONG INC COMMON STOCK HKD 0.00002,BMVXJ26,SEDOL,
Balanced Growth,Listed equity,BAJAJ AUTO,B2QKXW0,SEDOL,
Balanced Growth,Listed equity,BAJAJ FINANCE,BD2N0P2,SEDOL,
Balanced Growth,Listed equity,BAKER HUGHES CO,BDHLTQ5,SEDOL,
Balanced Growth,Listed equity,BANCA GENERALI SPA COMMON STOCK EUR 1,B1HKSV6,SEDOL,
Balanced Growth,Listed equity,BANCO BBVA ARGENTINA SA ADR USD,BKT4TC7,SEDOL,
Balanced Growth,Listed equity,BANCO BPM,BYMD5K9,SEDOL,
Balanced Growth,Listed equity,BANCO BRADESCO ON,B00FM86,SEDOL,
Balanced Growth,Listed equity,BANCO BRADESCO PN,B00FM53,SEDOL,
Balanced Growth,Listed equity,BANCO BRASIL ON,2328595,SEDOL,
Balanced Growth,Listed equity,BANCO BTG PACTUAL,BZBZVC7,SEDOL,
Balanced Growth,Listed equity,BANCO DE CHILE,2100845,SEDOL,
Balanced Growth,Listed equity,BANCO DE CHILE ADR USD,2834252,SEDOL,
Balanced Growth,Listed equity,BANCO DE CREDITO E INVER,2069355,SEDOL,
Balanced Growth,Listed equity,BANCO SABADELL,B1X8QN2,SEDOL,
Balanced Growth,Listed equity,BANCO SANTANDER,5705946,SEDOL,
Balanced Growth,Listed equity,BANCOLOMBIA,BJ62K57,SEDOL,
Balanced Growth,Listed equity,BANCOLOMBIA PREF,BJ62LW1,SEDOL,
Balanced Growth,Listed equity,BANCOLOMBIA SA ADR,2082567,SEDOL,
Balanced Growth,Listed equity,BANDAI NAMCO HOLDINGS,B0JDQD4,SEDOL,
Balanced Growth,Listed equity,BANGKOK DUSIT MEDICAL SERVICES PCL FOREIGN SH. THB 0.1,BLZGSM7,SEDOL,
Balanced Growth,Listed equity,BANK CENTRAL ASIA,B01C1P6,SEDOL,
Balanced Growth,Listed equity,BANK CIMB NIAGA TBK PT COMMON STOCK IDR 5000,B00ZNP0,SEDOL,
Balanced Growth,Listed equity,BANK HAPOALIM,6075808,SEDOL,
Balanced Growth,Listed equity,BANK LEUMI LE-ISRAEL,6076425,SEDOL,
Balanced Growth,Listed equity,BANK MANDIRI,6651048,SEDOL,
Balanced Growth,Listed equity,BANK NEW YORK MELLON,B1Z77F6,SEDOL,
Balanced Growth,Listed equity,BANK OF AMERICA CORP,2295677,SEDOL,
Balanced Growth,Listed equity,BANK OF BEIJING A (HK-C),BP3R2W8,SEDOL,
Balanced Growth,Listed equity,BANK OF CHANGSHA A(HK-C),BK94875,SEDOL,
Balanced Growth,Listed equity,BANK OF CHENGDU A (HK-C),BFYQHF2,SEDOL,
Balanced Growth,Listed equity,BANK OF CHINA A (HK-C),BP3R239,SEDOL,
Balanced Growth,Listed equity,BANK OF CHINA H,B154564,SEDOL,
Balanced Growth,Listed equity,BANK OF CHONGQING CO LTD COMMON STOCK HKD 1,BFZCJC0,SEDOL,
Balanced Growth,Listed equity,BANK OF COMMU A (HK-C),BP3R2G2,SEDOL,
Balanced Growth,Listed equity,BANK OF COMMUNICATIONS H,B0B8Z29,SEDOL,
Balanced Growth,Listed equity,BANK OF HANGZHOU A(HK-C),BYW5MZ9,SEDOL,
Balanced Growth,Listed equity,BANK OF IRELAND GROUP PLC COMMON STOCK EUR 1,BD1RP61,SEDOL,
Balanced Growth,Listed equity,BANK OF JIANGSU A (HK-C),BYW5MY8,SEDOL,
Balanced Growth,Listed equity,BANK OF NANJING A (HK-C),BP3R529,SEDOL,
Balanced Growth,Listed equity,BANK OF PHIL ISLANDS,6074968,SEDOL,
Balanced Growth,Listed equity,BANK OF QINGDAO CO LTD COMMON STOCK CNY 1,BHZM366,SEDOL,
Balanced Growth,Listed equity,BANK OF QUEENSLAND LTD,6076243,SEDOL,
Balanced Growth,Listed equity,BANK OF SHANGHAI A(HK-C),BD8P9J9,SEDOL,
Balanced Growth,Listed equity,BANK OF SUZHOU A (HK-C),BK71760,SEDOL,
Balanced Growth,Listed equity,BANK OF ZHENGZHOU CO LTD COMMON STOCK HKD 1,BYQ3YQ4,SEDOL,
Balanced Growth,Listed equity,BANK PEKAO,5473113,SEDOL,
Balanced Growth,Listed equity,BANK RAKYAT INDONESIA,6709099,SEDOL,
Balanced Growth,Listed equity,BANNERMAN ENERGY LTD,B07DXJ1,SEDOL,
Balanced Growth,Listed equity,BAOSHAN IRON A (HK-C),BP3R2Y0,SEDOL,
Balanced Growth,Listed equity,BAPCOR LIMITED,BLD2CY7,SEDOL,
Balanced Growth,Listed equity,BARCLAYS,3134865,SEDOL,
Balanced Growth,Listed equity,BARRICK GOLD CORP,2024644,SEDOL,
Balanced Growth,Listed equity,BATH & BODY WORKS,BNNTGJ5,SEDOL,
Balanced Growth,Listed equity,BAYER,5069211,SEDOL,
Balanced Growth,Listed equity,BAYERISCHE MOTOREN WERKE AG COMMON STOCK EUR 1,B23V5Q4,SEDOL,
Balanced Growth,Listed equity,BB SEGURIDADE PART ON,B9N3SQ0,SEDOL,
Balanced Growth,Listed equity,BBVA,5501906,SEDOL,
Balanced Growth,Listed equity,BCO SANTANDER CHILE (NEW,2000257,SEDOL,
Balanced Growth,Listed equity,BDO UNIBANK,B5VJH76,SEDOL,
Balanced Growth,Listed equity,BEACH ENERGY LIMITED,6088204,SEDOL,
Balanced Growth,Listed equity,BEACON LIGHTING GROUP LTD COMMON STOCK AUD 0,BKXF175,SEDOL,
