Option Name,Asset Class Name,Name/Kind of Investment Item,Stock ID,ID_Type,Listed Country,Exchange Code,Ticker,Yahoo Ticker
Balanced Growth,Listed equity,361 DEGREES INTERNATIONAL LTD COMMON STOCK HKD 0.1,B51BL70,SEDOL,Hong Kong,HK,1361,
Balanced Growth,Listed equity,3I GROUP,B1YW440,SEDOL,United Kingdom,LN,III,
Balanced Growth,Listed equity,3SBIO,BY9D3L9,SEDOL,Hong Kong,HK,1530,
Balanced Growth,Listed equity,AAC TECHNOLOGIES (CN),B85LKS1,SEDOL,Hong Kong,HK,2018,
Balanced Growth,Listed equity,ABB INDIA LTD COMMON STOCK INR 2,B1Y9QS9,SEDOL,India,IN,ABB,
Balanced Growth,Listed equity,ABB LTD,7108899,SEDOL,Switzerland,SW,ABBN,
Balanced Growth,Listed equity,ABB LTD COMMON STOCK CHF 0.12,7113815,SEDOL,Sweden,SS,ABB,
Balanced Growth,Listed equity,ABBOTT LABORATORIES,2002305,SEDOL,United States,US,ABT,
Balanced Growth,Listed equity,ABBVIE,B92SR70,SEDOL,United States,US,ABBV,
Balanced Growth,Listed equity,ABN AMRO BANK,BYQP136,SEDOL,Netherlands,NA,ABN,
Balanced Growth,Listed equity,ABOITIZ EQUITY VENTURES,6068411,SEDOL,Philippines,PM,AEV,
Balanced Growth,Listed equity,ABOITIZ POWER,B1Z9Q99,SEDOL,Philippines,PM,AP,
Balanced Growth,Listed equity,ABSA GROUP,BFX05H3,SEDOL,South Africa,SJ,ABG,
Balanced Growth,Listed equity,ABU DHABI ISLAMIC BK(AE),6001728,SEDOL,United Arab Emirates,UH,ADIB,
Balanced Growth,Listed equity,ACCENT GROUP LTD,BD20RS5,SEDOL,Australia,AU,AX1,
Balanced Growth,Listed equity,ACCENTURE A,B4BNMY3,SEDOL,United States,US,ACN,
Balanced Growth,Listed equity,ACCOR,5852842,SEDOL,France,FP,AC,
Balanced Growth,Listed equity,ACS ACTIV CONST Y SVCS,B01FLQ6,SEDOL,Spain,SM,ACS,
Balanced Growth,Listed equity,ADAIRS LTD,BYYT7Q5,SEDOL,Australia,AU,ADH,
Balanced Growth,Listed equity,ADANI ENTERPRISES,B01VRK0,SEDOL,India,IN,ADE,
Balanced Growth,Listed equity,ADANI GREEN ENERGY,BD6H7M6,SEDOL,India,IN,ADANIGR,
Balanced Growth,Listed equity,ADANI PORTS AND SEZ,B28XXH2,SEDOL,India,IN,ADSEZ,
Balanced Growth,Listed equity,ADANI POWER,B3WQH49,SEDOL,,,,
Balanced Growth,Listed equity,ADANI TRANSMISSION,BYPCLL6,SEDOL,India,IN,ADANIENS,
Balanced Growth,Listed equity,ADARO ENERGY INDONESIA,B3BQFC4,SEDOL,Indonesia,IJ,ADRO,
Balanced Growth,Listed equity,ADDTECH B,BLN8T44,SEDOL,Sweden,SS,ADDTB,
Balanced Growth,Listed equity,ADECCO GROUP,7110720,SEDOL,Switzerland,SW,ADEN,
Balanced Growth,Listed equity,ADIDAS,4031976,SEDOL,Germany,GR,ADS,
