Option Name,Asset Class Name,Name/Kind of Investment Item,Stock ID,ID_Type,Listed Country,Exchange Code,Ticker,Yahoo Ticker
Balanced Growth,Listed Equity,3M Co,US88579Y1010,ISIN,United States,,,MMM
Balanced Growth,Listed Equity,3i Group PLC,GB00B1YW4409,ISIN,United Kingdom,,,III.L
Balanced Growth,Listed Equity,A O Smith Corp,US8318652091,ISIN,United States,,,AOS
Balanced Growth,Listed Equity,ABB Ltd,CH0012221716,ISIN,Switzerland,,,ABBN.SW
Balanced Growth,Listed Equity,ABN AMRO Bank NV,NL0011540547,ISIN,Netherlands,,,ABN.AS
Balanced Growth,Listed Equity,ACS Actividades de Construccion y Servicio,ES0167050915,ISIN,Spain,,,ACS.MC
Balanced Growth,Listed Equity,AECOM,US00766T1007,ISIN,United States,,,ACM
Balanced Growth,Listed Equity,AES Corp/The,US00130H1059,ISIN,United States,,,AES
Balanced Growth,Listed Equity,AGC Inc,JP3112000009,ISIN,Japan,,,5201.T
Balanced Growth,Listed Equity,AGL Energy Ltd,AU000000AGL7,ISIN,Australia,,,AGL.AX
Balanced Growth,Listed Equity,AIA Group Ltd,HK0000069689,ISIN,Hong Kong,,,1299.HK
Balanced Growth,Listed Equity,AIB Group PLC,IE00BF0L3536,ISIN,Ireland,,,A5G.IR
Balanced Growth,Listed Equity,ALS Ltd,AU000000ALQ6,ISIN,Australia,,,ALQ.AX
Balanced Growth,Listed Equity,AMETEK Inc,US0311001004,ISIN,United States,,,AME
Balanced Growth,Listed Equity,AMP Ltd,AU000000AMP6,ISIN,Australia,,,AMP.AX
Balanced Growth,Listed Equity,ANA Holdings Inc,JP3429800000,ISIN,Japan,,,9202.T
Balanced Growth,Listed Equity,ANSYS Inc,US03662Q1058,ISIN,US,,,
Balanced Growth,Listed Equity,AP Moller - Maersk A/S,DK0010244425,ISIN,Denmark,,,MAERSK-A.CO
Balanced Growth,Listed Equity,AP Moller - Maersk A/S,DK0010244508,ISIN,Denmark,,,MAERSK-B.CO
Balanced Growth,Listed Equity,APA Corp,US03743Q1085,ISIN,United States,,,APA
Balanced Growth,Listed Equity,ARB Corp Ltd,AU000000ARB5,ISIN,Australia,,,ARB.AX
Balanced Growth,Listed Equity,ARC Resources Ltd,CA00208D4084,ISIN,Canada,,,ARX.TO
Balanced Growth,Listed Equity,ASM International NV,NL0000334118,ISIN,Netherlands,,,ASM.AS
Balanced Growth,Listed Equity,ASML Holding NV,NL0010273215,ISIN,Netherlands,,,ASML.AS
Balanced Growth,Listed Equity,ASR Nederland NV,NL0011872643,ISIN,Netherlands,,,ASRNL.AS
Balanced Growth,Listed Equity,ASX Ltd,AU000000ASX7,ISIN,Australia,,,ASX.AX
Balanced Growth,Listed Equity,AT&T Inc,US00206R1023,ISIN,United States,,,T
Balanced Growth,Listed Equity,ATI Inc,US01741R1023,ISIN,United States,,,ATI
Balanced Growth,Listed Equity,AUB Group Ltd,AU000000AUB9,ISIN,Australia,,,AUB.AX
Balanced Growth,Listed Equity,AVZ Minerals Ltd,AU000000AVZ6,ISIN,AU,,,
Balanced Growth,Listed Equity,AXA SA,FR0000120628,ISIN,France,,,CS.PA
Balanced Growth,Listed Equity,AbbVie Inc,US00287Y1091,ISIN,United States,,,ABBV
Balanced Growth,Listed Equity,Abbott Laboratories,US0028241000,ISIN,United States,,,ABT
Balanced Growth,Listed Equity,Academy Sports & Outdoors Inc,US00402L1070,ISIN,United States,,,ASO
Balanced Growth,Listed Equity,Accent Group Ltd,AU000000AX19,ISIN,Australia,,,AX1.AX
Balanced Growth,Listed Equity,Accenture PLC,IE00B4BNMY34,ISIN,United States,,,ACN
Balanced Growth,Listed Equity,Acciona SA,ES0125220311,ISIN,Spain,,,ANA.MC
Balanced Growth,Listed Equity,Accor SA,FR0000120404,ISIN,France,,,AC.PA
Balanced Growth,Listed Equity,Accton Technology Corp,TW0002345006,ISIN,Taiwan,,,2345.TW
Balanced Growth,Listed Equity,Acuity Brands Inc,US00508Y1029,ISIN,United States,,,AYI
Balanced Growth,Listed Equity,Adairs Ltd,AU000000ADH2,ISIN,Australia,,,ADH.AX
Balanced Growth,Listed Equity,AddTech AB,SE0014781795,ISIN,Sweden,,,ADDT-B.ST
Balanced Growth,Listed Equity,Adecco Group AG,CH0012138605,ISIN,Switzerland,,,ADEN.SW
Balanced Growth,Listed Equity,Admiral Group PLC,GB00B02J6398,ISIN,United Kingdom,,,ADM.L
Balanced Growth,Listed Equity,Adobe Inc,US00724F1012,ISIN,United States,,,ADBE
Balanced Growth,Listed Equity,Adriatic Metals PLC,AU0000004772,ISIN,Australia,,,ADT.AX
Balanced Growth,Listed Equity,Advanced Micro Devices Inc,US0079031078,ISIN,United States,,,AMD
Balanced Growth,Listed Equity,Advantech Co Ltd,TW0002395001,ISIN,Taiwan,,,2395.TW
Balanced Growth,Listed Equity,Advantest Corp,JP3122400009,ISIN,Japan,,,6857.T
Balanced Growth,Listed Equity,Adyen NV,NL0012969182,ISIN,Netherlands,,,ADYEN.AS
Balanced Growth,Listed Equity,Aegon Ltd,BMG0112X1056,ISIN,Netherlands,,,AGN.AS
Balanced Growth,Listed Equity,Aena SME SA,ES0105046009,ISIN,Spain,,,AENA.MC
Balanced Growth,Listed Equity,Aeon Co Ltd,JP3388200002,ISIN,Japan,,,8267.T
Balanced Growth,Listed Equity,AerCap Holdings NV,NL0000687663,ISIN,United States,,,AER
Balanced Growth,Listed Equity,Aeroports de Paris SA,FR0010340141,ISIN,France,,,ADP.PA
Balanced Growth,Listed Equity,Aflac Inc,US0010551028,ISIN,United States,,,AFL
Balanced Growth,Listed Equity,Ageas SA/NV,BE0974264930,ISIN,Belgium,,,AGS.BR
Balanced Growth,Listed Equity,Agilent Technologies Inc,US00846U1016,ISIN,United States,,,A
Balanced Growth,Listed Equity,Agnico Eagle Mines Ltd,CA0084741085,ISIN,United States,,,AEM
Balanced Growth,Listed Equity,Ainsworth Game Technology Ltd,AU000000AGI3,ISIN,Australia,,,AGI.AX
Balanced Growth,Listed Equity,Air Canada,FR0000120404,ISIN,France,,,AC.PA
Balanced Growth,Listed Equity,Air Liquide SA,FR0000120073,ISIN,France,,,AI.PA
Balanced Growth,Listed Equity,Air New Zealand Ltd,NZAIRE0001S2,ISIN,New Zealand,,,AIR.NZ
Balanced Growth,Listed Equity,Air Products and Chemicals Inc,US0091581068,ISIN,United States,,,APD
