Option Name,Asset Class Name,Name/Kind of Investment Item,Stock ID,ID_Type,Listed Country,Exchange Code,Ticker,Yahoo Ticker
Balanced Growth,Listed Equity,360 Security Technology Inc,CNE100002RZ2,ISIN,China,,,601360.SS
Balanced Growth,Listed Equity,37 Interactive Entertainment Network Technology Group Co Ltd,CNE1000010N2,ISIN,China,,,002555.SZ
Balanced Growth,Listed Equity,3i Group PLC,GB00B1YW4409,ISIN,United Kingdom,,,III.L
Balanced Growth,Listed Equity,3M Co,US88579Y1010,ISIN,United States,,,MMM
Balanced Growth,Listed Equity,a2 Milk Co Ltd/The,NZATME0002S8,ISIN,New Zealand,,,ATM.NZ
Balanced Growth,Listed Equity,AAC Technologies Holdings Inc,KYG2953R1149,ISIN,Hong Kong,,,2018.HK
Balanced Growth,Listed Equity,ABB India Ltd,INE117A01022,ISIN,India,,,ABB.BO
Balanced Growth,Listed Equity,ABB Ltd,CH0012221716,ISIN,Switzerland,,,ABBN.SW
Balanced Growth,Listed Equity,Abbott Laboratories,US0028241000,ISIN,United States,,,ABT
Balanced Growth,Listed Equity,AbbVie Inc,US00287Y1091,ISIN,United States,,,ABBV
Balanced Growth,Listed Equity,ABIOMED Inc,US003CVR0169,ISIN,US,,,
Balanced Growth,Listed Equity,ABN AMRO Bank NV,NL0011540547,ISIN,Netherlands,,,ABN.AS
Balanced Growth,Listed Equity,Absa Group Ltd,ZAE000255915,ISIN,South Africa,,,ABG.JO
Balanced Growth,Listed Equity,Abu Dhabi Commercial Bank PJSC,AEA000201011,ISIN,AE,,,
Balanced Growth,Listed Equity,Abu Dhabi Islamic Bank PJSC,AEA000801018,ISIN,AE,,,
Balanced Growth,Listed Equity,Abu Dhabi National Oil Co for Distribution PJSC,AEA006101017,ISIN,AE,,,
Balanced Growth,Listed Equity,Accent Group Ltd,AU000000AX19,ISIN,Australia,,,AX1.AX
Balanced Growth,Listed Equity,Accenture PLC,IE00B4BNMY34,ISIN,United States,,,ACN
Balanced Growth,Listed Equity,Acciona SA,ES0125220311,ISIN,Spain,,,ANA.MC
Balanced Growth,Listed Equity,Accor SA,FR0000120404,ISIN,France,,,AC.PA
Balanced Growth,Listed Equity,Accton Technology Corp,TW0002345006,ISIN,Taiwan,,,2345.TW
Balanced Growth,Listed Equity,Acer Inc,TW0002353000,ISIN,Taiwan,,,2353.TW
Balanced Growth,Listed Equity,ACS Actividades de Construccion y Servicios SA,ES0167050915,ISIN,Spain,,,ACS.MC
Balanced Growth,Listed Equity,Acuity Brands Inc,US00508Y1029,ISIN,United States,,,AYI
Balanced Growth,Listed Equity,Adairs Ltd,AU000000ADH2,ISIN,Australia,,,ADH.AX
Balanced Growth,Listed Equity,AddTech AB,SE0014781795,ISIN,Sweden,,,ADDT-B.ST
Balanced Growth,Listed Equity,Adecco Group AG,CH0012138605,ISIN,Switzerland,,,ADEN.SW
Balanced Growth,Listed Equity,adidas AG,DE000A1EWWW0,ISIN,Germany,,,ADS.DE
Balanced Growth,Listed Equity,Admiral Group PLC,GB00B02J6398,ISIN,United Kingdom,,,ADM.L
Balanced Growth,Listed Equity,ADNOC Drilling Co PJSC,AEA007301012,ISIN,AE,,,
Balanced Growth,Listed Equity,Adobe Inc,US00724F1012,ISIN,United States,,,ADBE
Balanced Growth,Listed Equity,Adriatic Metals PLC,AU0000004772,ISIN,Australia,,,ADT.AX
Balanced Growth,Listed Equity,Advanced Drainage Systems Inc,US00790R1041,ISIN,United States,,,WMS
Balanced Growth,Listed Equity,Advanced Info Service PCL,TH0268010Z11,ISIN,Germany,,,AISF.F
Balanced Growth,Listed Equity,Advanced Info Service PCL,TH0268010R11,ISIN,Thailand,,,ADVANC-R.BK
Balanced Growth,Listed Equity,Advanced Micro Devices Inc,US0079031078,ISIN,United States,,,AMD
Balanced Growth,Listed Equity,Advanced Micro-Fabrication Equipment Inc China,CNE100003MM9,ISIN,China,,,688012.SS
Balanced Growth,Listed Equity,Advantech Co Ltd,TW0002395001,ISIN,Taiwan,,,2395.TW
Balanced Growth,Listed Equity,Advantest Corp,JP3122400009,ISIN,Japan,,,6857.T
Balanced Growth,Listed Equity,Adyen NV,NL0012969182,ISIN,Netherlands,,,ADYEN.AS
Balanced Growth,Listed Equity,AECC Aero-Engine Control Co Ltd,CNE000000RM5,ISIN,China,,,000738.SZ
Balanced Growth,Listed Equity,AECC Aviation Power Co Ltd,CNE000000JW1,ISIN,China,,,600893.SS
Balanced Growth,Listed Equity,AECOM,US00766T1007,ISIN,United States,,,ACM
Balanced Growth,Listed Equity,Aegon Ltd,BMG0112X1056,ISIN,Netherlands,,,AGN.AS
Balanced Growth,Listed Equity,Aena SME SA,ES0105046009,ISIN,Spain,,,AENA.MC
Balanced Growth,Listed Equity,Aeon Co Ltd,JP3388200002,ISIN,Japan,,,8267.T
Balanced Growth,Listed Equity,AerCap Holdings NV,NL0000687663,ISIN,United States,,,AER
Balanced Growth,Listed Equity,Aeroports de Paris SA,FR0010340141,ISIN,France,,,ADP.PA
Balanced Growth,Listed Equity,AES Corp/The,US00130H1059,ISIN,United States,,,AES
Balanced Growth,Listed Equity,Aflac Inc,US0010551028,ISIN,United States,,,AFL
Balanced Growth,Listed Equity,AGC Inc,JP3112000009,ISIN,Japan,,,5201.T
Balanced Growth,Listed Equity,AGCO Corp,US0010841023,ISIN,United States,,,AGCO
Balanced Growth,Listed Equity,Ageas SA/NV,BE0974264930,ISIN,Belgium,,,AGS.BR
Balanced Growth,Listed Equity,Agilent Technologies Inc,US00846U1016,ISIN,United States,,,A
Balanced Growth,Listed Equity,AGL Energy Ltd,AU000000AGL7,ISIN,Australia,,,AGL.AX
Balanced Growth,Listed Equity,Agnico Eagle Mines Ltd,CA0084741085,ISIN,United States,,,AEM
Balanced Growth,Listed Equity,Agricultural Bank of China Ltd,CNE100000RJ0,ISIN,China,,,601288.SS
