Option Name,Asset Class Name,Name/Kind of Investment Item,Stock ID,ID_Type,Listed Country,Exchange Code,Ticker,Yahoo Ticker
HC Balanced - Class A Option,Listed Equity,3I GROUP PLC ORD,B1YW440,SEDOL,United Kingdom,LN,III,
HC Balanced - Class A Option,Listed Equity,3M CO COM,2595708,SEDOL,United States,US,MMM,
HC Balanced - Class A Option,Listed Equity,3PEAK INC-A,CNE1000042T2,ISIN,China,,,688536.SS
HC Balanced - Class A Option,Listed Equity,A P MOLLER - MAERSK A/S-CL A 'A'DKK1000,4253059,SEDOL,Denmark,DC,MAERSKA,
HC Balanced - Class A Option,Listed Equity,A2 MILK CO LTD ATM,BWSRTS7,SEDOL,Australia,AU,A2M,
HC Balanced - Class A Option,Listed Equity,AAC TECHNOLOGIES HOLDINGS IN,B85LKS1,SEDOL,Hong Kong,HK,2018,
HC Balanced - Class A Option,Listed Equity,AAK AB,BF2FPV3,SEDOL,Sweden,SS,AAK,
HC Balanced - Class A Option,Listed Equity,ABACUS GROUP,BQV4PB8,SEDOL,Australia,AU,ABG,
HC Balanced - Class A Option,Listed Equity,ABACUS STORAGE KING,BQYLGZ7,SEDOL,Australia,AU,ASK,
HC Balanced - Class A Option,Listed Equity,ABB LTD-ZUERICH,7108899,SEDOL,Switzerland,SW,ABBN,
HC Balanced - Class A Option,Listed Equity,ABBOTT LABORATORIES COM NPV,2002305,SEDOL,United States,US,ABT,
HC Balanced - Class A Option,Listed Equity,ABBVIE INC,B92SR70,SEDOL,United States,US,ABBV,
HC Balanced - Class A Option,Listed Equity,ABIOMED INC - CVR,BQBG6P5,SEDOL,,,,
HC Balanced - Class A Option,Listed Equity,ABN AMRO GROUP NV-CVA/W/I ABN,BYQP136,SEDOL,Netherlands,NA,ABN,
HC Balanced - Class A Option,Listed Equity,ABSA GROUP LTD,BFX05H3,SEDOL,South Africa,SJ,ABG,
HC Balanced - Class A Option,Listed Equity,ABS-CBN BROADCASTING-DEP SHS PDR EACH RE,6177533,SEDOL,Philippines,PM,ABSP,
HC Balanced - Class A Option,Listed Equity,ABU DHABI COMMERCIAL BANK ADCB,6545464,SEDOL,United Arab Emirates,UH,ADCB,
HC Balanced - Class A Option,Listed Equity,ACCENT GROUP LTD,BD20RS5,SEDOL,Australia,AU,AX1,
HC Balanced - Class A Option,Listed Equity,ACCENTURE PLC-CL A,B4BNMY3,SEDOL,United States,US,ACN,
HC Balanced - Class A Option,Listed Equity,ACCIONA S.A. SHS,5579107,SEDOL,Spain,SM,ANA,
HC Balanced - Class A Option,Listed Equity,ACCOR S A,5852842,SEDOL,France,FP,AC,
HC Balanced - Class A Option,Listed Equity,ACCTON TECH CORP SHS,6005214,SEDOL,Taiwan,TT (Taiwan Stock Exchange),2345,
HC Balanced - Class A Option,Listed Equity,ACS ACTIVIDADES CONS Y SERV ORD,B01FLQ6,SEDOL,Spain,SM,ACS,
HC Balanced - Class A Option,Listed Equity,ADAIRS LTD ADH,BYYT7Q5,SEDOL,Australia,AU,ADH,
HC Balanced - Class A Option,Listed Equity,ADDTECH AB-B SHARES,BLN8T44,SEDOL,Sweden,SS,ADDTB,
HC Balanced - Class A Option,Listed Equity,ADIDAS AG NPV,4031976,SEDOL,Germany,GR,ADS,
HC Balanced - Class A Option,Listed Equity,ADMIRAL GROUP PLC ORD GBP0.001,B02J639,SEDOL,United Kingdom,LN,ADM,
HC Balanced - Class A Option,Listed Equity,ADOBE INC,2008154,SEDOL,United States,US,ADBE,
HC Balanced - Class A Option,Listed Equity,ADP EUR3,B164FY1,SEDOL,France,FP,ADP,
HC Balanced - Class A Option,Listed Equity,ADRIATIC METALS PLC-CDI,BD215T5,SEDOL,Australia,AU,ADT,
HC Balanced - Class A Option,Listed Equity,ADVANCED DRAINAGE SYSTEMS IN WMS,BP7RS59,SEDOL,United States,US,WMS,
HC Balanced - Class A Option,Listed Equity,ADVANCED INFO SERVICE-FOR RG,6412591,SEDOL,Thailand,TB,ADVANC/F,
HC Balanced - Class A Option,Listed Equity,ADVANCED MICRO DEVICES COM,2007849,SEDOL,United States,US,AMD,
HC Balanced - Class A Option,Listed Equity,ADVANCED MICRO-FABRICATION-A,BK71F66,SEDOL,China,C1,688012,
HC Balanced - Class A Option,Listed Equity,ADVANTEST CORP ORD,6870490,SEDOL,Japan,JP,6857,
HC Balanced - Class A Option,Listed Equity,ADYEN NV ADYEN,BZ1HM42,SEDOL,Netherlands,NA,ADYEN,
HC Balanced - Class A Option,Listed Equity,AEGON LTD,BPH0Y27,SEDOL,Netherlands,NA,AGN,
HC Balanced - Class A Option,Listed Equity,AENA SME SA,BVRZ8L1,SEDOL,,,,
HC Balanced - Class A Option,Listed Equity,AEON CO LTD,6480048,SEDOL,Japan,JP,8267,
HC Balanced - Class A Option,Listed Equity,AERCAP HOLDINGS NV EUR0.01,B1HHKD3,SEDOL,United States,US,AER,
HC Balanced - Class A Option,Listed Equity,AEROFLOT-RUSSIAN AIRLINES RUB1(USD),B58X588,SEDOL,Russia,RM,AFLT,
HC Balanced - Class A Option,Listed Equity,AES CORP COM,2002479,SEDOL,United States,US,AES,
HC Balanced - Class A Option,Listed Equity,AET AND D HOLDINGS,583032S,SEDOL,,,,
HC Balanced - Class A Option,Listed Equity,AFK SISTEMA-REG S SPONS GDR,B05N809,SEDOL,,,,
HC Balanced - Class A Option,Listed Equity,AFLAC INC,2026361,SEDOL,United States,US,AFL,
HC Balanced - Class A Option,Listed Equity,AGC INC,6055208,SEDOL,Japan,JP,5201,
HC Balanced - Class A Option,Listed Equity,AGEAS,B86S2N0,SEDOL,United Kingdom,IX,AGSB,
HC Balanced - Class A Option,Listed Equity,AGILENT TECHNOLOGIES I COM,2520153,SEDOL,United States,US,A,
HC Balanced - Class A Option,Listed Equity,AGL ENERGY LTD,BSS7GP5,SEDOL,Australia,AU,AGL,
HC Balanced - Class A Option,Listed Equity,AGNICO EAGLE MINES LTD,2009823,SEDOL,Canada,CN,AEM,
HC Balanced - Class A Option,Listed Equity,AIA GROUP LTD USD1.00,B4TX8S1,SEDOL,Hong Kong,HK,1299,
HC Balanced - Class A Option,Listed Equity,AIB GROUP PLC,BF0L353,SEDOL,Ireland,ID,AIBG,
HC Balanced - Class A Option,Listed Equity,AICHI FINANCIAL GROUP INC,BP29PF9,SEDOL,Japan,JP,7389,
HC Balanced - Class A Option,Listed Equity,AINSWORTH GAME TECHNOLOGY LT NPV,6427829,SEDOL,Australia,AU,AGI,
HC Balanced - Class A Option,Listed Equity,AIR CANADA AC,BSDHYK1,SEDOL,Canada,CN,AC,
HC Balanced - Class A Option,Listed Equity,AIR LIQUIDE SA,B1YXBJ7,SEDOL,France,FP,AI,
HC Balanced - Class A Option,Listed Equity,AIR NEW ZEALAND LTD NPV,6426569,SEDOL,Australia,AU,AIZ,
HC Balanced - Class A Option,Listed Equity,AIR PRODS & CHEMS INC COM,2011602,SEDOL,United States,US,APD,
HC Balanced - Class A Option,Listed Equity,AIRBNB INC,BMGYYH4,SEDOL,United States,US,ABNB,
HC Balanced - Class A Option,Listed Equity,AISIN CORP,6010702,SEDOL,Japan,JP,7259,
HC Balanced - Class A Option,Listed Equity,AITKEN SPENCE PLC SPEN,6009391,SEDOL,Sri Lanka,SL,SPEN,
HC Balanced - Class A Option,Listed Equity,AJINOMOTO INC COM,6010906,SEDOL,Japan,JP,2802,
HC Balanced - Class A Option,Listed Equity,AK TRANSNEFT PJSC,B59NHY7,SEDOL,Russia,RM,TRNFP,
HC Balanced - Class A Option,Listed Equity,AKAMAI TECHNOLOGIES COM STK USD0.01,2507457,SEDOL,United States,US,AKAM,
HC Balanced - Class A Option,Listed Equity,AKER BP ASA,B1L95G3,SEDOL,Belgium,NO,AKRBP,
HC Balanced - Class A Option,Listed Equity,AKZO NOBEL,BJ2KSG2,SEDOL,Netherlands,NA,AKZA,
HC Balanced - Class A Option,Listed Equity,ALBEMARLE CORP,2046853,SEDOL,United States,US,ALB,
