Option Name,Asset Class Name,Name/Kind of Investment Item,Stock ID,ID_Type,Listed Country,Exchange Code,Ticker,Yahoo Ticker
Balanced Growth,LISTED EQUITY,COMMONWEALTH BANK OF AUSTRALIA,CBA AU,BB Ticker,Australia,,,
Balanced Growth,LISTED EQUITY,BHP GROUP LTD.,BHP AU,BB Ticker,Australia,,,
Balanced Growth,LISTED EQUITY,"AMAZON.COM, INC.",AMZN US,BB Ticker,United States,,,
Balanced Growth,LISTED EQUITY,CSL LTD.,CSL AU,BB Ticker,Australia,,,
Balanced Growth,LISTED EQUITY,"APPLE, INC.",AAPL US,BB Ticker,United States,,,
Balanced Growth,LISTED EQUITY,NVIDIA CORP.,NVDA US,BB Ticker,United States,,,
Balanced Growth,LISTED EQUITY,MICROSOFT CORP.,MSFT US,BB Ticker,United States,,,
Balanced Growth,LISTED EQUITY,NATIONAL AUSTRALIA BANK LTD.,NAB AU,BB Ticker,Australia,,,
Balanced Growth,LISTED EQUITY,WESTPAC BANKING CORP.,WBC AU,BB Ticker,Australia,,,
Balanced Growth,LISTED EQUITY,ANZ GROUP HOLDINGS LTD.,ANZ AU,BB Ticker,Australia,,,
Balanced Growth,LISTED EQUITY,MACQUARIE GROUP LTD.,MQG AU,BB Ticker,Australia,,,
Balanced Growth,LISTED EQUITY,WESFARMERS LTD.,WES AU,BB Ticker,Australia,,,
Balanced Growth,LISTED EQUITY,"ALPHABET, INC.",GOOGL US,BB Ticker,United States,,,
Balanced Growth,LISTED EQUITY,"META PLATFORMS, INC.",META US,BB Ticker,United States,,,
Balanced Growth,LISTED EQUITY,QBE INSURANCE GROUP LTD.,QBE AU,BB Ticker,Australia,,,
Balanced Growth,LISTED EQUITY,RIO TINTO LTD.,RIO AU,BB Ticker,Australia,,,
Balanced Growth,LISTED EQUITY,ARISTOCRAT LEISURE LTD.,ALL AU,BB Ticker,Australia,,,
Balanced Growth,LISTED EQUITY,TELSTRA GROUP LTD.,TLS AU,BB Ticker,Australia,,,
Balanced Growth,LISTED EQUITY,"TESLA, INC.",TSLA US,BB Ticker,United States,,,
Balanced Growth,LISTED EQUITY,COLES GROUP LTD.,COL AU,BB Ticker,Australia,,,
Balanced Growth,LISTED EQUITY,"BROADCOM, INC.",AVGO US,BB Ticker,United States,,,
Balanced Growth,LISTED EQUITY,COCHLEAR LTD.,COH AU,BB Ticker,Australia,,,
Balanced Growth,LISTED EQUITY,"ALPHABET, INC.",GOOG US,BB Ticker,United States,,,
Balanced Growth,LISTED EQUITY,XERO LTD.,XRO AU,BB Ticker,Australia,,,
Balanced Growth,LISTED EQUITY,SUNCORP GROUP LTD.,SUN AU,BB Ticker,Australia,,,
Balanced Growth,LISTED EQUITY,FORTESCUE LTD.,FMG AU,BB Ticker,Australia,,,
Balanced Growth,LISTED EQUITY,JAMES HARDIE INDUSTRIES PLC,JHX AU,BB Ticker,Australia,,,
Balanced Growth,LISTED EQUITY,WISETECH GLOBAL LTD.,WTC AU,BB Ticker,Australia,,,
Balanced Growth,LISTED EQUITY,TRANSURBAN GROUP,TCL AU,BB Ticker,Australia,,,
Balanced Growth,LISTED EQUITY,WOOLWORTHS GROUP LTD.,WOW AU,BB Ticker,Australia,,,
Balanced Growth,LISTED EQUITY,TAIWAN SEMICONDUCTOR MANUFACTURING CO. LTD.,2330 TT,BB Ticker,Taiwan,,,
Balanced Growth,LISTED EQUITY,"VISA, INC.",V US,BB Ticker,United States,,,
Balanced Growth,LISTED EQUITY,JPMORGAN CHASE & CO.,JPM US,BB Ticker,United States,,,
