Option Name,Asset Class Name,Name/Kind of Investment Item,Stock ID,ID_Type,Listed Country,Exchange Code,Ticker,Yahoo Ticker
Balanced Growth,LISTED EQUITY,BHP GROUP LTD.,BHP AU,BB Ticker,Australia,,,
Balanced Growth,LISTED EQUITY,COMMONWEALTH BANK OF AUSTRALIA LTD.,CBA AU,BB Ticker,Australia,,,
Balanced Growth,LISTED EQUITY,"APPLE, INC.",AAPL US,BB Ticker,United States,,,
Balanced Growth,LISTED EQUITY,CSL LTD.,CSL AU,BB Ticker,Australia,,,
Balanced Growth,LISTED EQUITY,NVIDIA CORP.,NVDA US,BB Ticker,United States,,,
Balanced Growth,LISTED EQUITY,MICROSOFT CORP.,MSFT US,BB Ticker,United States,,,
Balanced Growth,LISTED EQUITY,NATIONAL AUSTRALIA BANK LTD.,NAB AU,BB Ticker,Australia,,,
Balanced Growth,LISTED EQUITY,"AMAZON.COM, INC.",AMZN US,BB Ticker,United States,,,
Balanced Growth,LISTED EQUITY,MACQUARIE GROUP LTD.,MQG AU,BB Ticker,Australia,,,
Balanced Growth,LISTED EQUITY,ANZ GROUP HOLDINGS LTD.,ANZ AU,BB Ticker,Australia,,,
Balanced Growth,LISTED EQUITY,WESTPAC BANKING CORP.,WBC AU,BB Ticker,Australia,,,
Balanced Growth,LISTED EQUITY,"META PLATFORMS, INC.",META US,BB Ticker,United States,,,
Balanced Growth,LISTED EQUITY,"ALPHABET, INC.",GOOGL US,BB Ticker,United States,,,
Balanced Growth,LISTED EQUITY,QBE INSURANCE GROUP LTD.,QBE AU,BB Ticker,Australia,,,
Balanced Growth,LISTED EQUITY,RIO TINTO LTD.,RIO AU,BB Ticker,Australia,,,
Balanced Growth,LISTED EQUITY,WESFARMERS LTD.,WES AU,BB Ticker,Australia,,,
Balanced Growth,LISTED EQUITY,"TESLA, INC.",TSLA US,BB Ticker,United States,,,
Balanced Growth,LISTED EQUITY,TELSTRA GROUP LTD.,TLS AU,BB Ticker,Australia,,,
Balanced Growth,LISTED EQUITY,WISETECH GLOBAL LTD.,WTC AU,BB Ticker,Australia,,,
Balanced Growth,LISTED EQUITY,"RESMED, INC.",RMD AU,BB Ticker,Australia,,,
Balanced Growth,LISTED EQUITY,TAIWAN SEMICONDUCTOR MANUFACTURING CO. LTD.,2330 TT,BB Ticker,Taiwan,,,
Balanced Growth,LISTED EQUITY,"BROADCOM, INC.",AVGO US,BB Ticker,United States,,,
Balanced Growth,LISTED EQUITY,ARISTOCRAT LEISURE LTD.,ALL AU,BB Ticker,Australia,,,
Balanced Growth,LISTED EQUITY,XERO LTD.,XRO AU,BB Ticker,Australia,,,
Balanced Growth,LISTED EQUITY,SANTOS LTD.,STO AU,BB Ticker,Australia,,,
Balanced Growth,LISTED EQUITY,ELI LILLY & CO.,LLY US,BB Ticker,United States,,,
Balanced Growth,LISTED EQUITY,COLES GROUP LTD.,COL AU,BB Ticker,Australia,,,
Balanced Growth,LISTED EQUITY,"ALPHABET, INC.",GOOG US,BB Ticker,United States,,,
Balanced Growth,LISTED EQUITY,"BLOCK, INC.",SQ2 AU,BB Ticker,Australia,,,
Balanced Growth,LISTED EQUITY,ALCOA CORP.,AAI AU,BB Ticker,Australia,,,
Balanced Growth,LISTED EQUITY,NORTHERN STAR RESOURCES LTD.,NST AU,BB Ticker,Australia,,,
Balanced Growth,LISTED EQUITY,ORICA LTD.,ORI AU,BB Ticker,Australia,,,
Balanced Growth,LISTED EQUITY,INCITEC PIVOT LTD.,IPL AU,BB Ticker,Australia,,,
Balanced Growth,LISTED EQUITY,WOOLWORTHS GROUP LTD.,WOW AU,BB Ticker,Australia,,,
Balanced Growth,LISTED EQUITY,WOODSIDE ENERGY GROUP LTD.,WDS AU,BB Ticker,Australia,,,
Balanced Growth,LISTED EQUITY,AMCOR PLC,AMC AU,BB Ticker,Australia,,,
Balanced Growth,LISTED EQUITY,"VISA, INC.",V US,BB Ticker,United States,,,
Balanced Growth,LISTED EQUITY,JPMORGAN CHASE & CO.,JPM US,BB Ticker,United States,,,
Balanced Growth,LISTED EQUITY,TENCENT HOLDINGS LTD.,700 HK,BB Ticker,Hong Kong,,,
Balanced Growth,LISTED EQUITY,ORIGIN ENERGY LTD.,ORG AU,BB Ticker,Australia,,,
Balanced Growth,LISTED EQUITY,TRANSURBAN GROUP,TCL AU,BB Ticker,Australia,,,
Balanced Growth,LISTED EQUITY,WORLEY LTD.,WOR AU,BB Ticker,Australia,,,
Balanced Growth,LISTED EQUITY,BANK OF AMERICA CORP.,BAC US,BB Ticker,United States,,,
Balanced Growth,LISTED EQUITY,BRAMBLES LTD.,BXB AU,BB Ticker,Australia,,,
Balanced Growth,LISTED EQUITY,INSURANCE AUSTRALIA GROUP LTD.,IAG AU,BB Ticker,Australia,,,
Balanced Growth,LISTED EQUITY,PRO MEDICUS LTD.,PME AU,BB Ticker,Australia,,,
Balanced Growth,LISTED EQUITY,NEWMONT CORP.,NEM AU,BB Ticker,Australia,,,
Balanced Growth,LISTED EQUITY,PROCTER & GAMBLE CO.,PG US,BB Ticker,United States,,,
Balanced Growth,LISTED EQUITY,"NETFLIX, INC.",NFLX US,BB Ticker,United States,,,
Balanced Growth,LISTED EQUITY,SGH LTD.,SGH AU,BB Ticker,Australia,,,
Balanced Growth,LISTED EQUITY,"LIGHT & WONDER, INC.",LNW AU,BB Ticker,Australia,,,
Balanced Growth,LISTED EQUITY,DOWNER EDI LTD.,DOW AU,BB Ticker,Australia,,,
Balanced Growth,LISTED EQUITY,LENDLEASE CORP. LTD.,LLC AU,BB Ticker,Australia,,,
Balanced Growth,LISTED EQUITY,CLEANAWAY WASTE MANAGEMENT LTD.,CWY AU,BB Ticker,Australia,,,
Balanced Growth,LISTED EQUITY,SIGMA HEALTHCARE LTD.,SIG AU,BB Ticker,Australia,,,
Balanced Growth,LISTED EQUITY,COSTCO WHOLESALE CORP.,COST US,BB Ticker,United States,,,
Balanced Growth,LISTED EQUITY,SOUTH32 LTD.,S32 AU,BB Ticker,Australia,,,
Balanced Growth,LISTED EQUITY,STEADFAST GROUP LTD.,SDF AU,BB Ticker,Australia,,,
Balanced Growth,LISTED EQUITY,"MERCK & CO., INC.",MRK US,BB Ticker,United States,,,
Balanced Growth,LISTED EQUITY,SEEK LTD.,SEK AU,BB Ticker,Australia,,,
Balanced Growth,LISTED EQUITY,JAMES HARDIE INDUSTRIES PLC,JHX AU,BB Ticker,Australia,,,
Balanced Growth,LISTED EQUITY,"SERVICENOW, INC.",NOW US,BB Ticker,United States,,,
Balanced Growth,LISTED EQUITY,"BERKSHIRE HATHAWAY, INC.",BRKB US,BB Ticker,United States,,,
Balanced Growth,LISTED EQUITY,"MERCADOLIBRE, INC.",MELI US,BB Ticker,United States,,,
Balanced Growth,LISTED EQUITY,FORTESCUE METALS GROUP LTD.,FMG AU,BB Ticker,Australia,,,
Balanced Growth,LISTED EQUITY,EXXON MOBIL CORP.,XOM US,BB Ticker,United States,,,
Balanced Growth,LISTED EQUITY,AIA GROUP LTD.,1299 HK,BB Ticker,Hong Kong,,,
Balanced Growth,LISTED EQUITY,REA GROUP LTD.,REA AU,BB Ticker,Australia,,,
Balanced Growth,LISTED EQUITY,"ABBVIE, INC.",ABBV US,BB Ticker,United States,,,
Balanced Growth,LISTED EQUITY,QANTAS AIRWAYS LTD.,QAN AU,BB Ticker,Australia,,,
Balanced Growth,LISTED EQUITY,ACCENTURE PLC,ACN US,BB Ticker,United States,,,
Balanced Growth,LISTED EQUITY,TREASURY WINE ESTATES LTD.,TWE AU,BB Ticker,Australia,,,
Balanced Growth,LISTED EQUITY,NOVARTIS AG,NOVN SW,BB Ticker,Switzerland,,,
Balanced Growth,LISTED EQUITY,"HOME DEPOT, INC.",HD US,BB Ticker,United States,,,
Balanced Growth,LISTED EQUITY,ASML HOLDING NV,ASML NA,BB Ticker,Netherlands,,,
Balanced Growth,LISTED EQUITY,"PFIZER, INC.",PFE US,BB Ticker,United States,,,
Balanced Growth,LISTED EQUITY,MORGAN STANLEY,MS US,BB Ticker,United States,,,
Balanced Growth,LISTED EQUITY,DEERE & CO.,DE US,BB Ticker,United States,,,
Balanced Growth,LISTED EQUITY,ANSELL LTD.,ANN AU,BB Ticker,Australia,,,
Balanced Growth,LISTED EQUITY,"QUALCOMM, INC.",QCOM US,BB Ticker,United States,,,
Balanced Growth,LISTED EQUITY,IGO LTD.,IGO AU,BB Ticker,Australia,,,
Balanced Growth,LISTED EQUITY,"MASTERCARD, INC.",MA US,BB Ticker,United States,,,
Balanced Growth,LISTED EQUITY,"WALMART, INC.",WMT US,BB Ticker,United States,,,
Balanced Growth,LISTED EQUITY,"UNITEDHEALTH GROUP, INC.",UNH US,BB Ticker,United States,,,
Balanced Growth,LISTED EQUITY,"ADOBE, INC.",ADBE US,BB Ticker,United States,,,
Balanced Growth,LISTED EQUITY,JOHNSON & JOHNSON,JNJ US,BB Ticker,United States,,,
Balanced Growth,LISTED EQUITY,CARSALES.COM LTD.,CAR AU,BB Ticker,Australia,,,
