Option Name,Asset Class Name,Name/Kind of Investment Item,Stock ID,ID_Type,Listed Country,Exchange Code,Ticker,Yahoo Ticker
Balanced,Listed Equity,CI FINANCIAL CORP C,CA1254911003,ISIN,CA,,,
Balanced,Listed Equity,ZHUHAI COSMX BATTERY CO LTD A,CNE100005030,ISIN,China,,,688772.SS
Balanced,Listed Equity,360 DIGITECH INC,US88557W1018,ISIN,United States,,,QFIN
Balanced,Listed Equity,3I GROUP PLC,GB00B1YW4409,ISIN,United Kingdom,,,III.L
Balanced,Listed Equity,3M CO,US88579Y1010,ISIN,United States,,,MMM
Balanced,Listed Equity,4D MOLECULAR THERAPEUTICS INC,US35104E1001,ISIN,United States,,,FDMT
Balanced,Listed Equity,4IMPRINT GROUP PLC,GB0006640972,ISIN,United Kingdom,,,FOUR.L
Balanced,Listed Equity,89BIO INC,US2825591033,ISIN,United States,,,ETNB
Balanced,Listed Equity,A P MOLLER MAERSK AS,DK0010244425,ISIN,Denmark,,,MAERSK-A.CO
Balanced,Listed Equity,A P MOLLER-MAERSK B,DK0010244508,ISIN,Denmark,,,MAERSK-B.CO
Balanced,Listed Equity,A2 MILK COMPANY LTD,NZATME0002S8,ISIN,New Zealand,,,ATM.NZ
Balanced,Listed Equity,AAC TECHNOLOGIES,KYG2953R1149,ISIN,Hong Kong,,,2018.HK
Balanced,Listed Equity,AAON INC COM STK USD0.004,US0003602069,ISIN,United States,,,AAON
Balanced,Listed Equity,ABB INDIA LTD,INE117A01022,ISIN,India,,,ABB.BO
Balanced,Listed Equity,ABB LTD,CH0012221716,ISIN,Switzerland,,,ABBN.SW
Balanced,Listed Equity,ABBOTT LABS,US0028241000,ISIN,United States,,,ABT
Balanced,Listed Equity,ABBVIE INC COM,US00287Y1091,ISIN,United States,,,ABBV
Balanced,Listed Equity,ABERCROMBIE FITCH CO CL-A,US0028962076,ISIN,United States,,,ANF
Balanced,Listed Equity,ABM INDUSTRIES INC,US0009571003,ISIN,United States,,,ABM
Balanced,Listed Equity,ABN AMRO BANK N V DR EACH REP SHS,NL0011540547,ISIN,Netherlands,,,ABN.AS
Balanced,Listed Equity,ABN AMRO BK AMSTM BRH UN ADR REP ORD SHS,US00080Q1058,ISIN,Germany,,,AB2A.MU
Balanced,Listed Equity,ACCELLERON N ORD SHS,CH1169360919,ISIN,Switzerland,,,ACLN.SW
Balanced,Listed Equity,ACCENT GROUP LIMITED,AU000000AX19,ISIN,Australia,,,AX1.AX
Balanced,Listed Equity,ACCENTURE PLC,IE00B4BNMY34,ISIN,United States,,,ACN
Balanced,Listed Equity,ACCOR SA,FR0000120404,ISIN,France,,,AC.PA
Balanced,Listed Equity,ACCTON TECHNOLOGY CORPORATION,TW0002345006,ISIN,Taiwan,,,2345.TW
Balanced,Listed Equity,ACI WORLDWIDE INC,US0044981019,ISIN,United States,,,ACIW
Balanced,Listed Equity,ACKERMANS & VAN HAAREN NV,BE0003764785,ISIN,Belgium,,,ACKB.BR
Balanced,Listed Equity,ACOM CO LTD JPY,JP3108600002,ISIN,Japan,,,8572.T
Balanced,Listed Equity,ACS ACTIVIDADES CO EUR 0.5 RFD JANUARY 2024,ES0167050915,ISIN,Spain,,,ACS.MC
Balanced,Listed Equity,ACUITY BRANDS INC,US00508Y1029,ISIN,United States,,,AYI
Balanced,Listed Equity,ADDTECH AB SER B NPV,SE0014781795,ISIN,Sweden,,,ADDT-B.ST
Balanced,Listed Equity,ADECCO GROUP AG,CH0012138605,ISIN,Switzerland,,,ADEN.SW
Balanced,Listed Equity,ADIDAS AG,DE000A1EWWW0,ISIN,Germany,,,ADS.DE
Balanced,Listed Equity,ADITYA BIRLA REAL ESTATE LIMITED,INE055A01016,ISIN,India,,,ABREL.BO
Balanced,Listed Equity,ADMA BIOLOGICS INC,US0008991046,ISIN,United States,,,ADMA
Balanced,Listed Equity,ADMIRAL GROUP PLC,GB00B02J6398,ISIN,United Kingdom,,,ADM.L
Balanced,Listed Equity,ADOBE INC COM,US00724F1012,ISIN,United States,,,ADBE
Balanced,Listed Equity,ADRIATIC METALS PLC CHESS DEPOSITARY INTERESTS 1 1,AU0000004772,ISIN,Australia,,,ADT.AX
Balanced,Listed Equity,ADT INC,US00090Q1031,ISIN,United States,,,ADT
Balanced,Listed Equity,ADVANCED MICRO DEVICES,US0079031078,ISIN,United States,,,AMD
Balanced,Listed Equity,ADVANTEST CORP,JP3122400009,ISIN,Japan,,,6857.T
Balanced,Listed Equity,ADYEN NV,NL0012969182,ISIN,Netherlands,,,ADYEN.AS
Balanced,Listed Equity,AECOM,US00766T1007,ISIN,United States,,,ACM
Balanced,Listed Equity,AEGON ORD SHS,BMG0112X1056,ISIN,Netherlands,,,AGN.AS
Balanced,Listed Equity,AEON CO LTD,JP3388200002,ISIN,Japan,,,8267.T
Balanced,Listed Equity,AEON CREDIT SERVICE CO LTD,JP3131400008,ISIN,Japan,,,8570.T
Balanced,Listed Equity,AERCAP HOLDINGS NV,NL0000687663,ISIN,United States,,,AER
Balanced,Listed Equity,AES CORP,US00130H1059,ISIN,United States,,,AES
Balanced,Listed Equity,AFLAC INC,US0010551028,ISIN,United States,,,AFL
