Option Name,Asset Class Name,Name/Kind of Investment Item,Stock ID,ID_Type,Listed Country,Exchange Code,Ticker,Yahoo Ticker
Balanced growth,Listed Equity,29METALS LTD COMMON STOCK AUD,BNNVRL0,SEDOL,Australia,AU,29M,
Balanced growth,Listed Equity,3I GROUP PLC COMMON STOCK GBP 73.8636,B1YW440,SEDOL,United Kingdom,LN,III,
Balanced growth,Listed Equity,A2 MILK CO LTD/THE COMMON STOCK NZD 0,2F5232S,SEDOL,,,,
Balanced growth,Listed Equity,ABB INDIA LTD COMMON STOCK INR 2,B1Y9QS9,SEDOL,India,IN,ABB,
Balanced growth,Listed Equity,ABB LTD COMMON STOCK CHF 0.12,7108899,SEDOL,Switzerland,SW,ABBN,
Balanced growth,Listed Equity,ABBOTT LABORATORIES COMMON STOCK USD 0,2002305,SEDOL,United States,US,ABT,
Balanced growth,Listed Equity,ABBVIE INC COMMON STOCK USD 0.01,B92SR70,SEDOL,United States,US,ABBV,
Balanced growth,Listed Equity,ACCENT GROUP LTD COMMON STOCK AUD 0,BD20RS5,SEDOL,Australia,AU,AX1,
Balanced growth,Listed Equity,ACCENTURE PLC COMMON STOCK USD 0.0000225,B4BNMY3,SEDOL,United States,US,ACN,
Balanced growth,Listed Equity,ACS ACTIVIDADES DE CONSTRUCCION Y SERVICIOS SA,B01FLQ6,SEDOL,Spain,SM,ACS,
Balanced growth,Listed Equity,ADAIRS LTD COMMON STOCK AUD,BYYT7Q5,SEDOL,Australia,AU,ADH,
Balanced growth,Listed Equity,ADOBE INC COMMON STOCK USD 0.0001,2008154,SEDOL,United States,US,ADBE,
Balanced growth,Listed Equity,ADVANCED MICRO DEVICES INC COMMON STOCK USD 0.01,2007849,SEDOL,United States,US,AMD,
Balanced growth,Listed Equity,ADVANTEST CORP COMMON STOCK JPY,6870490,SEDOL,Japan,JP,6857,
Balanced growth,Listed Equity,ADYEN NV COMMON STOCK EUR 0.01,BZ1HM42,SEDOL,Netherlands,NA,ADYEN,
Balanced growth,Listed Equity,AERCAP HOLDINGS NV COMMON STOCK USD 0.01,B1HHKD3,SEDOL,United States,US,AER,
Balanced growth,Listed Equity,AFLAC INC COMMON STOCK USD 0.1,2026361,SEDOL,United States,US,AFL,
Balanced growth,Listed Equity,AGEAS SA/NV COMMON STOCK EUR 0,B86S2N0,SEDOL,United Kingdom,IX,AGSB,
Balanced growth,Listed Equity,AGILENT TECHNOLOGIES INC COMMON STOCK USD 0.01,2520153,SEDOL,United States,US,A,
Balanced growth,Listed Equity,AGNICO EAGLE MINES LTD COMMON STOCK CAD 0,2009823,SEDOL,Canada,CN,AEM,
Balanced growth,Listed Equity,AIA GROUP LTD COMMON STOCK HKD 0,B4TX8S1,SEDOL,Hong Kong,HK,1299,
Balanced growth,Listed Equity,AIB GROUP PLC COMMON STOCK EUR 0.625,BF0L353,SEDOL,Ireland,ID,AIBG,
Balanced growth,Listed Equity,AIR CANADA COMMON STOCK CAD 0,BSDHYK1,SEDOL,Canada,CN,AC,
Balanced growth,Listed Equity,AIRBUS SE COMMON STOCK EUR 1,4012250,SEDOL,France,FP,AIR,
Balanced growth,Listed Equity,AKBANK TAS COMMON STOCK TRY 1,B03MN70,SEDOL,Turkey,TI,AKBNK,
Balanced growth,Listed Equity,AL RAJHI BANK COMMON STOCK SAR 10,B12LZH9,SEDOL,Saudi Arabia,AB,RJHI,
Balanced growth,Listed Equity,ALDAR PROPERTIES PJSC COMMON STOCK AED 1,B0LX3Y2,SEDOL,United Arab Emirates,UH,ALDAR,
Balanced growth,Listed Equity,ALIBABA GROUP HOLDING LTD ADR USD 0.000025,BP41ZD1,SEDOL,United States,US,BABA,
Balanced growth,Listed Equity,ALIBABA GROUP HOLDING LTD COMMON STOCK HKD,BK6YZP5,SEDOL,Hong Kong,HK,9988,
Balanced growth,Listed Equity,ALLEGION PLC COMMON STOCK USD 0.01,BFRT3W7,SEDOL,United States,US,ALLE,
Balanced growth,Listed Equity,ALLIANZ SE COMMON STOCK EUR 0,5231485,SEDOL,Germany,GR,ALV,
Balanced growth,Listed Equity,ALPHABET INC COMMON STOCK USD 0.001,BYVY8G0,SEDOL,United States,US,GOOGL,
Balanced growth,Listed Equity,ALPHABET INC COMMON STOCK USD 0.001,BYY88Y7,SEDOL,United States,US,GOOG,
Balanced growth,Listed Equity,ALS LTD COMMON STOCK AUD 0,B86SZR5,SEDOL,Australia,AU,ALQ,
Balanced growth,Listed Equity,AMADEUS IT GROUP SA COMMON STOCK EUR 0.01,B3MSM28,SEDOL,Spain,SM,AMS,
Balanced growth,Listed Equity,AMAZON.COM INC COMMON STOCK USD 0.01,2000019,SEDOL,United States,US,AMZN,
Balanced growth,Listed Equity,AMCOR PLC CDI AUD 0,3F0936S,SEDOL,,,,
