Stock ID,Name/Kind of Investment Item,YF_Symbol,YF_Suffix,YF_Exchange,YF_Country
CA1254911003,CI FINANCIAL CORP C,0HYE.L,L,London Stock Exchange,United Kingdom
CNE100005030,ZHUHAI COSMX BATTERY CO LTD A,688772.SS,SS,Shanghai Stock Exchange,China
US88557W1018,360 DIGITECH INC,QFIN,,NYSE/NASDAQ (no suffix → US),United States
GB00B1YW4409,3I GROUP PLC,III.L,L,London Stock Exchange,United Kingdom
US88579Y1010,3M CO,MMM,,NYSE/NASDAQ (no suffix → US),United States
US35104E1001,4D MOLECULAR THERAPEUTICS INC,FDMT,,NYSE/NASDAQ (no suffix → US),United States
GB0006640972,4IMPRINT GROUP PLC,FOUR.L,L,London Stock Exchange,United Kingdom
US2825591033,89BIO INC,ETNB,,NYSE/NASDAQ (no suffix → US),United States
DK0010244508,A P MOLLER-MAERSK B,MAERSK-B.CO,CO,Nasdaq Copenhagen,Denmark
NZATME0002S8,A2 MILK COMPANY LTD,ATM.NZ,NZ,NZX Limited,New Zealand
KYG2953R1149,AAC TECHNOLOGIES,2018.HK,HK,Hong Kong Stock Exchange,Hong Kong
US0003602069,AAON INC COM STK USD0.004,AAON,,NYSE/NASDAQ (no suffix → US),United States
INE117A01022,ABB INDIA LTD,ABB.BO,BO,Bombay Stock Exchange,India
CH0012221716,ABB LTD,ABBN.SW,SW,SIX Swiss Exchange,Switzerland
US0028241000,ABBOTT LABS,ABT,,NYSE/NASDAQ (no suffix → US),United States
US00287Y1091,ABBVIE INC COM,ABBV,,NYSE/NASDAQ (no suffix → US),United States
US0028962076,ABERCROMBIE FITCH CO CL-A,ANF,,NYSE/NASDAQ (no suffix → US),United States
US0009571003,ABM INDUSTRIES INC,ABM,,NYSE/NASDAQ (no suffix → US),United States
NL0011540547,ABN AMRO BANK N V DR EACH REP SHS,ABN.AS,AS,Euronext Amsterdam,Netherlands
US00080Q1058,ABN AMRO BK AMSTM BRH UN ADR REP ORD SHS,AB2A.MU,MU,Munich Stock Exchange,Germany
CH1169360919,ACCELLERON N ORD SHS,ACLN.SW,SW,SIX Swiss Exchange,Switzerland
AU000000AX19,ACCENT GROUP LIMITED,AX1.AX,AX,Australian Securities Exchange,Australia
IE00B4BNMY34,ACCENTURE PLC,ACN,,NYSE/NASDAQ (no suffix → US),United States
FR0000120404,ACCOR SA,AC.PA,PA,Euronext Paris,France
TW0002345006,ACCTON TECHNOLOGY CORPORATION,2345.TW,TW,Taiwan Stock Exchange (TSE),Taiwan
US0044981019,ACI WORLDWIDE INC,ACIW,,NYSE/NASDAQ (no suffix → US),United States
BE0003764785,ACKERMANS & VAN HAAREN NV,ACKB.BR,BR,Euronext Brussels,Belgium
JP3108600002,ACOM CO LTD JPY,8572.T,T,Tokyo Stock Exchange,Japan
ES0167050915,ACS ACTIVIDADES CO EUR 0.5 RFD JANUARY 2024,ACS.MC,MC,Bolsa de Madrid,Spain
US00508Y1029,ACUITY BRANDS INC,AYI,,NYSE/NASDAQ (no suffix → US),United States
SE0014781795,ADDTECH AB SER B NPV,ADDT-B.ST,ST,Nasdaq Stockholm,Sweden
CH0012138605,ADECCO GROUP AG,ADEN.SW,SW,SIX Swiss Exchange,Switzerland
DE000A1EWWW0,ADIDAS AG,ADS.DE,DE,Xetra (Deutsche Börse),Germany
INE055A01016,ADITYA BIRLA REAL ESTATE LIMITED,ABREL.BO,BO,Bombay Stock Exchange,India
US0008991046,ADMA BIOLOGICS INC,ADMA,,NYSE/NASDAQ (no suffix → US),United States
GB00B02J6398,ADMIRAL GROUP PLC,ADM.L,L,London Stock Exchange,United Kingdom
US00724F1012,ADOBE INC COM,ADBE,,NYSE/NASDAQ (no suffix → US),United States
AU0000004772,ADRIATIC METALS PLC CHESS DEPOSITARY INTERESTS 1 1,ADT.AX,AX,Australian Securities Exchange,Australia
US00090Q1031,ADT INC,ADT,,NYSE/NASDAQ (no suffix → US),United States
US0079031078,ADVANCED MICRO DEVICES,AMD,,NYSE/NASDAQ (no suffix → US),United States
JP3122400009,ADVANTEST CORP,6857.T,T,Tokyo Stock Exchange,Japan
NL0012969182,ADYEN NV,ADYEN.AS,AS,Euronext Amsterdam,Netherlands
US00766T1007,AECOM,ACM,,NYSE/NASDAQ (no suffix → US),United States
BMG0112X1056,AEGON ORD SHS,AGN.AS,AS,Euronext Amsterdam,Netherlands
JP3388200002,AEON CO LTD,8267.T,T,Tokyo Stock Exchange,Japan
JP3131400008,AEON CREDIT SERVICE CO LTD,8570.T,T,Tokyo Stock Exchange,Japan
NL0000687663,AERCAP HOLDINGS NV,AER,,NYSE/NASDAQ (no suffix → US),United States
US00130H1059,AES CORP,AES,,NYSE/NASDAQ (no suffix → US),United States
US0010551028,AFLAC INC,AFL,,NYSE/NASDAQ (no suffix → US),United States
JP3112000009,AGC INC,5201.T,T,Tokyo Stock Exchange,Japan
BE0974264930,AGEAS NPV POST SPLIT,AGS.BR,BR,Euronext Brussels,Belgium
US00846U1016,AGILENT TECHNOLOGIES INC,A,,NYSE/NASDAQ (no suffix → US),United States
CA0084741085,AGNICO EAGLE MINES,AEM,,NYSE/NASDAQ (no suffix → US),United States
CA0084741085,AGNICO-EAGLE MINES LTD,AEM,,NYSE/NASDAQ (no suffix → US),United States
CNE100000Q43,AGRICULTURAL BANK OF CHINA,1288.HK,HK,Hong Kong Stock Exchange,Hong Kong
JP3160460006,AGS ORD SHS,3648.T,T,Tokyo Stock Exchange,Japan
HK0000069689,AIA GROUP LTD,1299.HK,HK,Hong Kong Stock Exchange,Hong Kong
IE00BF0L3536,AIB GROUP PLC,A5G.IR,IR,Euronext Dublin (Irish Stock Exchange),Ireland
IE00BF0L3536,AIB GROUP PLC ORD,A5G.IR,IR,Euronext Dublin (Irish Stock Exchange),Ireland
US00135T1043,AIB GROUP PLC UNSPONSORED ADR,AIBGY,,NYSE/NASDAQ (no suffix → US),United States
CA0089118776,AIR CANADA VAR VTG SHS NPV,AC.TO,TO,Toronto Stock Exchange,Canada
FR0000120073,AIR LIQUIDE,AI.PA,PA,Euronext Paris,France
US0091581068,AIR PROD & CHEMS INC COM USD,APD,,NYSE/NASDAQ (no suffix → US),United States
JP3160670000,AIR WATER INC,4088.T,T,Tokyo Stock Exchange,Japan
MYL5099OO006,AIRASIA BHD,5099.KL,KL,Bursa Malaysia,Malaysia
US0090661010,AIRBNB INC,ABNB,,NYSE/NASDAQ (no suffix → US),United States
NL0000235190,AIRBUS SE,AIR.PA,PA,Euronext Paris,France
KYG014081064,AIRTAC INTERNATIONAL GROUP,1590.TW,TW,Taiwan Stock Exchange (TSE),Taiwan
JP3102000001,AISIN SEIKI CO LTD,7259.T,T,Tokyo Stock Exchange,Japan
GB00BFZNLB60,AJ BELL PLC,AJB.L,L,London Stock Exchange,United Kingdom
JP3119600009,AJINOMOTO CO INC JPY,2802.T,T,Tokyo Stock Exchange,Japan
US00971T1016,AKAMAI TECHNOLOGIES,AKAM,,NYSE/NASDAQ (no suffix → US),United States
NO0010345853,AKER BP ASA NOK1,AKRBP.OL,OL,Oslo Børs,Norway
US00973Y1082,AKERO THERAPEUTICS INC,AKRO,,NYSE/NASDAQ (no suffix → US),United States
NL0013267909,AKZO NOBEL NV,AKZA.AS,AS,Euronext Amsterdam,Netherlands
CA0115321089,ALAMOS GOLD INC,AGI.TO,TO,Toronto Stock Exchange,Canada
US0116421050,ALARM.COM HOLDINGS INC,ALRM,,NYSE/NASDAQ (no suffix → US),United States
US0126531013,ALBERMARLE CORP,ALB,,NYSE/NASDAQ (no suffix → US),United States
US0130911037,ALBERTSONS COMPANIES INC,ACI,,NYSE/NASDAQ (no suffix → US),United States
AU0000339426,ALCOA CORPORATION CDI 1 1 FOREIGN EXEMPT DEFERRED SETTLEMENT,AAI.AX,AX,Australian Securities Exchange,Australia
CH0432492467,ALCON AG,ALC.SW,SW,SIX Swiss Exchange,Switzerland
GB00BDHXPG30,ALFA FINANCIAL SOFTWARE HOLDINGS ORDINARY SHARES,ALFA.L,L,London Stock Exchange,United Kingdom
SE0000695876,ALFA LAVAL AB,ALFA.ST,ST,Nasdaq Stockholm,Sweden
JP3126340003,ALFRESA HOLDINGS CORP,2784.T,T,Tokyo Stock Exchange,Japan
