Name/Kind of Investment Item,Stock ID,ISIN,ticker,exchCode,micCode,name,marketSector,compositeFIGI,HomeCountry,mapped_country,mapped_priority,Primary,PrimaryListingCountry,PrimaryTicker
CI FINANCIAL CORP C,CA1254911003,CA1254911003,CIXN,L1,,CI FINANCIAL CORP,Equity,BBG00Y7BN3X5,CA,IE,1.0,True,IE,CIXN
ZHUHAI COSMX BATTERY CO LTD A,CNE100005030,CNE100005030,688772,CG,,ZHUHAI COSMX BATTERY CO LT-A,Equity,BBG0032F9F31,CN,CN,1.0,True,CN,688772
360 DIGITECH INC,US88557W1018,US88557W1018,QFIN,UA,,QFIN HOLDINGS INC-ADR,Equity,BBG00MDY4KL0,US,US,1.0,True,US,QFIN
3I GROUP PLC,GB00B1YW4409,GB00B1YW4409,III,LN,,3I GROUP PLC,Equity,BBG000BZZ7W0,GB,GB,1.0,True,GB,III
3M CO,US88579Y1010,US88579Y1010,MMM,UA,,3M CO,Equity,BBG000BP52R2,US,US,1.0,True,US,MMM
4D MOLECULAR THERAPEUTICS INC,US35104E1001,US35104E1001,FDMT,UA,,4D MOLECULAR THERAPEUTICS IN,Equity,BBG00QG40R88,US,US,1.0,True,US,FDMT
4IMPRINT GROUP PLC,GB0006640972,GB0006640972,FOUR,LN,,4IMPRINT GROUP PLC,Equity,BBG000C7YM13,GB,GB,1.0,True,GB,FOUR
89BIO INC,US2825591033,US2825591033,ETNB,UA,,89BIO INC,Equity,BBG00QKDZ8J5,US,US,1.0,True,US,ETNB
A P MOLLER MAERSK AS,DK0010244425,DK0010244425,MAERSKA,DC,,AP MOLLER-MAERSK A/S-A,Equity,BBG000BLYFY2,DK,DK,1.0,True,DK,MAERSKA
A P MOLLER-MAERSK B,DK0010244508,DK0010244508,MAERSKB,DC,,AP MOLLER-MAERSK A/S-B,Equity,BBG000BLYM22,DK,DK,1.0,True,DK,MAERSKB
A2 MILK COMPANY LTD,NZATME0002S8,NZATME0002S8,ATM,NZ,,A2 MILK CO LTD,Equity,BBG000CXKHC0,NZ,NZ,1.0,True,NZ,ATM
AAC TECHNOLOGIES,KYG2953R1149,KYG2953R1149,AACAF,UV,,AAC TECHNOLOGIES HOLDINGS IN,Equity,BBG000C3S2Q6,KY,US,1.0,True,US,AACAF
AAON INC COM STK USD0.004,US0003602069,US0003602069,AAON,UA,,AAON INC,Equity,BBG000C2LZP3,US,US,1.0,True,US,AAON
ABB INDIA LTD,INE117A01022,INE117A01022,ABB,IB,,ABB INDIA LTD,Equity,BBG000CNH2P5,IN,IN,1.0,True,IN,ABB
ABB LTD,CH0012221716,CH0012221716,ABBN,BW,,ABB LTD-REG,Equity,BBG000DM2M32,CH,CH,1.0,True,CH,ABBN
ABBOTT LABS,US0028241000,US0028241000,ABT,UA,,ABBOTT LABORATORIES,Equity,BBG000B9ZXB4,US,US,1.0,True,US,ABT
ABBVIE INC COM,US00287Y1091,US00287Y1091,ABBV,UA,,ABBVIE INC,Equity,BBG0025Y4RY4,US,US,1.0,True,US,ABBV
ABERCROMBIE FITCH CO CL-A,US0028962076,US0028962076,ANF,UA,,ABERCROMBIE & FITCH CO-CL A,Equity,BBG000H9G7X2,US,US,1.0,True,US,ANF
ABM INDUSTRIES INC,US0009571003,US0009571003,ABM,UA,,ABM INDUSTRIES INC,Equity,BBG000B9YYH7,US,US,1.0,True,US,ABM
ABN AMRO BANK N V DR EACH REP SHS,NL0011540547,NL0011540547,ABNA,T1,,ABN AMRO BANK NV-CVA,Equity,BBG00NLKB605,NL,NL,1.0,True,NL,ABNA
