Name/Kind of Investment Item (file1),Listed Country,Name/Kind of Investment Item (file2)
3M Co,US,3M CO
3i Group PLC,LN,3I GROUP PLC
AAC Technologies Holdings Inc,HK,AAC TECHNOLOGIES
ABB Ltd,SW,ABB LTD
AEON REIT Investment Corp,JP,AEON REIT INVESTMENT CORP
AGL Energy Ltd,AU,AGL ENERGY LTD
AIA Group Ltd,HK,AIA GROUP LTD
AIB Group PLC,ID,AIB GROUP PLC
AIB Group PLC,ID,AIB GROUP PLC ORD
AIB Group PLC,ID,AIB GROUP PLC UNSPONSORED ADR
AMP Ltd,AU,AMP LTD
ANA Holdings Inc,JP,ANA HOLDINGS INC
ANDRITZ AG,AV,ANDRITZ AG
ANSYS Inc,US,ANSYS INC
APA Corp,US,APA CORPORATION COM USD0.625
ARGAN SA,FP,ARGAN SA
ASML Holding NV,,ASML HOLDING NV
ASML Holding NV,,ASML HOLDING NV EUR 0.09 NY REG 2012 POST DEPOSITORY RECEIPT
ASR Nederland NV,,ASR NEDERLAND NV
ASX Ltd,AU,ASX LTD
AT&T Inc,US,AT & T INC
Abacus Group,AU,ABACUS GROUP FULLY PAID ORDINARY/UNITS STAPLED SECURITIES
Abacus Storage King,AU,ABACUS STORAGE KING STAPLED UNT D
AbbVie Inc,US,ABBVIE INC COM
Acadia Realty Trust,US,ACADIA REALTY TRUST
Accenture PLC,US,ACCENTURE PLC
Accton Technology Corp,TT,ACCTON TECHNOLOGY CORPORATION
Activia Properties Inc,JP,ACTIVIA PROPERTIES INC
Acuity Brands Inc,US,ACUITY BRANDS INC
Adobe Inc,US,ADOBE INC COM
Adriatic Metals PLC,AU,ADRIATIC METALS PLC CHESS DEPOSITARY INTERESTS 1 1
Advance Residence Investment Corp,JP,ADVANCE RESIDENCE INVESTMENT CORPORATION
Advanced Micro Devices Inc,US,ADVANCED MICRO DEVICES
Advantest Corp,JP,ADVANTEST CORP
Adyen NV,,ADYEN NV
Aedifica SA,BB,AEDIFICA SA
AerCap Holdings NV,US,AERCAP HOLDINGS NV
