Effective Date,Fund Name,Option Name,Asset Class Name,Int/Ext,Name/Kind of Investment Item,Currency,Stock ID,Listed Country,Units Held,% Ownership,Address,Value (AUD),Weighting,_Listed Country (before),_Listed Country (after)
31/12/2024,Care Super,Balanced,Listed Equity,1,3i Group PLC,,III,LN,109771.0,,,7913584.0,0.0002,LN,United Kingdom
31/12/2024,Care Super,Balanced,Listed Equity,1,3M Co,,MMM,US,31378.0,,,6542247.0,0.0002,US,United States
31/12/2024,Care Super,Balanced,Listed Equity,1,A O Smith Corp,,AOS,US,18472.0,,,2035056.0,0.0,US,United States
31/12/2024,Care Super,Balanced,Listed Equity,1,a2 Milk Co Ltd/The,,A2M,AU,4179644.0,,,24158341.0,0.0006,AU,Australia
31/12/2024,Care Super,Balanced,Listed Equity,1,A2A SpA,,A2A,IM,734539.0,,,2635095.0,0.0001,IM,Italy
31/12/2024,Care Super,Balanced,Listed Equity,1,AAC Technologies Holdings Inc,,2018,HK,403516.0,,,3146226.0,0.0001,HK,Hong Kong
31/12/2024,Care Super,Balanced,Listed Equity,1,ABB Ltd,,ABBN,SW,124208.0,,,10862266.0,0.0003,SW,Switzerland
31/12/2024,Care Super,Balanced,Listed Equity,1,Abbott Laboratories,,ABT,US,37532.0,,,6856614.0,0.0002,US,United States
31/12/2024,Care Super,Balanced,Listed Equity,1,AbbVie Inc,,ABBV,US,91557.0,,,26277431.0,0.0006,US,United States
31/12/2024,Care Super,Balanced,Listed Equity,1,ABN AMRO Bank NV,,ABN,NA,259927.0,,,6472933.0,0.0002,NA,Netherlands
31/12/2024,Care Super,Balanced,Listed Equity,1,Abu Dhabi Commercial Bank PJSC,,ADCB,UH,571402.0,,,2618102.0,0.0001,UH,United Arab Emirates
31/12/2024,Care Super,Balanced,Listed Equity,1,Abu Dhabi Islamic Bank PJSC,,ADIB,UH,223291.0,,,1356924.0,0.0,UH,United Arab Emirates
31/12/2024,Care Super,Balanced,Listed Equity,1,Accent Group Ltd,,AX1,AU,70732.0,,,165513.0,0.0,AU,Australia
31/12/2024,Care Super,Balanced,Listed Equity,1,Accenture PLC,,ACN,US,40385.0,,,22946131.0,0.0005,US,United States
31/12/2024,Care Super,Balanced,Listed Equity,1,Accton Technology Corp,,2345,TT,95886.0,,,3651497.0,0.0001,TT,Taiwan
31/12/2024,Care Super,Balanced,Listed Equity,1,ACS Actividades de Construccion y Servicios SA,,ACS,SM,9176.0,,,743396.0,0.0,SM,Spain
31/12/2024,Care Super,Balanced,Listed Equity,1,Acuity Brands Inc,,AYI,US,5943.0,,,2804265.0,0.0001,US,United States
31/12/2024,Care Super,Balanced,Listed Equity,1,Adairs Ltd,,ADH,AU,31874.0,,,86059.0,0.0,AU,Australia
31/12/2024,Care Super,Balanced,Listed Equity,1,adidas AG,,ADS,GR,3467.0,,,1372989.0,0.0,GR,Germany
31/12/2024,Care Super,Balanced,Listed Equity,1,Adnoc Gas PLC,,ADNOCGAS,UH,1458562.0,,,2251175.0,0.0001,UH,United Arab Emirates
31/12/2024,Care Super,Balanced,Listed Equity,1,ADNOC Logistics & Services,,ADNOCLS,UH,105983.0,,,253054.0,0.0,UH,United Arab Emirates
31/12/2024,Care Super,Balanced,Listed Equity,1,Adobe Inc,,ADBE,US,78112.0,,,56100565.0,0.0013,US,United States
31/12/2024,Care Super,Balanced,Listed Equity,1,Adriatic Metals PLC,,ADT,AU,56209.0,,,219215.0,0.0,AU,Australia
31/12/2024,Care Super,Balanced,Listed Equity,1,Advanced Micro Devices Inc,,AMD,US,112952.0,,,22035737.0,0.0005,US,United States
31/12/2024,Care Super,Balanced,Listed Equity,1,Advantech Co Ltd,,2395,TT,312601.0,,,5336160.0,0.0001,TT,Taiwan
31/12/2024,Care Super,Balanced,Listed Equity,1,Advantest Corp,,6857,JP,77215.0,,,7298911.0,0.0002,JP,Japan
31/12/2024,Care Super,Balanced,Listed Equity,1,Adyen NV,,ADYEN,NA,12015.0,,,28876440.0,0.0007000000000000001,NA,Netherlands
31/12/2024,Care Super,Balanced,Listed Equity,1,Aena SME SA,,AENA,SM,945.0,,,311848.0,0.0,SM,Spain
31/12/2024,Care Super,Balanced,Listed Equity,1,AerCap Holdings NV,,AER,US,85981.0,,,13289837.0,0.0003,US,United States
31/12/2024,Care Super,Balanced,Listed Equity,1,Aeroports de Paris SA,,ADP,FP,372.0,,,69545.0,0.0,FP,France
31/12/2024,Care Super,Balanced,Listed Equity,1,Aflac Inc,,AFL,US,10757.0,,,1797165.0,0.0,US,United States
31/12/2024,Care Super,Balanced,Listed Equity,1,Agilent Technologies Inc,,A,US,1682.0,,,364917.0,0.0,US,United States
31/12/2024,Care Super,Balanced,Listed Equity,1,AGL Energy Ltd,,AGL,AU,927531.0,,,10471826.0,0.0002,AU,Australia
31/12/2024,Care Super,Balanced,Listed Equity,1,Agnico Eagle Mines Limited/Mines Agnico Eagle Limitee,,AEM,CN,35581.0,,,4493659.0,0.0001,CN,Canada
31/12/2024,Care Super,Balanced,Listed Equity,1,AIA Group Ltd,,1299,HK,3642314.0,,,42636694.0,0.001,HK,Hong Kong
31/12/2024,Care Super,Balanced,Listed Equity,1,AIB Group PLC,,AIBG,ID,28044.0,,,249992.0,0.0,ID,Ireland
31/12/2024,Care Super,Balanced,Listed Equity,1,Aier Eye Hospital Group Co Ltd,,300015,C2,55764.0,,,163491.0,0.0,C2,China
31/12/2024,Care Super,Balanced,Listed Equity,1,Air Canada,,AC,CN,16196.0,,,404875.0,0.0,CN,Canada
31/12/2024,Care Super,Balanced,Listed Equity,1,Air Liquide SA,,AI,FP,11288.0,,,2962380.0,0.0001,FP,France
31/12/2024,Care Super,Balanced,Listed Equity,1,Airbnb Inc,,ABNB,US,106510.0,,,22605922.0,0.0005,US,United States
31/12/2024,Care Super,Balanced,Listed Equity,1,Airbus SE,,AIR,FP,60780.0,,,15733618.0,0.0004,FP,France
31/12/2024,Care Super,Balanced,Listed Equity,1,Airtac International Group,,1590,TT,64337.0,,,2675081.0,0.0001,TT,Taiwan
31/12/2024,Care Super,Balanced,Listed Equity,1,Ajinomoto Co Inc,,2802,JP,6620.0,,,438976.0,0.0,JP,Japan
31/12/2024,Care Super,Balanced,Listed Equity,1,Akamai Technologies Inc,,AKAM,US,14730.0,,,2275518.0,0.0001,US,United States
31/12/2024,Care Super,Balanced,Listed Equity,1,Akbank TAS,,AKBNK,TI,8775.0,,,25992.0,0.0,TI,Turkey
31/12/2024,Care Super,Balanced,Listed Equity,1,Al Rajhi Bank,,RJHI,AB,83501.0,,,3395487.0,0.0001,AB,Saudi Arabia
31/12/2024,Care Super,Balanced,Listed Equity,1,Al Rajhi Co for Co-operative Insurance,,ARCCI,AB,3760.0,,,277329.0,0.0,AB,Saudi Arabia
31/12/2024,Care Super,Balanced,Listed Equity,1,Albertsons Cos Inc,,ACI,US,5317.0,,,168663.0,0.0,US,United States
31/12/2024,Care Super,Balanced,Listed Equity,1,Alcoa Corp,,AAI,AU,847287.0,,,50261048.0,0.0012,AU,Australia
31/12/2024,Care Super,Balanced,Listed Equity,1,Alcoa Corp,,AA,US,114291.0,,,6973945.0,0.0002,US,United States
31/12/2024,Care Super,Balanced,Listed Equity,1,Alcon Inc,,ALC,SW,175103.0,,,23998089.0,0.0006,SW,Switzerland
31/12/2024,Care Super,Balanced,Listed Equity,1,Alfresa Holdings Corp,,2784,JP,400.0,,,8894.0,0.0,JP,Japan
31/12/2024,Care Super,Balanced,Listed Equity,1,Algonquin Power & Utilities Corp,,AQN,CN,8836.0,,,63310.0,0.0,CN,Canada
