Effective Date,Fund Name,Option Name,Asset Class Name,Int/Ext,Name/Kind of Investment Item,Currency,Stock ID,ID Type,Listed Country,Sector,Industry,Units Held,% Ownership,Address,Value (AUD),Weighting
Dec 31 2024,AustralianSuper,Balanced,Cash,1,Australia & New Zealand Banking Group Ltd,AUD,,,,,,,,,228864032.0,0.001
Dec 31 2024,AustralianSuper,Balanced,Cash,1,Bank of America NA,AUD,,,,,,,,,-4876457.0,0.0
Dec 31 2024,AustralianSuper,Balanced,Cash,1,Bank of America NA,USD,,,,,,,,,386619.0,0.0
Dec 31 2024,AustralianSuper,Balanced,Cash,1,Bank of England,USD,,,,,,,,,27013777.0,0.0001
Dec 31 2024,AustralianSuper,Balanced,Cash,1,Bank of Montreal/London,GBP,,,,,,,,,1337556.0,0.0
Dec 31 2024,AustralianSuper,Balanced,Cash,1,Bank of Montreal/London,USD,,,,,,,,,21623446.0,0.0001
Dec 31 2024,AustralianSuper,Balanced,Cash,1,Barclays Bank PLC,AUD,,,,,,,,,44747173.0,0.0002
Dec 31 2024,AustralianSuper,Balanced,Cash,1,BNP Paribas SA,AUD,,,,,,,,,193336893.0,0.0008
Dec 31 2024,AustralianSuper,Balanced,Cash,1,BNP Paribas SA,USD,,,,,,,,,5143986.0,0.0
Dec 31 2024,AustralianSuper,Balanced,Cash,1,BRED Banque Populaire,EUR,,,,,,,,,26011552.0,0.0001
Dec 31 2024,AustralianSuper,Balanced,Cash,1,BRED Banque Populaire,GBP,,,,,,,,,7376875.0,0.0
Dec 31 2024,AustralianSuper,Balanced,Cash,1,Citibank NA,AUD,,,,,,,,,63265305.0,0.0003
Dec 31 2024,AustralianSuper,Balanced,Cash,1,Citibank NA,USD,,,,,,,,,912786.0,0.0
Dec 31 2024,AustralianSuper,Balanced,Cash,1,Commonwealth Bank of Australia,AUD,,,,,,,,,1035993068.0,0.0043
Dec 31 2024,AustralianSuper,Balanced,Cash,1,Commonwealth Bank of Australia,GBP,,,,,,,,,4023750.0,0.0
Dec 31 2024,AustralianSuper,Balanced,Cash,1,Commonwealth Bank of Australia/London,GBP,,,,,,,,,2011875.0,0.0
Dec 31 2024,AustralianSuper,Balanced,Cash,1,Cooperatieve Rabobank UA,AUD,,,,,,,,,48103024.0,0.0002
Dec 31 2024,AustralianSuper,Balanced,Cash,1,Export-Import Bank of Korea,USD,,,,,,,,,10748370.0,0.0
Dec 31 2024,AustralianSuper,Balanced,Cash,1,Goldman Sachs International,AUD,,,,,,,,,162234349.0,0.0007
Dec 31 2024,AustralianSuper,Balanced,Cash,1,Goldman Sachs International,USD,,,,,,,,,9381806.0,0.0
Dec 31 2024,AustralianSuper,Balanced,Cash,1,Hongkong and Shanghai Banking Corporation Ltd,AUD,,,,,,,,,23710952.0,0.0001
Dec 31 2024,AustralianSuper,Balanced,Cash,1,JP Morgan Securities LLC,AUD,,,,,,,,,-8053693.0,0.0
Dec 31 2024,AustralianSuper,Balanced,Cash,1,JP Morgan Securities LLC,CAD,,,,,,,,,-5558001.0,0.0
Dec 31 2024,AustralianSuper,Balanced,Cash,1,JP Morgan Securities LLC,CZK,,,,,,,,,383179.0,0.0
Dec 31 2024,AustralianSuper,Balanced,Cash,1,JP Morgan Securities LLC,EUR,,,,,,,,,32117609.0,0.0001
Dec 31 2024,AustralianSuper,Balanced,Cash,1,JP Morgan Securities LLC,JPY,,,,,,,,,13259135.0,0.0001
Dec 31 2024,AustralianSuper,Balanced,Cash,1,JP Morgan Securities LLC,KRW,,,,,,,,,-1085874.0,0.0
Dec 31 2024,AustralianSuper,Balanced,Cash,1,JP Morgan Securities LLC,MXN,,,,,,,,,-1192122.0,0.0
Dec 31 2024,AustralianSuper,Balanced,Cash,1,JP Morgan Securities LLC,NZD,,,,,,,,,36767.0,0.0
Dec 31 2024,AustralianSuper,Balanced,Cash,1,JP Morgan Securities LLC,NOK,,,,,,,,,-9198854.0,0.0
Dec 31 2024,AustralianSuper,Balanced,Cash,1,JP Morgan Securities LLC,SEK,,,,,,,,,2060008.0,0.0
Dec 31 2024,AustralianSuper,Balanced,Cash,1,JP Morgan Securities LLC,CHF,,,,,,,,,-725692.0,0.0
Dec 31 2024,AustralianSuper,Balanced,Cash,1,JP Morgan Securities LLC,GBP,,,,,,,,,75146972.0,0.0003
Dec 31 2024,AustralianSuper,Balanced,Cash,1,JP Morgan Securities LLC,USD,,,,,,,,,233141500.0,0.001
Dec 31 2024,AustralianSuper,Balanced,Cash,1,JP Morgan Securities PLC,AUD,,,,,,,,,-5766741.0,0.0
Dec 31 2024,AustralianSuper,Balanced,Cash,1,JP Morgan Securities PLC,CAD,,,,,,,,,-2827906.0,0.0
Dec 31 2024,AustralianSuper,Balanced,Cash,1,JP Morgan Securities PLC,EUR,,,,,,,,,48629310.0,0.0002
Dec 31 2024,AustralianSuper,Balanced,Cash,1,JP Morgan Securities PLC,HKD,,,,,,,,,1150760.0,0.0
Dec 31 2024,AustralianSuper,Balanced,Cash,1,JP Morgan Securities PLC,JPY,,,,,,,,,16531557.0,0.0001
Dec 31 2024,AustralianSuper,Balanced,Cash,1,JP Morgan Securities PLC,SGD,,,,,,,,,238.0,0.0
Dec 31 2024,AustralianSuper,Balanced,Cash,1,JP Morgan Securities PLC,CHF,,,,,,,,,-215107.0,0.0
Dec 31 2024,AustralianSuper,Balanced,Cash,1,JP Morgan Securities PLC,GBP,,,,,,,,,23151673.0,0.0001
Dec 31 2024,AustralianSuper,Balanced,Cash,1,JP Morgan Securities PLC,USD,,,,,,,,,283208441.0,0.0012
Dec 31 2024,AustralianSuper,Balanced,Cash,1,JPMorgan Chase & Co,AUD,,,,,,,,,-7124.0,0.0
Dec 31 2024,AustralianSuper,Balanced,Cash,1,JPMorgan Chase & Co,EUR,,,,,,,,,-1.0,0.0
Dec 31 2024,AustralianSuper,Balanced,Cash,1,JPMorgan Chase & Co,USD,,,,,,,,,-184809.0,0.0
Dec 31 2024,AustralianSuper,Balanced,Cash,1,JPMorgan Chase Bank NA,AUD,,,,,,,,,-1145891218.0,-0.0048
Dec 31 2024,AustralianSuper,Balanced,Cash,1,JPMorgan Chase Bank NA,BRL,,,,,,,,,7054203.0,0.0
Dec 31 2024,AustralianSuper,Balanced,Cash,1,JPMorgan Chase Bank NA,CAD,,,,,,,,,1350157.0,0.0
Dec 31 2024,AustralianSuper,Balanced,Cash,1,JPMorgan Chase Bank NA,CLP,,,,,,,,,12754.0,0.0
Dec 31 2024,AustralianSuper,Balanced,Cash,1,JPMorgan Chase Bank NA,CNY,,,,,,,,,2.0,0.0
Dec 31 2024,AustralianSuper,Balanced,Cash,1,JPMorgan Chase Bank NA,COP,,,,,,,,,25035.0,0.0
Dec 31 2024,AustralianSuper,Balanced,Cash,1,JPMorgan Chase Bank NA,CZK,,,,,,,,,285546.0,0.0
Dec 31 2024,AustralianSuper,Balanced,Cash,1,JPMorgan Chase Bank NA,DKK,,,,,,,,,84727168.0,0.0004
Dec 31 2024,AustralianSuper,Balanced,Cash,1,JPMorgan Chase Bank NA,EUR,,,,,,,,,105043144.0,0.0004
Dec 31 2024,AustralianSuper,Balanced,Cash,1,JPMorgan Chase Bank NA,HKD,,,,,,,,,1403932.0,0.0
Dec 31 2024,AustralianSuper,Balanced,Cash,1,JPMorgan Chase Bank NA,HUF,,,,,,,,,61250.0,0.0
Dec 31 2024,AustralianSuper,Balanced,Cash,1,JPMorgan Chase Bank NA,INR,,,,,,,,,3012688.0,0.0
Dec 31 2024,AustralianSuper,Balanced,Cash,1,JPMorgan Chase Bank NA,ILS,,,,,,,,,-30247.0,0.0
Dec 31 2024,AustralianSuper,Balanced,Cash,1,JPMorgan Chase Bank NA,JPY,,,,,,,,,104114837.0,0.0004
Dec 31 2024,AustralianSuper,Balanced,Cash,1,JPMorgan Chase Bank NA,KRW,,,,,,,,,5363546.0,0.0
Dec 31 2024,AustralianSuper,Balanced,Cash,1,JPMorgan Chase Bank NA,MYR,,,,,,,,,1.0,0.0
Dec 31 2024,AustralianSuper,Balanced,Cash,1,JPMorgan Chase Bank NA,MXN,,,,,,,,,-1031994.0,0.0
Dec 31 2024,AustralianSuper,Balanced,Cash,1,JPMorgan Chase Bank NA,NZD,,,,,,,,,8024846.0,0.0
Dec 31 2024,AustralianSuper,Balanced,Cash,1,JPMorgan Chase Bank NA,NOK,,,,,,,,,17968928.0,0.0001
Dec 31 2024,AustralianSuper,Balanced,Cash,1,JPMorgan Chase Bank NA,PKR,,,,,,,,,850.0,0.0
Dec 31 2024,AustralianSuper,Balanced,Cash,1,JPMorgan Chase Bank NA,PHP,,,,,,,,,41251.0,0.0
Dec 31 2024,AustralianSuper,Balanced,Cash,1,JPMorgan Chase Bank NA,PLN,,,,,,,,,278328.0,0.0
Dec 31 2024,AustralianSuper,Balanced,Cash,1,JPMorgan Chase Bank NA,QAR,,,,,,,,,3344.0,0.0
Dec 31 2024,AustralianSuper,Balanced,Cash,1,JPMorgan Chase Bank NA,RON,,,,,,,,,1.0,0.0
Dec 31 2024,AustralianSuper,Balanced,Cash,1,JPMorgan Chase Bank NA,RUB,,,,,,,,,3341427.0,0.0
Dec 31 2024,AustralianSuper,Balanced,Cash,1,JPMorgan Chase Bank NA,SGD,,,,,,,,,2531717.0,0.0
Dec 31 2024,AustralianSuper,Balanced,Cash,1,JPMorgan Chase Bank NA,ZAR,,,,,,,,,108820.0,0.0
Dec 31 2024,AustralianSuper,Balanced,Cash,1,JPMorgan Chase Bank NA,SEK,,,,,,,,,3300982.0,0.0
Dec 31 2024,AustralianSuper,Balanced,Cash,1,JPMorgan Chase Bank NA,CHF,,,,,,,,,56707177.0,0.0002
Dec 31 2024,AustralianSuper,Balanced,Cash,1,JPMorgan Chase Bank NA,TWD,,,,,,,,,2919111.0,0.0
