Effective Date,Fund Name,Option Name,Asset Class Name,Int/Ext,Name/Kind of Investment Item,Currency,Stock ID,ID Type,Listed Country,Sector,Industry,Units Held,% Ownership,Address,Value (AUD),Weighting
2024-12-31,cbus,Balanced Growth,Cash,1,BANK OF AMERICA,AUD,,,,,,,,,85733537.75,0.0011
2024-12-31,cbus,Balanced Growth,Cash,1,BANK OF AMERICA,GBP,,,,,,,,,-13247.14,0.0
2024-12-31,cbus,Balanced Growth,Cash,1,BANQUE NATIONALE DE PARIS,AUD,,,,,,,,,510443.76,0.0
2024-12-31,cbus,Balanced Growth,Cash,1,BARCLAYS PLC,AUD,,,,,,,,,0.15,0.0
2024-12-31,cbus,Balanced Growth,Cash,1,BARCLAYS PLC,EUR,,,,,,,,,,0.0
2024-12-31,cbus,Balanced Growth,Cash,1,BARCLAYS PLC,GBP,,,,,,,,,,0.0
2024-12-31,cbus,Balanced Growth,Cash,1,BARCLAYS PLC,USD,,,,,,,,,-2188445.69,0.0
2024-12-31,cbus,Balanced Growth,Cash,1,CITIGROUP,AUD,,,,,,,,,165622943.0,0.0022
2024-12-31,cbus,Balanced Growth,Cash,1,CITIGROUP,EUR,,,,,,,,,398280.13,0.0
2024-12-31,cbus,Balanced Growth,Cash,1,CITIGROUP,GBP,,,,,,,,,561878.4,0.0
2024-12-31,cbus,Balanced Growth,Cash,1,CITIGROUP,JPY,,,,,,,,,1824147.95,0.0
2024-12-31,cbus,Balanced Growth,Cash,1,CITIGROUP,USD,,,,,,,,,-842350.27,0.0
2024-12-31,cbus,Balanced Growth,Cash,1,COMMONWEALTH BANK OF AUSTRALIA,AUD,,,,,,,,,208149076.8,0.0027
2024-12-31,cbus,Balanced Growth,Cash,1,DEUTSCHE BANK,AUD,,,,,,,,,-1134319.47,0.0
2024-12-31,cbus,Balanced Growth,Cash,1,GOLDMAN SACHS,AUD,,,,,,,,,8576715.57,0.0001
2024-12-31,cbus,Balanced Growth,Cash,1,HONG KONG AND SHANGHAI BANKING CORPORATION,AUD,,,,,,,,,-245769.22,0.0
2024-12-31,cbus,Balanced Growth,Cash,1,HONG KONG AND SHANGHAI BANKING CORPORATION,USD,,,,,,,,,0.26,0.0
2024-12-31,cbus,Balanced Growth,Cash,1,JP MORGAN,AED,,,,,,,,,150778.99,0.0
2024-12-31,cbus,Balanced Growth,Cash,1,JP MORGAN,AUD,,,,,,,,,287560721.3,0.0038
2024-12-31,cbus,Balanced Growth,Cash,1,JP MORGAN,BRL,,,,,,,,,4425470.08,0.0001
2024-12-31,cbus,Balanced Growth,Cash,1,JP MORGAN,CAD,,,,,,,,,2528910.04,0.0
2024-12-31,cbus,Balanced Growth,Cash,1,JP MORGAN,CHF,,,,,,,,,8882970.11,0.0001
2024-12-31,cbus,Balanced Growth,Cash,1,JP MORGAN,CLP,,,,,,,,,257526.5,0.0
2024-12-31,cbus,Balanced Growth,Cash,1,JP MORGAN,CNH,,,,,,,,,1770.78,0.0
2024-12-31,cbus,Balanced Growth,Cash,1,JP MORGAN,CNY,,,,,,,,,2045940.56,0.0
2024-12-31,cbus,Balanced Growth,Cash,1,JP MORGAN,COP,,,,,,,,,152282.44,0.0
2024-12-31,cbus,Balanced Growth,Cash,1,JP MORGAN,CZK,,,,,,,,,32937.26,0.0
2024-12-31,cbus,Balanced Growth,Cash,1,JP MORGAN,DKK,,,,,,,,,9136428.45,0.0001
2024-12-31,cbus,Balanced Growth,Cash,1,JP MORGAN,EUR,,,,,,,,,37646663.07,0.0005
2024-12-31,cbus,Balanced Growth,Cash,1,JP MORGAN,GBP,,,,,,,,,9608930.79,0.0001
2024-12-31,cbus,Balanced Growth,Cash,1,JP MORGAN,HKD,,,,,,,,,740806.84,0.0
2024-12-31,cbus,Balanced Growth,Cash,1,JP MORGAN,HUF,,,,,,,,,18464.47,0.0
2024-12-31,cbus,Balanced Growth,Cash,1,JP MORGAN,IDR,,,,,,,,,1517187.86,0.0
2024-12-31,cbus,Balanced Growth,Cash,1,JP MORGAN,ILS,,,,,,,,,176172.01,0.0
2024-12-31,cbus,Balanced Growth,Cash,1,JP MORGAN,INR,,,,,,,,,68092.47,0.0
2024-12-31,cbus,Balanced Growth,Cash,1,JP MORGAN,JPY,,,,,,,,,5041990.64,0.0001
2024-12-31,cbus,Balanced Growth,Cash,1,JP MORGAN,KRW,,,,,,,,,4758651.91,0.0001
2024-12-31,cbus,Balanced Growth,Cash,1,JP MORGAN,MXN,,,,,,,,,64398.97,0.0
2024-12-31,cbus,Balanced Growth,Cash,1,JP MORGAN,MYR,,,,,,,,,94177.12,0.0
2024-12-31,cbus,Balanced Growth,Cash,1,JP MORGAN,NOK,,,,,,,,,256283.71,0.0
2024-12-31,cbus,Balanced Growth,Cash,1,JP MORGAN,PHP,,,,,,,,,49996.98,0.0
2024-12-31,cbus,Balanced Growth,Cash,1,JP MORGAN,PKR,,,,,,,,,155651.19,0.0
2024-12-31,cbus,Balanced Growth,Cash,1,JP MORGAN,PLN,,,,,,,,,245922.54,0.0
2024-12-31,cbus,Balanced Growth,Cash,1,JP MORGAN,RUB,,,,,,,,,,0.0
2024-12-31,cbus,Balanced Growth,Cash,1,JP MORGAN,SAR,,,,,,,,,221642.03,0.0
2024-12-31,cbus,Balanced Growth,Cash,1,JP MORGAN,SEK,,,,,,,,,14697.53,0.0
2024-12-31,cbus,Balanced Growth,Cash,1,JP MORGAN,SGD,,,,,,,,,190633.81,0.0
2024-12-31,cbus,Balanced Growth,Cash,1,JP MORGAN,TRY,,,,,,,,,30780.54,0.0
2024-12-31,cbus,Balanced Growth,Cash,1,JP MORGAN,TWD,,,,,,,,,1081688.85,0.0
2024-12-31,cbus,Balanced Growth,Cash,1,JP MORGAN,USD,,,,,,,,,143230064.0,0.0019
2024-12-31,cbus,Balanced Growth,Cash,1,JP MORGAN,ZAR,,,,,,,,,16600.48,0.0
2024-12-31,cbus,Balanced Growth,Cash,1,JPMORGAN LIQUIDITY FUNDS - USD LIQUIDITY LVNAV FUND OPEN-END,USD,,,,,,,,,251789873.1,0.0033
2024-12-31,cbus,Balanced Growth,Cash,1,MACQUARIE BANK,AUD,,,,,,,,,10296089.56,0.0001
2024-12-31,cbus,Balanced Growth,Cash,1,MACQUARIE BANK,EUR,,,,,,,,,-402739.72,0.0
2024-12-31,cbus,Balanced Growth,Cash,1,MACQUARIE BANK,USD,,,,,,,,,405390.71,0.0
2024-12-31,cbus,Balanced Growth,Cash,1,MERRILL LYNCH BV,AUD,,,,,,,,,-1146923.02,0.0
2024-12-31,cbus,Balanced Growth,Cash,1,MORGAN STANLEY,AUD,,,,,,,,,299793070.6,0.004
2024-12-31,cbus,Balanced Growth,Cash,1,MORGAN STANLEY,CAD,,,,,,,,,-2665212.89,0.0
2024-12-31,cbus,Balanced Growth,Cash,1,MORGAN STANLEY,EUR,,,,,,,,,-14642263.43,-0.0002
2024-12-31,cbus,Balanced Growth,Cash,1,MORGAN STANLEY,GBP,,,,,,,,,-373360.17,0.0
2024-12-31,cbus,Balanced Growth,Cash,1,MORGAN STANLEY,JPY,,,,,,,,,533214.24,0.0
2024-12-31,cbus,Balanced Growth,Cash,1,MORGAN STANLEY,USD,,,,,,,,,-62725853.75,-0.0008
2024-12-31,cbus,Balanced Growth,Cash,1,MUFG BANK LTD SYDNEY,AUD,,,,,,,,,94713662.28,0.0013
2024-12-31,cbus,Balanced Growth,Cash,1,NATIONAL AUSTRALIA BANK,AUD,,,,,,,,,0.01,0.0
2024-12-31,cbus,Balanced Growth,Cash,1,ROYAL BANK OF CANADA,AUD,,,,,,,,,56391278.8,0.0007
2024-12-31,cbus,Balanced Growth,Cash,1,SOCIETE GENERALE,AUD,,,,,,,,,-34256448.08,-0.0005
2024-12-31,cbus,Balanced Growth,Cash,1,UBS,AUD,,,,,,,,,18263167.44,0.0002
2024-12-31,cbus,Balanced Growth,Cash,1,WESTPAC BANKING CORPORATION,AUD,,,,,,,,,2854704.01,0.0
2024-12-31,cbus,Balanced Growth,Cash,1,SUB TOTAL,,,,,,,,,,1606185779.0,0.0212
2024-12-31,cbus,Balanced Growth,Fixed income,0,AUSTRALIA & NEW ZEALAND BANKING GROUP,,,,,,,,,,451567659.0,0.006
2024-12-31,cbus,Balanced Growth,Fixed income,0,BANK OF QUEENSLAND,,,,,,,,,,181140925.4,0.0024
2024-12-31,cbus,Balanced Growth,Fixed income,0,BENDIGO & ADELAIDE BANK,,,,,,,,,,231902638.6,0.0031
2024-12-31,cbus,Balanced Growth,Fixed income,0,BRISBANE AIRPORT CORP,,,,,,,,,,36040857.52,0.0005
2024-12-31,cbus,Balanced Growth,Fixed income,0,COMMONWEALTH BANK OF AUSTRALIA,,,,,,,,,,226371399.2,0.003
2024-12-31,cbus,Balanced Growth,Fixed income,0,HOUSING AUSTRALIA,,,,,,,,,,115628745.5,0.0015
2024-12-31,cbus,Balanced Growth,Fixed income,0,INSURANCE AUSTRALIA GRP,,,,,,,,,,23432295.01,0.0003
2024-12-31,cbus,Balanced Growth,Fixed income,0,PRIVATE DEBT:,,,,,,,,,,746409435.4,0.0098999999999999
2024-12-31,cbus,Balanced Growth,Fixed income (PRIVATE DEBT),0,AARDVARK BIDCO PTY LTD,,,,,,,,,,,
2024-12-31,cbus,Balanced Growth,Fixed income (PRIVATE DEBT),0,APM GLOBAL HOLDINGS PTY LTD,,,,,,,,,,,
2024-12-31,cbus,Balanced Growth,Fixed income (PRIVATE DEBT),0,BPT BORROWER PTY LTD,,,,,,,,,,,
2024-12-31,cbus,Balanced Growth,Fixed income (PRIVATE DEBT),0,CENTURIA FUNDS MANAGEMENT LIMITED AS TRUSTEE OF THE CENTURIA CAPITAL NO. 2 FUND,,,,,,,,,,,
2024-12-31,cbus,Balanced Growth,Fixed income (PRIVATE DEBT),0,CRESCENT FINANCE CO PTY LTD,,,,,,,,,,,
2024-12-31,cbus,Balanced Growth,Fixed income (PRIVATE DEBT),0,CX BIDCO PTY LTD,,,,,,,,,,,
2024-12-31,cbus,Balanced Growth,Fixed income (PRIVATE DEBT),0,DEVINE NORTHCLIFFE PTY LTD,,,,,,,,,,,
2024-12-31,cbus,Balanced Growth,Fixed income (PRIVATE DEBT),0,DEVLIN STREET HOLD TC PTY LIMITED IN ITS OWN CAPACITY AND ATF DEVLIN STREET HOLD TRUST,,,,,,,,,,,
2024-12-31,cbus,Balanced Growth,Fixed income (PRIVATE DEBT),0,FORTKN FINANCE CO PTY LTD,,,,,,,,,,,
2024-12-31,cbus,Balanced Growth,Fixed income (PRIVATE DEBT),0,FULCRUM MEDIA FINANCE 2 PTY LTD,,,,,,,,,,,
