Effective Date,Fund Name,Option Name,Asset Class Name,Int/Ext,Name/Kind of Investment Item,Currency,Stock ID,ID Type,Listed Country,Sector,Industry,Units Held,% Ownership,Address,Value (AUD),Weighting
2024-12-31,Hostplus Superannuation Fund,HC Balanced - Class A Option,Cash,1,ANZ Group Holdings Ltd,AUD,,,,,,,,,385468004.0,0.0046999999999999
2024-12-31,Hostplus Superannuation Fund,HC Balanced - Class A Option,Cash,1,Bank of America,USD,,,,,,,,,68476.0,0.0
2024-12-31,Hostplus Superannuation Fund,HC Balanced - Class A Option,Cash,1,Bank of Queensland,AUD,,,,,,,,,75237667.0,0.0009
2024-12-31,Hostplus Superannuation Fund,HC Balanced - Class A Option,Cash,1,Barclays Bank,USD,,,,,,,,,639893.0,0.0
2024-12-31,Hostplus Superannuation Fund,HC Balanced - Class A Option,Cash,1,BNP Paribas,AUD,,,,,,,,,78669.0,0.0
2024-12-31,Hostplus Superannuation Fund,HC Balanced - Class A Option,Cash,1,BNP Paribas,USD,,,,,,,,,-4922222.0,-0.0001
2024-12-31,Hostplus Superannuation Fund,HC Balanced - Class A Option,Cash,1,BNSC,AUD,,,,,,,,,62138414.0,0.0008
2024-12-31,Hostplus Superannuation Fund,HC Balanced - Class A Option,Cash,1,Citigroup Inc,AUD,,,,,,,,,983096649.0,0.012
2024-12-31,Hostplus Superannuation Fund,HC Balanced - Class A Option,Cash,1,Citigroup Inc,BRL,,,,,,,,,1858172.0,0.0
2024-12-31,Hostplus Superannuation Fund,HC Balanced - Class A Option,Cash,1,Citigroup Inc,CAD,,,,,,,,,22032049.0,0.0003
2024-12-31,Hostplus Superannuation Fund,HC Balanced - Class A Option,Cash,1,Citigroup Inc,CHF,,,,,,,,,21706507.0,0.0003
2024-12-31,Hostplus Superannuation Fund,HC Balanced - Class A Option,Cash,1,Citigroup Inc,CNH,,,,,,,,,3886278.0,0.0
2024-12-31,Hostplus Superannuation Fund,HC Balanced - Class A Option,Cash,1,Citigroup Inc,CZK,,,,,,,,,0.0,0.0
2024-12-31,Hostplus Superannuation Fund,HC Balanced - Class A Option,Cash,1,Citigroup Inc,DKK,,,,,,,,,1631517.0,0.0
2024-12-31,Hostplus Superannuation Fund,HC Balanced - Class A Option,Cash,1,Citigroup Inc,EUR,,,,,,,,,118569077.0,0.0015
