Effective Date,Fund Name,Option Name,Asset Class Name,Int/Ext,Name/Kind of Investment Item,Currency,Stock ID,ID Type,Listed Country,Sector,Industry,Units Held,% Ownership,Address,Value (AUD),Weighting
12/31/2024,aware,Balanced Growth,CASH,1,COMMONWEALTH BANK OF AUSTRALIA,AUD,,,,,,,,-,273243198,0.0112
12/31/2024,aware,Balanced Growth,CASH,1,NATIONAL AUSTRALIA BANK LIMITED,AUD,,,,,,,,-,154727273,0.0063
12/31/2024,aware,Balanced Growth,CASH,1,STATE STREET BANK AND TRUST,USD,,,,,,,,-,30031189,0.0012
12/31/2024,aware,Balanced Growth,CASH,1,MORGAN STANLEY,AUD,,,,,,,,-,24810420,0.001
12/31/2024,aware,Balanced Growth,CASH,1,MORGAN STANLEY,USD,,,,,,,,-,18920051,0.0008
12/31/2024,aware,Balanced Growth,CASH,1,MUFG BANK LTD.,USD,,,,,,,,-,15926638,0.0007
12/31/2024,aware,Balanced Growth,CASH,1,STATE STREET BANK AND TRUST,EUR,,,,,,,,-,8469823,0.0003
12/31/2024,aware,Balanced Growth,CASH,1,STATE STREET BANK AND TRUST,AUD,,,,,,,,-,7994148,0.0003
12/31/2024,aware,Balanced Growth,CASH,1,SUMITOMO MITSUI BANKING CORP.,USD,,,,,,,,-,6241321,0.0003
12/31/2024,aware,Balanced Growth,CASH,1,STATE STREET BANK AND TRUST,GBP,,,,,,,,-,5381593,0.0002
12/31/2024,aware,Balanced Growth,CASH,1,MORGAN STANLEY & CO. INTERNATIONAL PLC,AUD,,,,,,,,-,5287390,0.0002
12/31/2024,aware,Balanced Growth,CASH,1,MORGAN STANLEY & CO. INTERNATIONAL PLC,GBP,,,,,,,,-,5231645,0.0002
12/31/2024,aware,Balanced Growth,CASH,1,AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED,AUD,,,,,,,,-,5055926,0.0002
12/31/2024,aware,Balanced Growth,CASH,1,MORGAN STANLEY,EUR,,,,,,,,-,4350469,0.0002
12/31/2024,aware,Balanced Growth,CASH,1,MORGAN STANLEY,KRW,,,,,,,,-,2474489,0.0001
12/31/2024,aware,Balanced Growth,CASH,1,STATE STREET BANK AND TRUST,JPY,,,,,,,,-,2372489,0.0001
12/31/2024,aware,Balanced Growth,CASH,1,MORGAN STANLEY,JPY,,,,,,,,-,2050576,0.0001
12/31/2024,aware,Balanced Growth,CASH,1,MORGAN STANLEY & CO. INTERNATIONAL PLC,USD,,,,,,,,-,1515676,0.0001
12/31/2024,aware,Balanced Growth,CASH,1,JPMORGAN CHASE & CO,USD,,,,,,,,-,1475015,0.0001
12/31/2024,aware,Balanced Growth,CASH,1,STATE STREET BANK AND TRUST,CAD,,,,,,,,-,1194703,0
12/31/2024,aware,Balanced Growth,CASH,1,UBS AG,AUD,,,,,,,,-,1148083,0
12/31/2024,aware,Balanced Growth,CASH,1,MORGAN STANLEY & CO. INTERNATIONAL PLC,JPY,,,,,,,,-,1094291,0
12/31/2024,aware,Balanced Growth,CASH,1,STATE STREET BANK AND TRUST,CNY,,,,,,,,-,1036214,0
12/31/2024,aware,Balanced Growth,CASH,1,BNP PARIBAS,USD,,,,,,,,-,1019237,0
12/31/2024,aware,Balanced Growth,CASH,1,BARCLAYS BANK PLC,USD,,,,,,,,-,935222,0
12/31/2024,aware,Balanced Growth,CASH,1,MORGAN STANLEY,GBP,,,,,,,,-,878169,0
12/31/2024,aware,Balanced Growth,CASH,1,JPMORGAN CHASE & CO,AUD,,,,,,,,-,833899,0
12/31/2024,aware,Balanced Growth,CASH,1,STATE STREET BANK AND TRUST,NZD,,,,,,,,-,738467,0
12/31/2024,aware,Balanced Growth,CASH,1,STATE STREET BANK AND TRUST,ILS,,,,,,,,-,665351,0
12/31/2024,aware,Balanced Growth,CASH,1,STATE STREET BANK AND TRUST,SGD,,,,,,,,-,623809,0
12/31/2024,aware,Balanced Growth,CASH,1,STATE STREET BANK AND TRUST,INR,,,,,,,,-,586669,0
12/31/2024,aware,Balanced Growth,CASH,1,STATE STREET BANK AND TRUST,HKD,,,,,,,,-,542673,0
12/31/2024,aware,Balanced Growth,CASH,1,J.P. MORGAN SECURITIES LLC,USD,,,,,,,,-,511166,0
12/31/2024,aware,Balanced Growth,CASH,1,MORGAN STANLEY,CAD,,,,,,,,-,462225,0
12/31/2024,aware,Balanced Growth,CASH,1,STATE STREET BANK AND TRUST,RUB,,,,,,,,-,376766,0
12/31/2024,aware,Balanced Growth,CASH,1,UBS AG,USD,,,,,,,,-,342761,0
12/31/2024,aware,Balanced Growth,CASH,1,STATE STREET BANK AND TRUST,BRL,,,,,,,,-,339336,0
12/31/2024,aware,Balanced Growth,CASH,1,STATE STREET BANK AND TRUST,MYR,,,,,,,,-,328506,0
12/31/2024,aware,Balanced Growth,CASH,1,STATE STREET BANK AND TRUST,DKK,,,,,,,,-,291489,0
12/31/2024,aware,Balanced Growth,CASH,1,STATE STREET BANK AND TRUST,NOK,,,,,,,,-,273153,0
12/31/2024,aware,Balanced Growth,CASH,1,JPMORGAN CHASE & CO,EUR,,,,,,,,-,259056,0
12/31/2024,aware,Balanced Growth,CASH,1,STATE STREET BANK AND TRUST,MXN,,,,,,,,-,251592,0
12/31/2024,aware,Balanced Growth,CASH,1,STATE STREET BANK AND TRUST,RON,,,,,,,,-,222329,0
12/31/2024,aware,Balanced Growth,CASH,1,STATE STREET BANK AND TRUST,CZK,,,,,,,,-,218368,0
12/31/2024,aware,Balanced Growth,CASH,1,STATE STREET BANK AND TRUST,SEK,,,,,,,,-,210127,0
12/31/2024,aware,Balanced Growth,CASH,1,STATE STREET BANK AND TRUST,CHF,,,,,,,,-,197650,0
12/31/2024,aware,Balanced Growth,CASH,1,STATE STREET BANK AND TRUST,COP,,,,,,,,-,194573,0
12/31/2024,aware,Balanced Growth,CASH,1,STATE STREET BANK AND TRUST,IDR,,,,,,,,-,184197,0
12/31/2024,aware,Balanced Growth,CASH,1,STATE STREET BANK AND TRUST,PLN,,,,,,,,-,148851,0
12/31/2024,aware,Balanced Growth,CASH,1,STATE STREET BANK AND TRUST,HUF,,,,,,,,-,130909,0
12/31/2024,aware,Balanced Growth,CASH,1,JPMORGAN CHASE & CO,GBP,,,,,,,,-,105491,0
12/31/2024,aware,Balanced Growth,CASH,1,STATE STREET BANK AND TRUST,SAR,,,,,,,,-,98969,0
12/31/2024,aware,Balanced Growth,CASH,1,STATE STREET BANK AND TRUST,THB,,,,,,,,-,82608,0
12/31/2024,aware,Balanced Growth,CASH,1,STATE STREET BANK AND TRUST,KRW,,,,,,,,-,78728,0
12/31/2024,aware,Balanced Growth,CASH,1,JPMORGAN CHASE & CO,JPY,,,,,,,,-,71156,0
12/31/2024,aware,Balanced Growth,CASH,1,MACQUARIE GROUP LTD.,AUD,,,,,,,,-,46792,0
12/31/2024,aware,Balanced Growth,CASH,1,STATE STREET BANK AND TRUST,TWD,,,,,,,,-,26508,0
12/31/2024,aware,Balanced Growth,CASH,1,MORGAN STANLEY,CHF,,,,,,,,-,25131,0
12/31/2024,aware,Balanced Growth,CASH,1,STATE STREET BANK AND TRUST,KWD,,,,,,,,-,22583,0
12/31/2024,aware,Balanced Growth,CASH,1,STATE STREET BANK AND TRUST,PHP,,,,,,,,-,20234,0
12/31/2024,aware,Balanced Growth,CASH,1,MORGAN STANLEY,SEK,,,,,,,,-,18333,0
12/31/2024,aware,Balanced Growth,CASH,1,STATE STREET BANK AND TRUST,QAR,,,,,,,,-,14444,0
12/31/2024,aware,Balanced Growth,CASH,1,STATE STREET BANK AND TRUST,TRY,,,,,,,,-,10230,0
12/31/2024,aware,Balanced Growth,CASH,1,STATE STREET BANK AND TRUST,ZAR,,,,,,,,-,9839,0
12/31/2024,aware,Balanced Growth,CASH,1,STATE STREET BANK AND TRUST,AED,,,,,,,,-,7419,0
12/31/2024,aware,Balanced Growth,CASH,1,STATE STREET BANK AND TRUST,CLP,,,,,,,,-,3446,0
12/31/2024,aware,Balanced Growth,CASH,1,UBS AG,GBP,,,,,,,,-,-2,0
12/31/2024,aware,Balanced Growth,CASH,1,MORGAN STANLEY & CO. INTERNATIONAL PLC,EUR,,,,,,,,-,-3583,0
12/31/2024,aware,Balanced Growth,CASH,1,UBS AG,EUR,,,,,,,,-,-4300,0
12/31/2024,aware,Balanced Growth,CASH,1,STATE STREET BANK AND TRUST,CNH,,,,,,,,-,-41374,0
12/31/2024,aware,Balanced Growth,CASH,1,MORGAN STANLEY,HKD,,,,,,,,-,-160693,0
12/31/2024,aware,Balanced Growth,CASH,1,SUB TOTAL,,,,,,,,,,592231129,0.0242
12/31/2024,aware,Balanced Growth,FIXED INCOME,0,WESTPAC BANKING CORPORATION,-,,,,,,,,-,242782462,0.0099
12/31/2024,aware,Balanced Growth,FIXED INCOME,0,UNITED STATES TREASURY,-,,,,,,,,-,189286541,0.0077
12/31/2024,aware,Balanced Growth,FIXED INCOME,0,AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED,-,,,,,,,,-,177817768,0.0073
12/31/2024,aware,Balanced Growth,FIXED INCOME,0,COMMONWEALTH BANK OF AUSTRALIA,-,,,,,,,,-,68690796,0.0028
12/31/2024,aware,Balanced Growth,FIXED INCOME,0,NATIONAL AUSTRALIA BANK LIMITED,-,,,,,,,,-,59793116,0.0024
12/31/2024,aware,Balanced Growth,FIXED INCOME,0,STANDARD CHARTERED BANK,-,,,,,,,,-,46805835,0.0019
12/31/2024,aware,Balanced Growth,FIXED INCOME,0,AUSTRALIA GOVERNMENT,-,,,,,,,,-,44346702,0.0018
12/31/2024,aware,Balanced Growth,FIXED INCOME,0,CREDIT AGRICOLE CORPORATE & INVESTMENT BANK,-,,,,,,,,-,34957385,0.0014
12/31/2024,aware,Balanced Growth,FIXED INCOME,0,DBS BANK LTD.,-,,,,,,,,-,33978422,0.0014
12/31/2024,aware,Balanced Growth,FIXED INCOME,0,BENDIGO & ADELAIDE BANK LTD.,-,,,,,,,,-,29948309,0.0012
12/31/2024,aware,Balanced Growth,FIXED INCOME,0,COOPERATIEVE RABOBANK UA,-,,,,,,,,-,29129076,0.0012
12/31/2024,aware,Balanced Growth,FIXED INCOME,0,MIZUHO BANK LTD.,-,,,,,,,,-,25158135,0.001
12/31/2024,aware,Balanced Growth,FIXED INCOME,0,THE BANK OF NOVA SCOTIA,-,,,,,,,,-,23330091,0.001
12/31/2024,aware,Balanced Growth,FIXED INCOME,0,CANADIAN IMPERIAL BANK OF COMMERCE,-,,,,,,,,-,21005745,0.0009
12/31/2024,aware,Balanced Growth,FIXED INCOME,0,SUMITOMO MITSUI BANKING CORP.,-,,,,,,,,-,18548862,0.0008
12/31/2024,aware,Balanced Growth,FIXED INCOME,0,OVERSEA-CHINESE BANKING CORP. LTD.,-,,,,,,,,-,17009646,0.0007
12/31/2024,aware,Balanced Growth,FIXED INCOME,0,UNITED OVERSEAS BANK LTD.,-,,,,,,,,-,13516013,0.0006
12/31/2024,aware,Balanced Growth,FIXED INCOME,0,NEW SOUTH WALES TREASURY CORP.,-,,,,,,,,-,13203229,0.0005
12/31/2024,aware,Balanced Growth,FIXED INCOME,0,MUFG BANK LTD.,-,,,,,,,,-,12433621,0.0005
12/31/2024,aware,Balanced Growth,FIXED INCOME,0,BANK OF QUEENSLAND LTD.,-,,,,,,,,-,9850865,0.0004
12/31/2024,aware,Balanced Growth,FIXED INCOME,0,DBG CONSOLIDATED HOLDINGS PTY LTD,-,,,,,,,,-,9839333,0.0004
12/31/2024,aware,Balanced Growth,FIXED INCOME,0,BNP PARIBAS SA,-,,,,,,,,-,9191303,0.0004
12/31/2024,aware,Balanced Growth,FIXED INCOME,0,TREASURY CORP. OF VICTORIA,-,,,,,,,,-,8830420,0.0004
12/31/2024,aware,Balanced Growth,FIXED INCOME,0,QUEENSLAND TREASURY CORP.,-,,,,,,,,-,8443146,0.0003
12/31/2024,aware,Balanced Growth,FIXED INCOME,0,NORFINA LTD.,-,,,,,,,,-,6979491,0.0003
12/31/2024,aware,Balanced Growth,FIXED INCOME,0,LENDLEASE FINANCE LTD.,-,,,,,,,,-,6827453,0.0003
12/31/2024,aware,Balanced Growth,FIXED INCOME,0,NBN CO. LTD.,-,,,,,,,,-,5868654,0.0002
12/31/2024,aware,Balanced Growth,FIXED INCOME,0,VOLKSWAGEN FINANCIAL SERVICES AUSTRALIA PTY LTD,-,,,,,,,,-,4456010,0.0002
12/31/2024,aware,Balanced Growth,FIXED INCOME,0,TORONTO-DOMINION BANK,-,,,,,,,,-,4374348,0.0002
12/31/2024,aware,Balanced Growth,FIXED INCOME,0,"CPPIB CAPITAL, INC.",-,,,,,,,,-,3720520,0.0002
12/31/2024,aware,Balanced Growth,FIXED INCOME,0,SYDNEY AIRPORT FINANCE CO PTY LTD,-,,,,,,,,-,3361002,0.0001
12/31/2024,aware,Balanced Growth,FIXED INCOME,0,WESTERN AUSTRALIAN TREASURY CORP.,-,,,,,,,,-,2654023,0.0001
12/31/2024,aware,Balanced Growth,FIXED INCOME,0,INTER-AMERICAN INVESTMENT CORP.,-,,,,,,,,-,2267062,0.0001
12/31/2024,aware,Balanced Growth,FIXED INCOME,0,KIWIBANK LTD.,-,,,,,,,,-,2109063,0.0001
12/31/2024,aware,Balanced Growth,FIXED INCOME,0,ASIAN INFRASTRUCTURE INVESTMENT BANK,-,,,,,,,,-,2040053,0.0001
12/31/2024,aware,Balanced Growth,FIXED INCOME,0,WESTPAC SECURITISATION TRUST,-,,,,,,,,-,1540155,0.0001
12/31/2024,aware,Balanced Growth,FIXED INCOME,0,UBS AG,-,,,,,,,,-,1531007,0.0001
12/31/2024,aware,Balanced Growth,FIXED INCOME,0,RWH FINANCE PTY LTD,-,,,,,,,,-,1515387,0.0001
12/31/2024,aware,Balanced Growth,FIXED INCOME,0,ROYAL BANK OF CANADA,-,,,,,,,,-,1501203,0.0001
12/31/2024,aware,Balanced Growth,FIXED INCOME,0,ASIAN DEVELOPMENT BANK,-,,,,,,,,-,1428372,0.0001
12/31/2024,aware,Balanced Growth,FIXED INCOME,0,EUROPEAN INVESTMENT BANK,-,,,,,,,,-,1383495,0.0001
12/31/2024,aware,Balanced Growth,FIXED INCOME,0,WOOLWORTHS GROUP LTD.,-,,,,,,,,-,1357493,0.0001
12/31/2024,aware,Balanced Growth,FIXED INCOME,0,REDS TRUST,-,,,,,,,,-,1154547,0
12/31/2024,aware,Balanced Growth,FIXED INCOME,0,PUMA,-,,,,,,,,-,1154008,0
12/31/2024,aware,Balanced Growth,FIXED INCOME,0,SOUTH AUSTRALIAN GOVERNMENT FINANCING AUTHORITY,-,,,,,,,,-,1119579,0
12/31/2024,aware,Balanced Growth,FIXED INCOME,0,INTERNATIONAL BANK FOR RECONSTRUCTION & DEVELOPMENT,-,,,,,,,,-,1081441,0
12/31/2024,aware,Balanced Growth,FIXED INCOME,0,MEDALLION TRUST,-,,,,,,,,-,1062920,0
12/31/2024,aware,Balanced Growth,FIXED INCOME,0,FIRSTMAC MORTGAGE FUNDING TRUST NO. 4,-,,,,,,,,-,802935,0
12/31/2024,aware,Balanced Growth,FIXED INCOME,0,ING BANK AUSTRALIA LTD.,-,,,,,,,,-,555500,0
12/31/2024,aware,Balanced Growth,FIXED INCOME,0,TOYOTA FINANCE AUSTRALIA LTD.,-,,,,,,,,-,544962,0
12/31/2024,aware,Balanced Growth,FIXED INCOME,0,CONQUEST TRUST,-,,,,,,,,-,440879,0
12/31/2024,aware,Balanced Growth,FIXED INCOME,0,SCENTRE GROUP TRUST 1,-,,,,,,,,-,334117,0
12/31/2024,aware,Balanced Growth,FIXED INCOME,0,BPCE SA,-,,,,,,,,-,329756,0
12/31/2024,aware,Balanced Growth,FIXED INCOME,0,KREDITANSTALT FUER WIEDERAUFBAU,-,,,,,,,,-,287788,0
12/31/2024,aware,Balanced Growth,FIXED INCOME,0,AUSTRALIAN NATIONAL UNIVERSITY,-,,,,,,,,-,161283,0
12/31/2024,aware,Balanced Growth,FIXED INCOME,0,JEM SOUTHBANK PTY LTD,-,,,,,,,,-,85790,0
12/31/2024,aware,Balanced Growth,FIXED INCOME,0,AXIOM EDUCATION PTY LTD,-,,,,,,,,-,29907,0
12/31/2024,aware,Balanced Growth,FIXED INCOME,0,BROADCOM CORP.,-,,,,,,,,-,29026,0
12/31/2024,aware,Balanced Growth,FIXED INCOME,0,KANSAS CITY SOUTHERN RAILWAY CO.,-,,,,,,,,-,23594,0
12/31/2024,aware,Balanced Growth,FIXED INCOME,0,"BAXTER INTERNATIONAL, INC.",-,,,,,,,,-,23365,0
12/31/2024,aware,Balanced Growth,FIXED INCOME,0,MPC FUNDING LTD.,-,,,,,,,,-,16087,0
12/31/2024,aware,Balanced Growth,FIXED INCOME,0,"LEHMAN BROTHERS HOLDINGS, INC.",-,,,,,,,,-,125,0
12/31/2024,aware,Balanced Growth,FIXED INCOME,0,GSR MORTGAGE LOAN TRUST,-,,,,,,,,-,31,0
12/31/2024,aware,Balanced Growth,FIXED INCOME,0,HOME EQUITY ASSET TRUST,-,,,,,,,,-,9,0
12/31/2024,aware,Balanced Growth,FIXED INCOME,0,SUB TOTAL,,,,,,,,,,1212049261,0.048778641
12/31/2024,aware,Balanced Growth,FIXED INCOME (PRIVATE DEBT),0,ANCORA BIDCO B PTY LTD,-,,,,,,,,-,,
12/31/2024,aware,Balanced Growth,FIXED INCOME (PRIVATE DEBT),0,ANDANTE FINANCE COMPANY PTY LIMITED,-,,,,,,,,-,,
12/31/2024,aware,Balanced Growth,FIXED INCOME (PRIVATE DEBT),0,APOG BIDCO PTY LTD,-,,,,,,,,-,,
12/31/2024,aware,Balanced Growth,FIXED INCOME (PRIVATE DEBT),0,AUSTRALIAN SALES FINANCE AND CREDIT CARDS TRUST NO. 3,-,,,,,,,,-,,
12/31/2024,aware,Balanced Growth,FIXED INCOME (PRIVATE DEBT),0,BLANALKO PTY LTD AS TRUSTEE FOR THE BLANALKO SCT PROPERTY TRUST,-,,,,,,,,-,,
12/31/2024,aware,Balanced Growth,FIXED INCOME (PRIVATE DEBT),0,CIRRUS HOLDINGS 2 PTY LTD,-,,,,,,,,-,,
12/31/2024,aware,Balanced Growth,FIXED INCOME (PRIVATE DEBT),0,CREDABL WAREHOUSE TRUST NO.1,-,,,,,,,,-,,
12/31/2024,aware,Balanced Growth,FIXED INCOME (PRIVATE DEBT),0,CX BIDCO PTY LTD,-,,,,,,,,-,,
12/31/2024,aware,Balanced Growth,FIXED INCOME (PRIVATE DEBT),0,DEVICE TECHNOLOGIES AUSTRALIA PTY LTD,-,,,,,,,,-,,
12/31/2024,aware,Balanced Growth,FIXED INCOME (PRIVATE DEBT),0,ENWERD PTY LTD AS TRUSTEE FOR THE N & W WERDIGER FAMILY TRUST,-,,,,,,,,-,,
12/31/2024,aware,Balanced Growth,FIXED INCOME (PRIVATE DEBT),0,FP TURBO WAREHOUSE TRUST 2021-1,-,,,,,,,,-,,
12/31/2024,aware,Balanced Growth,FIXED INCOME (PRIVATE DEBT),0,HARRIS FARM MARKETS FINANCE PTY LTD,-,,,,,,,,-,,
12/31/2024,aware,Balanced Growth,FIXED INCOME (PRIVATE DEBT),0,HIREPOOL FINANCE LIMITED,-,,,,,,,,-,,
12/31/2024,aware,Balanced Growth,FIXED INCOME (PRIVATE DEBT),0,IRON MOUNTAIN AUSTRALIA GROUP PTY LTD,-,,,,,,,,-,,
12/31/2024,aware,Balanced Growth,FIXED INCOME (PRIVATE DEBT),0,JAYBRO GROUP,-,,,,,,,,-,,
12/31/2024,aware,Balanced Growth,FIXED INCOME (PRIVATE DEBT),0,JNZ FINCO LIMITED,-,,,,,,,,-,,
12/31/2024,aware,Balanced Growth,FIXED INCOME (PRIVATE DEBT),0,KINETIC HOLDING COMPANY PTY LTD,-,,,,,,,,-,,
12/31/2024,aware,Balanced Growth,FIXED INCOME (PRIVATE DEBT),0,KINETIC NZ HOLDINGS LIMITED,-,,,,,,,,-,,
12/31/2024,aware,Balanced Growth,FIXED INCOME (PRIVATE DEBT),0,LEGAL SOFTWARE PTY LTD,-,,,,,,,,-,,
12/31/2024,aware,Balanced Growth,FIXED INCOME (PRIVATE DEBT),0,MOTORONE BIDCO PTY LTD,-,,,,,,,,-,,
12/31/2024,aware,Balanced Growth,FIXED INCOME (PRIVATE DEBT),0,NEWCOLD FINANCING PTY LTD,-,,,,,,,,-,,
12/31/2024,aware,Balanced Growth,FIXED INCOME (PRIVATE DEBT),0,NZ HEALTHCARE INVESTMENTS LIMITED,-,,,,,,,,-,,
12/31/2024,aware,Balanced Growth,FIXED INCOME (PRIVATE DEBT),0,PACIFIC 2023 BIDCO B PTY LTD,-,,,,,,,,-,,
12/31/2024,aware,Balanced Growth,FIXED INCOME (PRIVATE DEBT),0,PACIFIC PROPERTY FUND LIMITED,-,,,,,,,,-,,
12/31/2024,aware,Balanced Growth,FIXED INCOME (PRIVATE DEBT),0,PAGAC CHICKEN TENDERS HOLDINGS I PTY LTD,-,,,,,,,,-,,
12/31/2024,aware,Balanced Growth,FIXED INCOME (PRIVATE DEBT),0,PEPPER FINANCE PTY LIMITED,-,,,,,,,,-,,
12/31/2024,aware,Balanced Growth,FIXED INCOME (PRIVATE DEBT),0,PIRANHA BIDCO PTY LTD,-,,,,,,,,-,,
12/31/2024,aware,Balanced Growth,FIXED INCOME (PRIVATE DEBT),0,PLENTI FINANCE PTY LTD,-,,,,,,,,-,,
12/31/2024,aware,Balanced Growth,FIXED INCOME (PRIVATE DEBT),0,RECYCLE AND RESOURCE OPERATIONS PTY LTD,-,,,,,,,,-,,
