Effective Date,Fund Name,Option Name,Asset Class Name,Int/Ext,Name/Kind of Investment Item,Currency,Stock ID,ID Type,Listed Country,Sector,Industry,Units Held,% Ownership,Address,Value (AUD),Weighting
Dec 31 2024,UniSuper,Balanced,Cash,1,AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED,AUD,,,,,,,,,9288.0,0.0
Dec 31 2024,UniSuper,Balanced,Cash,1,BNP PARIBAS SA (AUSTRALIA),AUD,,,,,,,,,4663490322.0,0.0883
Dec 31 2024,UniSuper,Balanced,Cash,1,BNP PARIBAS SA (AUSTRALIA),BRL,,,,,,,,,64450.0,0.0
Dec 31 2024,UniSuper,Balanced,Cash,1,BNP PARIBAS SA (AUSTRALIA),CAD,,,,,,,,,7564296.0,0.0001
Dec 31 2024,UniSuper,Balanced,Cash,1,BNP PARIBAS SA (AUSTRALIA),CHF,,,,,,,,,324696.0,0.0
Dec 31 2024,UniSuper,Balanced,Cash,1,BNP PARIBAS SA (AUSTRALIA),CLP,,,,,,,,,417.0,0.0
Dec 31 2024,UniSuper,Balanced,Cash,1,BNP PARIBAS SA (AUSTRALIA),CNY,,,,,,,,,1088.0,0.0
Dec 31 2024,UniSuper,Balanced,Cash,1,BNP PARIBAS SA (AUSTRALIA),DKK,,,,,,,,,1503851.0,0.0
Dec 31 2024,UniSuper,Balanced,Cash,1,BNP PARIBAS SA (AUSTRALIA),EUR,,,,,,,,,4091457.0,0.0001
Dec 31 2024,UniSuper,Balanced,Cash,1,BNP PARIBAS SA (AUSTRALIA),GBP,,,,,,,,,7616463.0,0.0001
Dec 31 2024,UniSuper,Balanced,Cash,1,BNP PARIBAS SA (AUSTRALIA),HKD,,,,,,,,,1259592.0,0.0
Dec 31 2024,UniSuper,Balanced,Cash,1,BNP PARIBAS SA (AUSTRALIA),HUF,,,,,,,,,23276.0,0.0
Dec 31 2024,UniSuper,Balanced,Cash,1,BNP PARIBAS SA (AUSTRALIA),ILS,,,,,,,,,62046.0,0.0
Dec 31 2024,UniSuper,Balanced,Cash,1,BNP PARIBAS SA (AUSTRALIA),INR,,,,,,,,,768084.0,0.0
Dec 31 2024,UniSuper,Balanced,Cash,1,BNP PARIBAS SA (AUSTRALIA),JPY,,,,,,,,,8248811.0,0.0002
Dec 31 2024,UniSuper,Balanced,Cash,1,BNP PARIBAS SA (AUSTRALIA),KRW,,,,,,,,,1062.0,0.0
Dec 31 2024,UniSuper,Balanced,Cash,1,BNP PARIBAS SA (AUSTRALIA),MXN,,,,,,,,,165.0,0.0
Dec 31 2024,UniSuper,Balanced,Cash,1,BNP PARIBAS SA (AUSTRALIA),NOK,,,,,,,,,346366.0,0.0
Dec 31 2024,UniSuper,Balanced,Cash,1,BNP PARIBAS SA (AUSTRALIA),NZD,,,,,,,,,321492.0,0.0
Dec 31 2024,UniSuper,Balanced,Cash,1,BNP PARIBAS SA (AUSTRALIA),PHP,,,,,,,,,30408.0,0.0
Dec 31 2024,UniSuper,Balanced,Cash,1,BNP PARIBAS SA (AUSTRALIA),PLN,,,,,,,,,1741.0,0.0
Dec 31 2024,UniSuper,Balanced,Cash,1,BNP PARIBAS SA (AUSTRALIA),SEK,,,,,,,,,107743.0,0.0
Dec 31 2024,UniSuper,Balanced,Cash,1,BNP PARIBAS SA (AUSTRALIA),SGD,,,,,,,,,551769.0,0.0
Dec 31 2024,UniSuper,Balanced,Cash,1,BNP PARIBAS SA (AUSTRALIA),THB,,,,,,,,,470.0,0.0
Dec 31 2024,UniSuper,Balanced,Cash,1,BNP PARIBAS SA (AUSTRALIA),TRY,,,,,,,,,305.0,0.0
Dec 31 2024,UniSuper,Balanced,Cash,1,BNP PARIBAS SA (AUSTRALIA),TWD,,,,,,,,,407336.0,0.0
