Effective Date,Fund Name,Option Name,Asset Class Name,Int/Ext,Name/Kind of Investment Item,Currency,Stock ID,ID Type,Listed Country,Units Held,% Ownership,Address,Value (AUD),Weighting
31 December 2024,ArtSuper,Lifecycle_Balanced_Pool_Superannuation,Cash,1,JPMORGAN CHASE & CO,AUD,,N/A,,,,,768690670.0,0.0318
31 December 2024,ArtSuper,Lifecycle_Balanced_Pool_Superannuation,Cash,1,MACQUARIE GROUP LTD.,USD,,N/A,,,,,102509351.0,0.0042
31 December 2024,ArtSuper,Lifecycle_Balanced_Pool_Superannuation,Cash,1,STATE STREET BANK AND TRUST,USD,,N/A,,,,,99918059.0,0.0040999999999999
31 December 2024,ArtSuper,Lifecycle_Balanced_Pool_Superannuation,Cash,1,MACQUARIE GROUP LTD.,AUD,,N/A,,,,,94489865.0,0.0039
31 December 2024,ArtSuper,Lifecycle_Balanced_Pool_Superannuation,Cash,1,STATE STREET BANK AND TRUST,AUD,,N/A,,,,,75059150.0,0.0031
31 December 2024,ArtSuper,Lifecycle_Balanced_Pool_Superannuation,Cash,1,MACQUARIE GROUP LTD.,EUR,,N/A,,,,,56438271.0,0.0023
31 December 2024,ArtSuper,Lifecycle_Balanced_Pool_Superannuation,Cash,1,MACQUARIE GROUP LTD.,JPY,,N/A,,,,,29689308.0,0.0012
31 December 2024,ArtSuper,Lifecycle_Balanced_Pool_Superannuation,Cash,1,NBN CO. LTD.,AUD,,N/A,,,,,25937766.0,0.0011
31 December 2024,ArtSuper,Lifecycle_Balanced_Pool_Superannuation,Cash,1,COMMONWEALTH BANK OF AUSTRALIA,AUD,,N/A,,,,,20180086.0,0.0008
31 December 2024,ArtSuper,Lifecycle_Balanced_Pool_Superannuation,Cash,1,MACQUARIE GROUP LTD.,GBP,,N/A,,,,,16810955.0,0.0007
31 December 2024,ArtSuper,Lifecycle_Balanced_Pool_Superannuation,Cash,1,NATIONAL AUSTRALIA BANK LIMITED,AUD,,N/A,,,,,15603077.0,0.0006
31 December 2024,ArtSuper,Lifecycle_Balanced_Pool_Superannuation,Cash,1,SCENTRE GROUP LTD,AUD,,N/A,,,,,10432756.0,0.0004
31 December 2024,ArtSuper,Lifecycle_Balanced_Pool_Superannuation,Cash,1,BENDIGO & ADELAIDE BANK LTD.,AUD,,N/A,,,,,8231046.0,0.0003
31 December 2024,ArtSuper,Lifecycle_Balanced_Pool_Superannuation,Cash,1,PACCAR FINANCIAL PTY LTD,AUD,,N/A,,,,,7245271.0,0.0003
31 December 2024,ArtSuper,Lifecycle_Balanced_Pool_Superannuation,Cash,1,STATE STREET BANK AND TRUST,EUR,,N/A,,,,,7068896.0,0.0003
31 December 2024,ArtSuper,Lifecycle_Balanced_Pool_Superannuation,Cash,1,GPT RE LTD,AUD,,N/A,,,,,5363397.0,0.0002
31 December 2024,ArtSuper,Lifecycle_Balanced_Pool_Superannuation,Cash,1,MACQUARIE GROUP LTD.,KRW,,N/A,,,,,3559054.0,0.0001
31 December 2024,ArtSuper,Lifecycle_Balanced_Pool_Superannuation,Cash,1,MACQUARIE GROUP LTD.,CAD,,N/A,,,,,3463834.0,0.0001
31 December 2024,ArtSuper,Lifecycle_Balanced_Pool_Superannuation,Cash,1,JPMORGAN CHASE & CO,USD,,N/A,,,,,2802317.0,0.0001
31 December 2024,ArtSuper,Lifecycle_Balanced_Pool_Superannuation,Cash,1,STATE STREET BANK AND TRUST,GBP,,N/A,,,,,2593728.0,0.0001
31 December 2024,ArtSuper,Lifecycle_Balanced_Pool_Superannuation,Cash,1,"GOLDMAN SACHS GROUP, INC.",USD,,N/A,,,,,2577363.0,0.0001
31 December 2024,ArtSuper,Lifecycle_Balanced_Pool_Superannuation,Cash,1,STATE STREET BANK AND TRUST,JPY,,N/A,,,,,2550870.0,0.0001
31 December 2024,ArtSuper,Lifecycle_Balanced_Pool_Superannuation,Cash,1,MORGAN STANLEY,EUR,,N/A,,,,,1570621.0,0.0001
31 December 2024,ArtSuper,Lifecycle_Balanced_Pool_Superannuation,Cash,1,"GOLDMAN SACHS GROUP, INC.",KRW,,N/A,,,,,1061295.0,0.0
31 December 2024,ArtSuper,Lifecycle_Balanced_Pool_Superannuation,Cash,1,STATE STREET BANK AND TRUST,CAD,,N/A,,,,,966668.0,0.0
31 December 2024,ArtSuper,Lifecycle_Balanced_Pool_Superannuation,Cash,1,STATE STREET BANK AND TRUST,IDR,,N/A,,,,,894131.0,0.0
31 December 2024,ArtSuper,Lifecycle_Balanced_Pool_Superannuation,Cash,1,MIZUHO BANK LTD.,USD,,N/A,,,,,594772.0,0.0
31 December 2024,ArtSuper,Lifecycle_Balanced_Pool_Superannuation,Cash,1,STATE STREET BANK AND TRUST,COP,,N/A,,,,,590572.0,0.0
31 December 2024,ArtSuper,Lifecycle_Balanced_Pool_Superannuation,Cash,1,STATE STREET BANK AND TRUST,HKD,,N/A,,,,,576313.0,0.0
31 December 2024,ArtSuper,Lifecycle_Balanced_Pool_Superannuation,Cash,1,STATE STREET BANK AND TRUST,CNY,,N/A,,,,,566189.0,0.0
31 December 2024,ArtSuper,Lifecycle_Balanced_Pool_Superannuation,Cash,1,STATE STREET BANK AND TRUST,BRL,,N/A,,,,,485759.0,0.0
31 December 2024,ArtSuper,Lifecycle_Balanced_Pool_Superannuation,Cash,1,STATE STREET BANK AND TRUST,MXN,,N/A,,,,,465810.0,0.0
31 December 2024,ArtSuper,Lifecycle_Balanced_Pool_Superannuation,Cash,1,STATE STREET BANK AND TRUST,PLN,,N/A,,,,,465000.0,0.0
