Effective Date,Fund Name,Option Name,Asset Class Name,Int/Ext,Name/Kind of Investment Item,Currency,Stock ID,ID Type,Listed Country,Units Held,% Ownership,Address,Value (AUD),Weighting
2024-12-31,aware,Balanced Growth,CASH,1,COMMONWEALTH BANK OF AUSTRALIA,AUD,,N/A,,,,-,273243198.0,0.0112
2024-12-31,aware,Balanced Growth,CASH,1,NATIONAL AUSTRALIA BANK LIMITED,AUD,,N/A,,,,-,154727273.0,0.0063
2024-12-31,aware,Balanced Growth,CASH,1,STATE STREET BANK AND TRUST,USD,,N/A,,,,-,30031189.0,0.0012
2024-12-31,aware,Balanced Growth,CASH,1,MORGAN STANLEY,AUD,,N/A,,,,-,24810420.0,0.001
2024-12-31,aware,Balanced Growth,CASH,1,MORGAN STANLEY,USD,,N/A,,,,-,18920051.0,0.0008
2024-12-31,aware,Balanced Growth,CASH,1,MUFG BANK LTD.,USD,,N/A,,,,-,15926638.0,0.0007
2024-12-31,aware,Balanced Growth,CASH,1,STATE STREET BANK AND TRUST,EUR,,N/A,,,,-,8469823.0,0.0003
2024-12-31,aware,Balanced Growth,CASH,1,STATE STREET BANK AND TRUST,AUD,,N/A,,,,-,7994148.0,0.0003
2024-12-31,aware,Balanced Growth,CASH,1,SUMITOMO MITSUI BANKING CORP.,USD,,N/A,,,,-,6241321.0,0.0003
2024-12-31,aware,Balanced Growth,CASH,1,STATE STREET BANK AND TRUST,GBP,,N/A,,,,-,5381593.0,0.0002
2024-12-31,aware,Balanced Growth,CASH,1,MORGAN STANLEY & CO. INTERNATIONAL PLC,AUD,,N/A,,,,-,5287390.0,0.0002
2024-12-31,aware,Balanced Growth,CASH,1,MORGAN STANLEY & CO. INTERNATIONAL PLC,GBP,,N/A,,,,-,5231645.0,0.0002
2024-12-31,aware,Balanced Growth,CASH,1,AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED,AUD,,N/A,,,,-,5055926.0,0.0002
2024-12-31,aware,Balanced Growth,CASH,1,MORGAN STANLEY,EUR,,N/A,,,,-,4350469.0,0.0002
2024-12-31,aware,Balanced Growth,CASH,1,MORGAN STANLEY,KRW,,N/A,,,,-,2474489.0,0.0001
2024-12-31,aware,Balanced Growth,CASH,1,STATE STREET BANK AND TRUST,JPY,,N/A,,,,-,2372489.0,0.0001
2024-12-31,aware,Balanced Growth,CASH,1,MORGAN STANLEY,JPY,,N/A,,,,-,2050576.0,0.0001
2024-12-31,aware,Balanced Growth,CASH,1,MORGAN STANLEY & CO. INTERNATIONAL PLC,USD,,N/A,,,,-,1515676.0,0.0001
2024-12-31,aware,Balanced Growth,CASH,1,JPMORGAN CHASE & CO,USD,,N/A,,,,-,1475015.0,0.0001
2024-12-31,aware,Balanced Growth,CASH,1,STATE STREET BANK AND TRUST,CAD,,N/A,,,,-,1194703.0,0.0
2024-12-31,aware,Balanced Growth,CASH,1,UBS AG,AUD,,N/A,,,,-,1148083.0,0.0
2024-12-31,aware,Balanced Growth,CASH,1,MORGAN STANLEY & CO. INTERNATIONAL PLC,JPY,,N/A,,,,-,1094291.0,0.0
2024-12-31,aware,Balanced Growth,CASH,1,STATE STREET BANK AND TRUST,CNY,,N/A,,,,-,1036214.0,0.0
2024-12-31,aware,Balanced Growth,CASH,1,BNP PARIBAS,USD,,N/A,,,,-,1019237.0,0.0
2024-12-31,aware,Balanced Growth,CASH,1,BARCLAYS BANK PLC,USD,,N/A,,,,-,935222.0,0.0
2024-12-31,aware,Balanced Growth,CASH,1,MORGAN STANLEY,GBP,,N/A,,,,-,878169.0,0.0
2024-12-31,aware,Balanced Growth,CASH,1,JPMORGAN CHASE & CO,AUD,,N/A,,,,-,833899.0,0.0
2024-12-31,aware,Balanced Growth,CASH,1,STATE STREET BANK AND TRUST,NZD,,N/A,,,,-,738467.0,0.0
2024-12-31,aware,Balanced Growth,CASH,1,STATE STREET BANK AND TRUST,ILS,,N/A,,,,-,665351.0,0.0
2024-12-31,aware,Balanced Growth,CASH,1,STATE STREET BANK AND TRUST,SGD,,N/A,,,,-,623809.0,0.0
2024-12-31,aware,Balanced Growth,CASH,1,STATE STREET BANK AND TRUST,INR,,N/A,,,,-,586669.0,0.0
2024-12-31,aware,Balanced Growth,CASH,1,STATE STREET BANK AND TRUST,HKD,,N/A,,,,-,542673.0,0.0
2024-12-31,aware,Balanced Growth,CASH,1,J.P. MORGAN SECURITIES LLC,USD,,N/A,,,,-,511166.0,0.0
2024-12-31,aware,Balanced Growth,CASH,1,MORGAN STANLEY,CAD,,N/A,,,,-,462225.0,0.0
2024-12-31,aware,Balanced Growth,CASH,1,STATE STREET BANK AND TRUST,RUB,,N/A,,,,-,376766.0,0.0
2024-12-31,aware,Balanced Growth,CASH,1,UBS AG,USD,,N/A,,,,-,342761.0,0.0
