Effective Date,Fund Name,Option Name,Asset Class Name,Int/Ext,Name/Kind of Investment Item,Currency,Stock ID,ID Type,Listed Country,Units Held,% Ownership,Address,Value (AUD),Weighting
31/12/2024,Care Super,Balanced,Cash,1,Australia and New Zealand Banking Group,AUD,,N/A,,,,,110893396.0,0.0026
31/12/2024,Care Super,Balanced,Cash,1,Bank of America Merrill Lynch,AUD,,N/A,,,,,2160863.0,0.0001
31/12/2024,Care Super,Balanced,Cash,1,Bank of America Merrill Lynch,USD,,N/A,,,,,-860394.0,0.0
31/12/2024,Care Super,Balanced,Cash,1,Bank of New York Mellon,USD,,N/A,,,,,351428.0,0.0
31/12/2024,Care Super,Balanced,Cash,1,The Bank Of Nova Scotia,AUD,,N/A,,,,,140846685.0,0.0033
31/12/2024,Care Super,Balanced,Cash,1,Bank of Queensland,AUD,,N/A,,,,,127249299.0,0.003
31/12/2024,Care Super,Balanced,Cash,1,Barclays Bank,AUD,,N/A,,,,,107590.0,0.0
31/12/2024,Care Super,Balanced,Cash,1,Barclays Bank,CAD,,N/A,,,,,-76536.0,0.0
31/12/2024,Care Super,Balanced,Cash,1,Barclays Bank,EUR,,N/A,,,,,-662516.0,0.0
31/12/2024,Care Super,Balanced,Cash,1,Barclays Bank,GBP,,N/A,,,,,847820.0,0.0
31/12/2024,Care Super,Balanced,Cash,1,Barclays Bank,ILS,,N/A,,,,,47.0,0.0
31/12/2024,Care Super,Balanced,Cash,1,Barclays Bank,JPY,,N/A,,,,,-319087.0,0.0
31/12/2024,Care Super,Balanced,Cash,1,Barclays Bank,NZD,,N/A,,,,,-10377.0,0.0
31/12/2024,Care Super,Balanced,Cash,1,Barclays Bank,SEK,,N/A,,,,,17608.0,0.0
31/12/2024,Care Super,Balanced,Cash,1,Barclays Bank,SGD,,N/A,,,,,23101.0,0.0
31/12/2024,Care Super,Balanced,Cash,1,Barclays Bank,THB,,N/A,,,,,1341.0,0.0
31/12/2024,Care Super,Balanced,Cash,1,Barclays Bank,USD,,N/A,,,,,6815139.0,0.0002
31/12/2024,Care Super,Balanced,Cash,1,Bendigo and Adelaide Bank,AUD,,N/A,,,,,109399820.0,0.0026
31/12/2024,Care Super,Balanced,Cash,1,BNP Paribas,USD,,N/A,,,,,5127220.0,0.0001
31/12/2024,Care Super,Balanced,Cash,1,Canadian Imperial Bank of Commerce,AUD,,N/A,,,,,179177870.0,0.0042
31/12/2024,Care Super,Balanced,Cash,1,Challenger,AUD,,N/A,,,,,46095867.0,0.0011
31/12/2024,Care Super,Balanced,Cash,1,Citigroup,AUD,,N/A,,,,,35277182.0,0.0008
31/12/2024,Care Super,Balanced,Cash,1,Citigroup,CAD,,N/A,,,,,-8079.0,0.0
31/12/2024,Care Super,Balanced,Cash,1,Citigroup,EUR,,N/A,,,,,-255336.0,0.0
31/12/2024,Care Super,Balanced,Cash,1,Citigroup,GBP,,N/A,,,,,136499.0,0.0
31/12/2024,Care Super,Balanced,Cash,1,Citigroup,JPY,,N/A,,,,,44753.0,0.0
31/12/2024,Care Super,Balanced,Cash,1,Citigroup,USD,,N/A,,,,,5453846.0,0.0001
31/12/2024,Care Super,Balanced,Cash,1,Commonwealth Bank Of Australia,AUD,,N/A,,,,,286532906.0,0.0068
31/12/2024,Care Super,Balanced,Cash,1,Credit Agricole,AUD,,N/A,,,,,179606716.0,0.0042
31/12/2024,Care Super,Balanced,Cash,1,Credit Union Australia,AUD,,N/A,,,,,30690135.0,0.0007
31/12/2024,Care Super,Balanced,Cash,1,Cuscal,AUD,,N/A,,,,,3701202.0,0.0001
31/12/2024,Care Super,Balanced,Cash,1,DBS Bank Ltd,AUD,,N/A,,,,,177978745.0,0.0042
31/12/2024,Care Super,Balanced,Cash,1,Deutsche Bank,USD,,N/A,,,,,1381477.0,0.0
31/12/2024,Care Super,Balanced,Cash,1,Goldman Sachs,AUD,,N/A,,,,,1095438.0,0.0
31/12/2024,Care Super,Balanced,Cash,1,Goldman Sachs,USD,,N/A,,,,,-10227299.0,-0.0002
31/12/2024,Care Super,Balanced,Cash,1,HSBC Bank,CHF,,N/A,,,,,4772.0,0.0
31/12/2024,Care Super,Balanced,Cash,1,HSBC Bank,EUR,,N/A,,,,,184889.0,0.0
31/12/2024,Care Super,Balanced,Cash,1,HSBC Bank,GBP,,N/A,,,,,42778.0,0.0
31/12/2024,Care Super,Balanced,Cash,1,HSBC Bank,JPY,,N/A,,,,,48500.0,0.0
31/12/2024,Care Super,Balanced,Cash,1,HSBC Bank,USD,,N/A,,,,,1685769.0,0.0
31/12/2024,Care Super,Balanced,Cash,1,ING Bank (Australia),AUD,,N/A,,,,,171379074.0,0.004
31/12/2024,Care Super,Balanced,Cash,1,JP Morgan Chase & Co,AED,,N/A,,,,,706.0,0.0
31/12/2024,Care Super,Balanced,Cash,1,JP Morgan Chase & Co,AUD,,N/A,,,,,532686006.0,0.0126
31/12/2024,Care Super,Balanced,Cash,1,JP Morgan Chase & Co,BRL,,N/A,,,,,225189.0,0.0
31/12/2024,Care Super,Balanced,Cash,1,JP Morgan Chase & Co,CAD,,N/A,,,,,1333927.0,0.0
31/12/2024,Care Super,Balanced,Cash,1,JP Morgan Chase & Co,CHF,,N/A,,,,,401752.0,0.0
31/12/2024,Care Super,Balanced,Cash,1,JP Morgan Chase & Co,CNH,,N/A,,,,,-131396730.0,-0.0031
31/12/2024,Care Super,Balanced,Cash,1,JP Morgan Chase & Co,CNY,,N/A,,,,,132330249.0,0.0031
31/12/2024,Care Super,Balanced,Cash,1,JP Morgan Chase & Co,COP,,N/A,,,,,-4.0,0.0
31/12/2024,Care Super,Balanced,Cash,1,JP Morgan Chase & Co,CZK,,N/A,,,,,1459488.0,0.0
31/12/2024,Care Super,Balanced,Cash,1,JP Morgan Chase & Co,DKK,,N/A,,,,,98042.0,0.0
31/12/2024,Care Super,Balanced,Cash,1,JP Morgan Chase & Co,EUR,,N/A,,,,,6140744.0,0.0001
31/12/2024,Care Super,Balanced,Cash,1,JP Morgan Chase & Co,GBP,,N/A,,,,,2454679.0,0.0001
31/12/2024,Care Super,Balanced,Cash,1,JP Morgan Chase & Co,HKD,,N/A,,,,,1592797.0,0.0
31/12/2024,Care Super,Balanced,Cash,1,JP Morgan Chase & Co,HUF,,N/A,,,,,61022.0,0.0
31/12/2024,Care Super,Balanced,Cash,1,JP Morgan Chase & Co,IDR,,N/A,,,,,10470.0,0.0
31/12/2024,Care Super,Balanced,Cash,1,JP Morgan Chase & Co,ILS,,N/A,,,,,333138.0,0.0
31/12/2024,Care Super,Balanced,Cash,1,JP Morgan Chase & Co,INR,,N/A,,,,,233925.0,0.0
31/12/2024,Care Super,Balanced,Cash,1,JP Morgan Chase & Co,JPY,,N/A,,,,,3926297.0,0.0001
31/12/2024,Care Super,Balanced,Cash,1,JP Morgan Chase & Co,KRW,,N/A,,,,,12130.0,0.0
31/12/2024,Care Super,Balanced,Cash,1,JP Morgan Chase & Co,MXN,,N/A,,,,,304722.0,0.0
31/12/2024,Care Super,Balanced,Cash,1,JP Morgan Chase & Co,NOK,,N/A,,,,,22800.0,0.0
31/12/2024,Care Super,Balanced,Cash,1,JP Morgan Chase & Co,NZD,,N/A,,,,,165070.0,0.0
31/12/2024,Care Super,Balanced,Cash,1,JP Morgan Chase & Co,PHP,,N/A,,,,,1218.0,0.0
31/12/2024,Care Super,Balanced,Cash,1,JP Morgan Chase & Co,PLN,,N/A,,,,,132982.0,0.0
31/12/2024,Care Super,Balanced,Cash,1,JP Morgan Chase & Co,RON,,N/A,,,,,5570.0,0.0
31/12/2024,Care Super,Balanced,Cash,1,JP Morgan Chase & Co,RUB,,N/A,,,,,93726.0,0.0
31/12/2024,Care Super,Balanced,Cash,1,JP Morgan Chase & Co,SAR,,N/A,,,,,82627.0,0.0
31/12/2024,Care Super,Balanced,Cash,1,JP Morgan Chase & Co,SEK,,N/A,,,,,106521.0,0.0
31/12/2024,Care Super,Balanced,Cash,1,JP Morgan Chase & Co,SGD,,N/A,,,,,2733053.0,0.0001
31/12/2024,Care Super,Balanced,Cash,1,JP Morgan Chase & Co,THB,,N/A,,,,,862.0,0.0
31/12/2024,Care Super,Balanced,Cash,1,JP Morgan Chase & Co,TRY,,N/A,,,,,15144.0,0.0
31/12/2024,Care Super,Balanced,Cash,1,JP Morgan Chase & Co,TWD,,N/A,,,,,216525.0,0.0
31/12/2024,Care Super,Balanced,Cash,1,JP Morgan Chase & Co,USD,,N/A,,,,,293896978.0,0.0069
31/12/2024,Care Super,Balanced,Cash,1,JP Morgan Chase & Co,ZAR,,N/A,,,,,256731.0,0.0
31/12/2024,Care Super,Balanced,Cash,1,Macquarie Bank,AUD,,N/A,,,,,38983009.0,0.0009
31/12/2024,Care Super,Balanced,Cash,1,Macquarie Bank,CHF,,N/A,,,,,-352808.0,0.0
31/12/2024,Care Super,Balanced,Cash,1,Macquarie Bank,EUR,,N/A,,,,,1356796.0,0.0
31/12/2024,Care Super,Balanced,Cash,1,Macquarie Bank,GBP,,N/A,,,,,-95725.0,0.0
31/12/2024,Care Super,Balanced,Cash,1,Macquarie Bank,JPY,,N/A,,,,,-502274.0,0.0
31/12/2024,Care Super,Balanced,Cash,1,Macquarie Bank,USD,,N/A,,,,,8957298.0,0.0002
31/12/2024,Care Super,Balanced,Cash,1,Members Equity Bank,AUD,,N/A,,,,,15352942.0,0.0004
31/12/2024,Care Super,Balanced,Cash,1,MSCI Inc,AUD,,N/A,,,,,58.0,0.0
31/12/2024,Care Super,Balanced,Cash,1,MSCI Inc,CAD,,N/A,,,,,-194605.0,0.0
31/12/2024,Care Super,Balanced,Cash,1,MSCI Inc,EUR,,N/A,,,,,546406.0,0.0
31/12/2024,Care Super,Balanced,Cash,1,MSCI Inc,GBP,,N/A,,,,,-84088.0,0.0
31/12/2024,Care Super,Balanced,Cash,1,MSCI Inc,JPY,,N/A,,,,,-168.0,0.0
31/12/2024,Care Super,Balanced,Cash,1,MSCI Inc,USD,,N/A,,,,,5032742.0,0.0001
31/12/2024,Care Super,Balanced,Cash,1,MUFG Bank Ltd,AUD,,N/A,,,,,179834754.0,0.0042
