Effective Date,Fund Name,Option Name,Asset Class Name,Int/Ext,Name/Kind of Investment Item,Currency,Stock ID,ID Type,Listed Country,Units Held,% Ownership,Address,Value (AUD),Weighting
2024-12-31,Hostplus Superannuation Fund,HC Balanced - Class A Option,Cash,1,ANZ Group Holdings Ltd,AUD,,N/A,,,,,385468004.0,0.0046999999999999
2024-12-31,Hostplus Superannuation Fund,HC Balanced - Class A Option,Cash,1,Bank of America,USD,,N/A,,,,,68476.0,0.0
2024-12-31,Hostplus Superannuation Fund,HC Balanced - Class A Option,Cash,1,Bank of Queensland,AUD,,N/A,,,,,75237667.0,0.0009
2024-12-31,Hostplus Superannuation Fund,HC Balanced - Class A Option,Cash,1,Barclays Bank,USD,,N/A,,,,,639893.0,0.0
2024-12-31,Hostplus Superannuation Fund,HC Balanced - Class A Option,Cash,1,BNP Paribas,AUD,,N/A,,,,,78669.0,0.0
2024-12-31,Hostplus Superannuation Fund,HC Balanced - Class A Option,Cash,1,BNP Paribas,USD,,N/A,,,,,-4922222.0,-0.0001
2024-12-31,Hostplus Superannuation Fund,HC Balanced - Class A Option,Cash,1,BNSC,AUD,,N/A,,,,,62138414.0,0.0008
2024-12-31,Hostplus Superannuation Fund,HC Balanced - Class A Option,Cash,1,Citigroup Inc,AUD,,N/A,,,,,983096649.0,0.012
2024-12-31,Hostplus Superannuation Fund,HC Balanced - Class A Option,Cash,1,Citigroup Inc,BRL,,N/A,,,,,1858172.0,0.0
2024-12-31,Hostplus Superannuation Fund,HC Balanced - Class A Option,Cash,1,Citigroup Inc,CAD,,N/A,,,,,22032049.0,0.0003
2024-12-31,Hostplus Superannuation Fund,HC Balanced - Class A Option,Cash,1,Citigroup Inc,CHF,,N/A,,,,,21706507.0,0.0003
2024-12-31,Hostplus Superannuation Fund,HC Balanced - Class A Option,Cash,1,Citigroup Inc,CNH,,N/A,,,,,3886278.0,0.0
2024-12-31,Hostplus Superannuation Fund,HC Balanced - Class A Option,Cash,1,Citigroup Inc,CZK,,N/A,,,,,0.0,0.0
2024-12-31,Hostplus Superannuation Fund,HC Balanced - Class A Option,Cash,1,Citigroup Inc,DKK,,N/A,,,,,1631517.0,0.0
2024-12-31,Hostplus Superannuation Fund,HC Balanced - Class A Option,Cash,1,Citigroup Inc,EUR,,N/A,,,,,118569077.0,0.0015
2024-12-31,Hostplus Superannuation Fund,HC Balanced - Class A Option,Cash,1,Citigroup Inc,GBP,,N/A,,,,,47380724.0,0.0006
2024-12-31,Hostplus Superannuation Fund,HC Balanced - Class A Option,Cash,1,Citigroup Inc,HKD,,N/A,,,,,3634244.0,0.0
2024-12-31,Hostplus Superannuation Fund,HC Balanced - Class A Option,Cash,1,Citigroup Inc,HUF,,N/A,,,,,1.0,0.0
2024-12-31,Hostplus Superannuation Fund,HC Balanced - Class A Option,Cash,1,Citigroup Inc,IDR,,N/A,,,,,827086.0,0.0
2024-12-31,Hostplus Superannuation Fund,HC Balanced - Class A Option,Cash,1,Citigroup Inc,ILS,,N/A,,,,,8504.0,0.0
2024-12-31,Hostplus Superannuation Fund,HC Balanced - Class A Option,Cash,1,Citigroup Inc,INR,,N/A,,,,,229162.0,0.0
2024-12-31,Hostplus Superannuation Fund,HC Balanced - Class A Option,Cash,1,Citigroup Inc,JPY,,N/A,,,,,39527929.0,0.0005
2024-12-31,Hostplus Superannuation Fund,HC Balanced - Class A Option,Cash,1,Citigroup Inc,KRW,,N/A,,,,,45553.0,0.0
2024-12-31,Hostplus Superannuation Fund,HC Balanced - Class A Option,Cash,1,Citigroup Inc,MXN,,N/A,,,,,66212.0,0.0
2024-12-31,Hostplus Superannuation Fund,HC Balanced - Class A Option,Cash,1,Citigroup Inc,MYR,,N/A,,,,,3.0,0.0
2024-12-31,Hostplus Superannuation Fund,HC Balanced - Class A Option,Cash,1,Citigroup Inc,NOK,,N/A,,,,,18815.0,0.0
2024-12-31,Hostplus Superannuation Fund,HC Balanced - Class A Option,Cash,1,Citigroup Inc,NZD,,N/A,,,,,219582.0,0.0
2024-12-31,Hostplus Superannuation Fund,HC Balanced - Class A Option,Cash,1,Citigroup Inc,PHP,,N/A,,,,,2.0,0.0
2024-12-31,Hostplus Superannuation Fund,HC Balanced - Class A Option,Cash,1,Citigroup Inc,PLN,,N/A,,,,,13348.0,0.0
2024-12-31,Hostplus Superannuation Fund,HC Balanced - Class A Option,Cash,1,Citigroup Inc,SEK,,N/A,,,,,202765.0,0.0
2024-12-31,Hostplus Superannuation Fund,HC Balanced - Class A Option,Cash,1,Citigroup Inc,SGD,,N/A,,,,,2333800.0,0.0
2024-12-31,Hostplus Superannuation Fund,HC Balanced - Class A Option,Cash,1,Citigroup Inc,TRY,,N/A,,,,,118.0,0.0
2024-12-31,Hostplus Superannuation Fund,HC Balanced - Class A Option,Cash,1,Citigroup Inc,TWD,,N/A,,,,,1200558.0,0.0
2024-12-31,Hostplus Superannuation Fund,HC Balanced - Class A Option,Cash,1,Citigroup Inc,USD,,N/A,,,,,1512849775.0,0.0185
2024-12-31,Hostplus Superannuation Fund,HC Balanced - Class A Option,Cash,1,Citigroup Inc,VND,,N/A,,,,,106157.0,0.0
2024-12-31,Hostplus Superannuation Fund,HC Balanced - Class A Option,Cash,1,Citigroup Inc,ZAR,,N/A,,,,,82666.0,0.0
2024-12-31,Hostplus Superannuation Fund,HC Balanced - Class A Option,Cash,1,Commonwealth Bank,AUD,,N/A,,,,,61656130.0,0.0008
2024-12-31,Hostplus Superannuation Fund,HC Balanced - Class A Option,Cash,1,DBS Bank,AUD,,N/A,,,,,96543495.0,0.0012
2024-12-31,Hostplus Superannuation Fund,HC Balanced - Class A Option,Cash,1,Goldman Sachs & Co,AUD,,N/A,,,,,1540966.0,0.0
2024-12-31,Hostplus Superannuation Fund,HC Balanced - Class A Option,Cash,1,HSBC,AUD,,N/A,,,,,97592.0,0.0
2024-12-31,Hostplus Superannuation Fund,HC Balanced - Class A Option,Cash,1,JP Morgan Chase,EUR,,N/A,,,,,-1.0,0.0
2024-12-31,Hostplus Superannuation Fund,HC Balanced - Class A Option,Cash,1,JP Morgan Chase,USD,,N/A,,,,,3354384.0,0.0
2024-12-31,Hostplus Superannuation Fund,HC Balanced - Class A Option,Cash,1,Macquarie Bank,AUD,,N/A,,,,,17823371.0,0.0002
2024-12-31,Hostplus Superannuation Fund,HC Balanced - Class A Option,Cash,1,Macquarie Bank,CAD,,N/A,,,,,53061.0,0.0
2024-12-31,Hostplus Superannuation Fund,HC Balanced - Class A Option,Cash,1,Macquarie Bank,CHF,,N/A,,,,,-54.0,0.0
2024-12-31,Hostplus Superannuation Fund,HC Balanced - Class A Option,Cash,1,Macquarie Bank,EUR,,N/A,,,,,75461.0,0.0
