Effective Date,Fund Name,Option Name,Asset Class Name,Int/Ext,Name/Kind of Investment Item,Currency,Stock ID,ID Type,Listed Country,Units Held,% Ownership,Address,Value (AUD),Weighting
2024-12-31,NGS,Balanced Growth,CASH,1,MACQUARIE GROUP LTD.,AUD,,N/A,,,,-,105326287.0,0.0101
2024-12-31,NGS,Balanced Growth,CASH,1,STATE STREET BANK AND TRUST,AUD,,N/A,,,,-,45796134.0,0.0044
2024-12-31,NGS,Balanced Growth,CASH,1,STATE STREET BANK AND TRUST,USD,,N/A,,,,-,44732444.0,0.0043
2024-12-31,NGS,Balanced Growth,CASH,1,UBS AG,USD,,N/A,,,,-,38266542.0,0.0037
2024-12-31,NGS,Balanced Growth,CASH,1,STATE STREET BANK AND TRUST,EUR,,N/A,,,,-,13682413.0,0.0013
2024-12-31,NGS,Balanced Growth,CASH,1,BARCLAYS BANK PLC,USD,,N/A,,,,-,7020216.0,0.0007
2024-12-31,NGS,Balanced Growth,CASH,1,UBS AG,AUD,,N/A,,,,-,6152880.0,0.0006
2024-12-31,NGS,Balanced Growth,CASH,1,THE BANK OF NEW YORK MELLON,AUD,,N/A,,,,-,5827238.0,0.0006
2024-12-31,NGS,Balanced Growth,CASH,1,STATE STREET BANK AND TRUST,GBP,,N/A,,,,-,1772395.0,0.0002
2024-12-31,NGS,Balanced Growth,CASH,1,AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED,USD,,N/A,,,,-,1037977.0,0.0001
2024-12-31,NGS,Balanced Growth,CASH,1,STATE STREET BANK AND TRUST,RUB,,N/A,,,,-,793015.0,0.0001
2024-12-31,NGS,Balanced Growth,CASH,1,STATE STREET BANK AND TRUST,CAD,,N/A,,,,-,776292.0,0.0001
2024-12-31,NGS,Balanced Growth,CASH,1,"CITIGROUP, INC.",USD,,N/A,,,,-,745393.0,0.0001
2024-12-31,NGS,Balanced Growth,CASH,1,STATE STREET BANK AND TRUST,HKD,,N/A,,,,-,685915.0,0.0001
2024-12-31,NGS,Balanced Growth,CASH,1,STATE STREET BANK AND TRUST,JPY,,N/A,,,,-,574430.0,0.0001
2024-12-31,NGS,Balanced Growth,CASH,1,STATE STREET BANK AND TRUST,TWD,,N/A,,,,-,573364.0,0.0001
2024-12-31,NGS,Balanced Growth,CASH,1,STATE STREET BANK AND TRUST,CNH,,N/A,,,,-,488017.0,0.0
2024-12-31,NGS,Balanced Growth,CASH,1,UBS AG,EUR,,N/A,,,,-,484462.0,0.0
2024-12-31,NGS,Balanced Growth,CASH,1,"GOLDMAN SACHS GROUP, INC.",AUD,,N/A,,,,-,467003.0,0.0
2024-12-31,NGS,Balanced Growth,CASH,1,JPMORGAN CHASE & CO,USD,,N/A,,,,-,445341.0,0.0
2024-12-31,NGS,Balanced Growth,CASH,1,MACQUARIE GROUP LTD.,USD,,N/A,,,,-,440388.0,0.0
2024-12-31,NGS,Balanced Growth,CASH,1,STATE STREET BANK AND TRUST,NOK,,N/A,,,,-,421462.0,0.0
2024-12-31,NGS,Balanced Growth,CASH,1,"CITIGROUP, INC.",AUD,,N/A,,,,-,366164.0,0.0
2024-12-31,NGS,Balanced Growth,CASH,1,STATE STREET BANK AND TRUST,SGD,,N/A,,,,-,283103.0,0.0
2024-12-31,NGS,Balanced Growth,CASH,1,STATE STREET BANK AND TRUST,DKK,,N/A,,,,-,253486.0,0.0
2024-12-31,NGS,Balanced Growth,CASH,1,STATE STREET BANK AND TRUST,SEK,,N/A,,,,-,235632.0,0.0
2024-12-31,NGS,Balanced Growth,CASH,1,JPMORGAN CHASE & CO,AUD,,N/A,,,,-,199039.0,0.0
2024-12-31,NGS,Balanced Growth,CASH,1,STATE STREET BANK AND TRUST,CHF,,N/A,,,,-,188400.0,0.0
2024-12-31,NGS,Balanced Growth,CASH,1,"GOLDMAN SACHS GROUP, INC.",USD,,N/A,,,,-,177152.0,0.0
2024-12-31,NGS,Balanced Growth,CASH,1,JPMORGAN CHASE & CO,GBP,,N/A,,,,-,175580.0,0.0
