Effective Date,Fund Name,Option Name,Asset Class Name,Int/Ext,Name/Kind of Investment Item,Currency,Stock ID,ID Type,Listed Country,Units Held,% Ownership,Address,Value (AUD),Weighting
2024-12-31,rest,Balanced Growth,CASH,1,PACCAR FINANCIAL PTY. LTD.,AUD,,N/A,,,,-,9186196.0,0.0053
2024-12-31,rest,Balanced Growth,CASH,1,NBN CO. LTD.,AUD,,N/A,,,,-,7332234.0,0.0042
2024-12-31,rest,Balanced Growth,CASH,1,OVERSEAS-CHINESE BANKING CORP. LTD.,AUD,,N/A,,,,-,6960862.0,0.004
2024-12-31,rest,Balanced Growth,CASH,1,TOYOTA FINANCE AUSTRALIA LIMITED,AUD,,N/A,,,,-,6750966.0,0.0039
2024-12-31,rest,Balanced Growth,CASH,1,STANDARD CHARTERED PLC,AUD,,N/A,,,,-,5725980.0,0.0033
2024-12-31,rest,Balanced Growth,CASH,1,STATE STREET BANK AND TRUST COMPANY,USD,,N/A,,,,-,4668817.0,0.0027
2024-12-31,rest,Balanced Growth,CASH,1,BANK OF CHINA LTD.,AUD,,N/A,,,,-,4466021.0,0.0026
2024-12-31,rest,Balanced Growth,CASH,1,SUMITOMO MITSUI BANKING CORP.,AUD,,N/A,,,,-,4319570.0,0.0025
2024-12-31,rest,Balanced Growth,CASH,1,MIZUHO BANK LTD.,AUD,,N/A,,,,-,4094774.0,0.0024
2024-12-31,rest,Balanced Growth,CASH,1,UNITED OVERSEAS BANK LTD.,AUD,,N/A,,,,-,4077306.0,0.0024
2024-12-31,rest,Balanced Growth,CASH,1,SCENTRE GROUP LIMITED,AUD,,N/A,,,,-,2464004.0,0.0014
2024-12-31,rest,Balanced Growth,CASH,1,NATIONAL AUSTRALIA BANK LTD.,AUD,,N/A,,,,-,1970762.0,0.0011
2024-12-31,rest,Balanced Growth,CASH,1,STOCKLAND TRUST MANAGEMENT LTD,AUD,,N/A,,,,-,1229257.0,0.0007
2024-12-31,rest,Balanced Growth,CASH,1,STATE STREET BANK AND TRUST COMPANY,EUR,,N/A,,,,-,404333.0,0.0002
2024-12-31,rest,Balanced Growth,CASH,1,BNP PARIBAS,USD,,N/A,,,,-,373040.0,0.0002
2024-12-31,rest,Balanced Growth,CASH,1,"CITIGROUP, INC.",USD,,N/A,,,,-,248008.0,0.0001
2024-12-31,rest,Balanced Growth,CASH,1,BARCLAYS BANK PLC.,USD,,N/A,,,,-,176620.0,0.0001
2024-12-31,rest,Balanced Growth,CASH,1,STATE STREET BANK AND TRUST COMPANY,GBP,,N/A,,,,-,132393.0,0.0001
2024-12-31,rest,Balanced Growth,CASH,1,"DOMINION ENERGY SOUTH CAROLINA, INC.",USD,,N/A,,,,-,131904.0,0.0001
2024-12-31,rest,Balanced Growth,CASH,1,BANK OF NEW YORK MELLON CORP.,USD,,N/A,,,,-,92520.0,0.0001
2024-12-31,rest,Balanced Growth,CASH,1,STATE STREET BANK AND TRUST COMPANY,CAD,,N/A,,,,-,84119.0,0.0
2024-12-31,rest,Balanced Growth,CASH,1,TAMPA ELECTRIC CO,USD,,N/A,,,,-,79106.0,0.0
2024-12-31,rest,Balanced Growth,CASH,1,STATE STREET BANK AND TRUST COMPANY,NZD,,N/A,,,,-,50514.0,0.0
2024-12-31,rest,Balanced Growth,CASH,1,STATE STREET BANK AND TRUST COMPANY,JPY,,N/A,,,,-,47497.0,0.0
