Effective Date,Fund Name,Option Name,Asset Class Name,Int/Ext,Name/Kind of Investment Item,Currency,Stock ID,ID Type,Listed Country,Units Held,% Ownership,Address,Value (AUD),Weighting
Dec 31 2024,UniSuper,Balanced,Cash,1,AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED,AUD,,N/A,,,,,9288.0,0.0
Dec 31 2024,UniSuper,Balanced,Cash,1,BNP PARIBAS SA (AUSTRALIA),AUD,,N/A,,,,,4663490322.0,0.0883
Dec 31 2024,UniSuper,Balanced,Cash,1,BNP PARIBAS SA (AUSTRALIA),BRL,,N/A,,,,,64450.0,0.0
Dec 31 2024,UniSuper,Balanced,Cash,1,BNP PARIBAS SA (AUSTRALIA),CAD,,N/A,,,,,7564296.0,0.0001
Dec 31 2024,UniSuper,Balanced,Cash,1,BNP PARIBAS SA (AUSTRALIA),CHF,,N/A,,,,,324696.0,0.0
Dec 31 2024,UniSuper,Balanced,Cash,1,BNP PARIBAS SA (AUSTRALIA),CLP,,N/A,,,,,417.0,0.0
Dec 31 2024,UniSuper,Balanced,Cash,1,BNP PARIBAS SA (AUSTRALIA),CNY,,N/A,,,,,1088.0,0.0
Dec 31 2024,UniSuper,Balanced,Cash,1,BNP PARIBAS SA (AUSTRALIA),DKK,,N/A,,,,,1503851.0,0.0
Dec 31 2024,UniSuper,Balanced,Cash,1,BNP PARIBAS SA (AUSTRALIA),EUR,,N/A,,,,,4091457.0,0.0001
Dec 31 2024,UniSuper,Balanced,Cash,1,BNP PARIBAS SA (AUSTRALIA),GBP,,N/A,,,,,7616463.0,0.0001
Dec 31 2024,UniSuper,Balanced,Cash,1,BNP PARIBAS SA (AUSTRALIA),HKD,,N/A,,,,,1259592.0,0.0
Dec 31 2024,UniSuper,Balanced,Cash,1,BNP PARIBAS SA (AUSTRALIA),HUF,,N/A,,,,,23276.0,0.0
Dec 31 2024,UniSuper,Balanced,Cash,1,BNP PARIBAS SA (AUSTRALIA),ILS,,N/A,,,,,62046.0,0.0
Dec 31 2024,UniSuper,Balanced,Cash,1,BNP PARIBAS SA (AUSTRALIA),INR,,N/A,,,,,768084.0,0.0
Dec 31 2024,UniSuper,Balanced,Cash,1,BNP PARIBAS SA (AUSTRALIA),JPY,,N/A,,,,,8248811.0,0.0002
Dec 31 2024,UniSuper,Balanced,Cash,1,BNP PARIBAS SA (AUSTRALIA),KRW,,N/A,,,,,1062.0,0.0
Dec 31 2024,UniSuper,Balanced,Cash,1,BNP PARIBAS SA (AUSTRALIA),MXN,,N/A,,,,,165.0,0.0
Dec 31 2024,UniSuper,Balanced,Cash,1,BNP PARIBAS SA (AUSTRALIA),NOK,,N/A,,,,,346366.0,0.0
Dec 31 2024,UniSuper,Balanced,Cash,1,BNP PARIBAS SA (AUSTRALIA),NZD,,N/A,,,,,321492.0,0.0
Dec 31 2024,UniSuper,Balanced,Cash,1,BNP PARIBAS SA (AUSTRALIA),PHP,,N/A,,,,,30408.0,0.0
Dec 31 2024,UniSuper,Balanced,Cash,1,BNP PARIBAS SA (AUSTRALIA),PLN,,N/A,,,,,1741.0,0.0
Dec 31 2024,UniSuper,Balanced,Cash,1,BNP PARIBAS SA (AUSTRALIA),SEK,,N/A,,,,,107743.0,0.0
Dec 31 2024,UniSuper,Balanced,Cash,1,BNP PARIBAS SA (AUSTRALIA),SGD,,N/A,,,,,551769.0,0.0
Dec 31 2024,UniSuper,Balanced,Cash,1,BNP PARIBAS SA (AUSTRALIA),THB,,N/A,,,,,470.0,0.0
Dec 31 2024,UniSuper,Balanced,Cash,1,BNP PARIBAS SA (AUSTRALIA),TRY,,N/A,,,,,305.0,0.0
Dec 31 2024,UniSuper,Balanced,Cash,1,BNP PARIBAS SA (AUSTRALIA),TWD,,N/A,,,,,407336.0,0.0
Dec 31 2024,UniSuper,Balanced,Cash,1,BNP PARIBAS SA (AUSTRALIA),USD,,N/A,,,,,148418833.0,0.0028
Dec 31 2024,UniSuper,Balanced,Cash,1,BNP PARIBAS SA (AUSTRALIA),ZAR,,N/A,,,,,41765.0,0.0
Dec 31 2024,UniSuper,Balanced,Cash,1,COMMONWEALTH BANK OF AUSTRALIA,AUD,,N/A,,,,,2063336149.0,0.0391
Dec 31 2024,UniSuper,Balanced,Cash,1,HSBC,AUD,,N/A,,,,,5899.0,0.0
Dec 31 2024,UniSuper,Balanced,Cash,1,NATIONAL AUSTRALIA BANK LIMITED,AUD,,N/A,,,,,261231074.0,0.0049
Dec 31 2024,UniSuper,Balanced,Cash,1,WESTPAC BANKING CORPORATION,AUD,,N/A,,,,,841407937.0,0.0159
Dec 31 2024,UniSuper,Balanced,Cash,1,Sub Total,,,N/A,,,,,8011238651.0,0.1517
Dec 31 2024,UniSuper,Balanced,Fixed Income,0,ABA TRUST 2023-1,,,N/A,,,,,7750769.0,0.0001
Dec 31 2024,UniSuper,Balanced,Fixed Income,0,AFG 2022-2 TRUST,,,N/A,,,,,209737.0,0.0
Dec 31 2024,UniSuper,Balanced,Fixed Income,0,AFG 2023-1 TRUST,,,N/A,,,,,827835.0,0.0
Dec 31 2024,UniSuper,Balanced,Fixed Income,0,AGI FINANCE PTY LTD,,,N/A,,,,,9046010.0,0.0002
Dec 31 2024,UniSuper,Balanced,Fixed Income,0,AIRSERVICES AUSTRALIA,,,N/A,,,,,15169083.0,0.0003
Dec 31 2024,UniSuper,Balanced,Fixed Income,0,AMP BANK LTD,,,N/A,,,,,1720365.0,0.0
Dec 31 2024,UniSuper,Balanced,Fixed Income,0,AMP LTD,,,N/A,,,,,643626.0,0.0
Dec 31 2024,UniSuper,Balanced,Fixed Income,0,AMPOL LTD,,,N/A,,,,,477058.0,0.0
Dec 31 2024,UniSuper,Balanced,Fixed Income,0,ANZ HOLDINGS (NEW ZEALAND) LTD,,,N/A,,,,,90969189.0,0.0017
Dec 31 2024,UniSuper,Balanced,Fixed Income,0,APOLLO SERIES 2018-1 TRUST,,,N/A,,,,,35311.0,0.0
Dec 31 2024,UniSuper,Balanced,Fixed Income,0,APOLLO SERIES 2023-1 TRUST,,,N/A,,,,,1476951.0,0.0
Dec 31 2024,UniSuper,Balanced,Fixed Income,0,APOLLO SERIES 2024-1 TRUST,,,N/A,,,,,6027399.0,0.0001
Dec 31 2024,UniSuper,Balanced,Fixed Income,0,AQUASURE FINANCE PTY LTD,,,N/A,,,,,64625671.0,0.0012
Dec 31 2024,UniSuper,Balanced,Fixed Income,0,ASX LTD,,,N/A,,,,,1150167.0,0.0
Dec 31 2024,UniSuper,Balanced,Fixed Income,0,AUCKLAND INTERNATIONAL AIRPORT LTD,,,N/A,,,,,89300.0,0.0
Dec 31 2024,UniSuper,Balanced,Fixed Income,0,AUSGRID FINANCE PTY LTD,,,N/A,,,,,4670528.0,0.0001
Dec 31 2024,UniSuper,Balanced,Fixed Income,0,AUSNET SERVICES HOLDINGS PTY LTD,,,N/A,,,,,6279494.0,0.0001
Dec 31 2024,UniSuper,Balanced,Fixed Income,0,AUSTRALIA AND NEW ZEALAND BANKING GROUP LTD,,,N/A,,,,,348673431.0,0.0066
Dec 31 2024,UniSuper,Balanced,Fixed Income,0,AUSTRALIA PACIFIC AIRPORTS (MELBOURNE) PTY LTD,,,N/A,,,,,1388242.0,0.0
Dec 31 2024,UniSuper,Balanced,Fixed Income,0,"AUSTRALIA, COMMONWEALTH OF (GOVERNMENT)",,,N/A,,,,,616655828.0,0.0116999999999999
Dec 31 2024,UniSuper,Balanced,Fixed Income,0,AUSTRALIAN ENERGY MARKET OPERATOR LTD,,,N/A,,,,,3821007.0,0.0001
Dec 31 2024,UniSuper,Balanced,Fixed Income,0,AUSTRALIAN GAS NETWORKS LTD,,,N/A,,,,,3942077.0,0.0001
Dec 31 2024,UniSuper,Balanced,Fixed Income,0,AUSTRALIAN POSTAL CORP,,,N/A,,,,,1559364.0,0.0
Dec 31 2024,UniSuper,Balanced,Fixed Income,0,AUSTRALIAN PRIME PROPERTY FUND COMMERCIAL,,,N/A,,,,,1000487.0,0.0
Dec 31 2024,UniSuper,Balanced,Fixed Income,0,AUSTRALIAN UNITY FUNDS MANAGEMENT LTD,,,N/A,,,,,3452105.0,0.0001
Dec 31 2024,UniSuper,Balanced,Fixed Income,0,"AUSTRALIAN, CAPITAL TERRITORY OF",,,N/A,,,,,61452422.0,0.0012
Dec 31 2024,UniSuper,Balanced,Fixed Income,0,AUSWIDE BANK LTD,,,N/A,,,,,59404.0,0.0
Dec 31 2024,UniSuper,Balanced,Fixed Income,0,BANCO SANTANDER SA,,,N/A,,,,,16314559.0,0.0003
Dec 31 2024,UniSuper,Balanced,Fixed Income,0,BANK AUSTRALIA LTD,,,N/A,,,,,1986066.0,0.0
Dec 31 2024,UniSuper,Balanced,Fixed Income,0,BANK OF QUEENSLAND LTD,,,N/A,,,,,41523454.0,0.0008
Dec 31 2024,UniSuper,Balanced,Fixed Income,0,BANQUE FEDERATIVE DU CREDIT MUTUEL SA,,,N/A,,,,,3562005.0,0.0001
Dec 31 2024,UniSuper,Balanced,Fixed Income,0,BARCLAYS PLC,,,N/A,,,,,4074099.0,0.0001
Dec 31 2024,UniSuper,Balanced,Fixed Income,0,BENDIGO AND ADELAIDE BANK LIMITED,,,N/A,,,,,90605361.0,0.0017
Dec 31 2024,UniSuper,Balanced,Fixed Income,0,BNP PARIBAS SA,,,N/A,,,,,33325240.0,0.0006
Dec 31 2024,UniSuper,Balanced,Fixed Income,0,BPCE SA,,,N/A,,,,,7423542.0,0.0001
Dec 31 2024,UniSuper,Balanced,Fixed Income,0,CHARTER HALL EXCHANGE FINANCE PTY LTD,,,N/A,,,,,960592.0,0.0
Dec 31 2024,UniSuper,Balanced,Fixed Income,0,CHARTER HALL LWR PTY LTD,,,N/A,,,,,2128754.0,0.0
Dec 31 2024,UniSuper,Balanced,Fixed Income,0,CHC FINANCE PTY LTD,,,N/A,,,,,15270.0,0.0
Dec 31 2024,UniSuper,Balanced,Fixed Income,0,CHORUS LTD,,,N/A,,,,,1642320.0,0.0
Dec 31 2024,UniSuper,Balanced,Fixed Income,0,CNH INDUSTRIAL CAPITAL AUSTRALIA PTY LTD,,,N/A,,,,,2179186.0,0.0
Dec 31 2024,UniSuper,Balanced,Fixed Income,0,COLES GROUP TREASURY PTY LTD,,,N/A,,,,,6507623.0,0.0001
Dec 31 2024,UniSuper,Balanced,Fixed Income,0,COMMONWEALTH BANK OF AUSTRALIA,,,N/A,,,,,226413550.0,0.0043
Dec 31 2024,UniSuper,Balanced,Fixed Income,0,COMPUTERSHARE US INC,,,N/A,,,,,2318208.0,0.0
Dec 31 2024,UniSuper,Balanced,Fixed Income,0,CONNECTEAST FINANCE PTY LTD,,,N/A,,,,,4030347.0,0.0001
Dec 31 2024,UniSuper,Balanced,Fixed Income,0,CONQUEST 2022-1 TRUST,,,N/A,,,,,746694.0,0.0
Dec 31 2024,UniSuper,Balanced,Fixed Income,0,CONQUEST 2023-2 TRUST,,,N/A,,,,,788800.0,0.0
Dec 31 2024,UniSuper,Balanced,Fixed Income,0,CONQUEST 2024-1 TRUST,,,N/A,,,,,2262004.0,0.0
Dec 31 2024,UniSuper,Balanced,Fixed Income,0,CONTACT ENERGY LTD,,,N/A,,,,,2706737.0,0.0001
Dec 31 2024,UniSuper,Balanced,Fixed Income,0,COOPERATIEVE RABOBANK UA,,,N/A,,,,,3356455.0,0.0001
Dec 31 2024,UniSuper,Balanced,Fixed Income,0,COOPERATIEVE RABOBANK UA (SYDNEY BRANCH),,,N/A,,,,,4703068.0,0.0001
Dec 31 2024,UniSuper,Balanced,Fixed Income,0,CPIF FINANCE PTY LTD,,,N/A,,,,,1614006.0,0.0
Dec 31 2024,UniSuper,Balanced,Fixed Income,0,CREDIT AGRICOLE SA,,,N/A,,,,,15505801.0,0.0003
Dec 31 2024,UniSuper,Balanced,Fixed Income,0,DBL FUNDING TRUST NO. 1 SALUTE SERIES 2024-1,,,N/A,,,,,2321390.0,0.0
Dec 31 2024,UniSuper,Balanced,Fixed Income,0,DBNGP FINANCE CO PTY LTD,,,N/A,,,,,758009.0,0.0
Dec 31 2024,UniSuper,Balanced,Fixed Income,0,DBS BANK LTD (SYDNEY BRANCH),,,N/A,,,,,2300653.0,0.0
Dec 31 2024,UniSuper,Balanced,Fixed Income,0,DEUTSCHE BAHN FINANCE GMBH,,,N/A,,,,,7526561.0,0.0001
Dec 31 2024,UniSuper,Balanced,Fixed Income,0,DEXUS WHOLESALE PROPERTY FUND,,,N/A,,,,,59330.0,0.0
Dec 31 2024,UniSuper,Balanced,Fixed Income,0,DWPF FINANCE PTY LTD,,,N/A,,,,,2581601.0,0.0
Dec 31 2024,UniSuper,Balanced,Fixed Income,0,ELECTRANET PTY LTD,,,N/A,,,,,119394.0,0.0
Dec 31 2024,UniSuper,Balanced,Fixed Income,0,ENBW INTERNATIONAL FINANCE BV,,,N/A,,,,,5893197.0,0.0001
