Effective Date,Fund Name,Option Name,Asset Class Name,Int/Ext,Name/Kind of Investment Item,Currency,Stock ID,ID Type,Listed Country,Units Held,% Ownership,Address,Value (AUD),Weighting
2024-12-31,Vision Super Fund,Balanced growth,Cash,1,JP Morgan Chase,AUD,,N/A,,,,,-27694955.51,-0.0038
2024-12-31,Vision Super Fund,Balanced growth,Cash,1,AUSTRALIA & NEW ZEALAND BANKING GROUP LTD,AUD,,N/A,,,,,4079515.22,0.0006
2024-12-31,Vision Super Fund,Balanced growth,Cash,1,CITI GROUP,USD,,N/A,,,,,446108.0425,0.0001
2024-12-31,Vision Super Fund,Balanced growth,Cash,1,Citibank,AUD,,N/A,,,,,110097.636,0.0
2024-12-31,Vision Super Fund,Balanced growth,Cash,1,COMMONWEALTH BANK OF AUSTRALIA,AUD,,N/A,,,,,76540348.17,0.0106
2024-12-31,Vision Super Fund,Balanced growth,Cash,1,CREDIT AGRICOLE CORP,USD,,N/A,,,,,22078.4401,0.0
2024-12-31,Vision Super Fund,Balanced growth,Cash,1,FINISTERRE EMD TRF,AUD,,N/A,,,,,46840409.68,0.0065
2024-12-31,Vision Super Fund,Balanced growth,Cash,1,FINISTERRE EMD TRF,BRL,,N/A,,,,,-2025471.676,-0.0003
2024-12-31,Vision Super Fund,Balanced growth,Cash,1,FINISTERRE EMD TRF,CLP,,N/A,,,,,522578.2433,0.0001
2024-12-31,Vision Super Fund,Balanced growth,Cash,1,FINISTERRE EMD TRF,CNH,,N/A,,,,,-3676120.725,-0.0005
2024-12-31,Vision Super Fund,Balanced growth,Cash,1,FINISTERRE EMD TRF,CZK,,N/A,,,,,-3606.6793,0.0
2024-12-31,Vision Super Fund,Balanced growth,Cash,1,FINISTERRE EMD TRF,EGP,,N/A,,,,,703074.0965,0.0001
2024-12-31,Vision Super Fund,Balanced growth,Cash,1,FINISTERRE EMD TRF,EUR,,N/A,,,,,-3343050.302,-0.0005
2024-12-31,Vision Super Fund,Balanced growth,Cash,1,FINISTERRE EMD TRF,HUF,,N/A,,,,,0.0,0.0
2024-12-31,Vision Super Fund,Balanced growth,Cash,1,FINISTERRE EMD TRF,ILS,,N/A,,,,,1294277.291,0.0002
2024-12-31,Vision Super Fund,Balanced growth,Cash,1,FINISTERRE EMD TRF,INR,,N/A,,,,,-1500839.954,-0.0002
2024-12-31,Vision Super Fund,Balanced growth,Cash,1,FINISTERRE EMD TRF,MXN,,N/A,,,,,-1751776.865,-0.0002
2024-12-31,Vision Super Fund,Balanced growth,Cash,1,FINISTERRE EMD TRF,NGN,,N/A,,,,,661958.7437,0.0001
2024-12-31,Vision Super Fund,Balanced growth,Cash,1,FINISTERRE EMD TRF,PEN,,N/A,,,,,-1280737.558,-0.0002
2024-12-31,Vision Super Fund,Balanced growth,Cash,1,FINISTERRE EMD TRF,PLN,,N/A,,,,,-1200555.009,-0.0002
2024-12-31,Vision Super Fund,Balanced growth,Cash,1,FINISTERRE EMD TRF,THB,,N/A,,,,,-766039.1237,-0.0001
2024-12-31,Vision Super Fund,Balanced growth,Cash,1,FINISTERRE EMD TRF,TRY,,N/A,,,,,1492675.389,0.0002
2024-12-31,Vision Super Fund,Balanced growth,Cash,1,FINISTERRE EMD TRF,USD,,N/A,,,,,-30328902.55,-0.0042
2024-12-31,Vision Super Fund,Balanced growth,Cash,1,FINISTERRE EMD TRF,ZAR,,N/A,,,,,-1134470.332,-0.0002
2024-12-31,Vision Super Fund,Balanced growth,Cash,1,FINISTERRE EMD TRF,ZMW,,N/A,,,,,108501.0955,0.0
2024-12-31,Vision Super Fund,Balanced growth,Cash,1,Generation Investment Management LLP,USD,,N/A,,,,,99531.5846,0.0
2024-12-31,Vision Super Fund,Balanced growth,Cash,1,HSBC,USD,,N/A,,,,,247837.798,0.0
2024-12-31,Vision Super Fund,Balanced growth,Cash,1,IFM Investors Pty Ltd,AUD,,N/A,,,,,9859013.319,0.0014
2024-12-31,Vision Super Fund,Balanced growth,Cash,1,IFM Investors Pty Ltd,USD,,N/A,,,,,-6533076.62,-0.0009
2024-12-31,Vision Super Fund,Balanced growth,Cash,1,International equities transition account,AUD,,N/A,,,,,53672.3707,0.0
2024-12-31,Vision Super Fund,Balanced growth,Cash,1,ISPT Pty Ltd,AUD,,N/A,,,,,3826125.566,0.0005
2024-12-31,Vision Super Fund,Balanced growth,Cash,1,JP Morgan Chase,AUD,,N/A,,,,,83430408.82,0.0116
2024-12-31,Vision Super Fund,Balanced growth,Cash,1,JP Morgan Chase,BRL,,N/A,,,,,133029.7574,0.0
