Effective Date,Option,Asset Class,Internal/External,Name/kind of investment item,Units,Value (AUD),Weighting,% Ownership / Property Held,Currency,Security Identifier
31/12/2024,Balanced Growth,Cash,,JPMorgan Chase & Co,,90349.30802,0.0000013,,AED,
31/12/2024,Balanced Growth,Cash,,JPMorgan Chase & Co,,11705.31485,0.00000017,,ARS,
31/12/2024,Balanced Growth,Cash,,Australia Government Bond,,384994668.1,0.00555518,,AUD,
31/12/2024,Balanced Growth,Cash,,Australia & New Zealand Banking Group Ltd,,515530908.1,0.00743872,,AUD,
31/12/2024,Balanced Growth,Cash,,Bank of America Corp,,-7214699.672,-0.0001041,,AUD,
31/12/2024,Balanced Growth,Cash,,Bank of Nova Scotia/Australia,,110758384.4,0.00159816,,AUD,
31/12/2024,Balanced Growth,Cash,,Bank of Queensland Ltd,,15799693.63,0.00022798,,AUD,
31/12/2024,Balanced Growth,Cash,,Barclays Bank PLC,,-4108203.428,-0.00005928,,AUD,
31/12/2024,Balanced Growth,Cash,,Bendigo & Adelaide Bank Ltd,,188010733,0.00271285,,AUD,
31/12/2024,Balanced Growth,Cash,,Canadian Imperial Bank of Commerce/Sydney,,44673772.49,0.00064461,,AUD,
31/12/2024,Balanced Growth,Cash,,Citigroup Inc,,141581188.6,0.00204291,,AUD,
31/12/2024,Balanced Growth,Cash,,Commonwealth Bank of Australia,,983688071,0.01419387,,AUD,
31/12/2024,Balanced Growth,Cash,,Cooperatieve Rabobank UA/Australia,,208210880.1,0.00300432,,AUD,
31/12/2024,Balanced Growth,Cash,,Credit Union Australia Ltd,,152498231.1,0.00220043,,AUD,
31/12/2024,Balanced Growth,Cash,,DBS Bank Ltd/Australia,,39909531.06,0.00057586,,AUD,
31/12/2024,Balanced Growth,Cash,,Defence Bank Ltd,,26860231.69,0.00038757,,AUD,
31/12/2024,Balanced Growth,Cash,,Goldman Sachs Group Inc/The,,-1684607.259,-0.00002431,,AUD,
31/12/2024,Balanced Growth,Cash,,Great Southern Bank,,2501680.711,0.0000361,,AUD,
31/12/2024,Balanced Growth,Cash,,Heritage and People's Choice Ltd,,23724533.92,0.00034233,,AUD,
31/12/2024,Balanced Growth,Cash,,HSBC Holdings PLC,,-10882894.78,-0.00015703,,AUD,
31/12/2024,Balanced Growth,Cash,,IMB Ltd,,20616376.5,0.00029748,,AUD,
31/12/2024,Balanced Growth,Cash,,ING Bank Australia Ltd,,15627794.84,0.0002255,,AUD,
31/12/2024,Balanced Growth,Cash,,JPMorgan Chase & Co,,436110167.9,0.00629274,,AUD,
31/12/2024,Balanced Growth,Cash,,Macquarie Bank Ltd,,111738493.2,0.0016123,,AUD,
31/12/2024,Balanced Growth,Cash,,Macquarie Group Ltd,,121052083.2,0.00174669,,AUD,
31/12/2024,Balanced Growth,Cash,,Merrill Lynch & Co,,-119487.9809,-0.00000172,,AUD,
31/12/2024,Balanced Growth,Cash,,Mitsubishi UFJ Financial Group Inc,,37461505.9,0.00054054,,AUD,
31/12/2024,Balanced Growth,Cash,,Mizuho Bank Ltd/Sydney,,58263612.8,0.0008407,,AUD,
31/12/2024,Balanced Growth,Cash,,MSI Banking,,-0.04,0,,AUD,
31/12/2024,Balanced Growth,Cash,,MUFG Bank Ltd/Sydney,,109137863,0.00157478,,AUD,
31/12/2024,Balanced Growth,Cash,,National Australia Bank Ltd,,915738269.6,0.0132134,,AUD,
31/12/2024,Balanced Growth,Cash,,NBN Co Ltd,,164621536.6,0.00237536,,AUD,
31/12/2024,Balanced Growth,Cash,,Newcastle Greater Mutual Group Ltd,,43484230.41,0.00062744,,AUD,
31/12/2024,Balanced Growth,Cash,,Norfina Ltd,,175157601.3,0.00252739,,AUD,
31/12/2024,Balanced Growth,Cash,,Oversea-Chinese Banking Corp Ltd,,11972859.32,0.00017276,,AUD,
31/12/2024,Balanced Growth,Cash,,Police & Nurses Ltd,,85803883.1,0.00123808,,AUD,
31/12/2024,Balanced Growth,Cash,,Royal Bank of Canada,,165887369.2,0.00239363,,AUD,
31/12/2024,Balanced Growth,Cash,,Standard Chartered PLC,,35918577.96,0.00051828,,AUD,
31/12/2024,Balanced Growth,Cash,,State Street Corp,,-1869206.097,-0.00002697,,AUD,
31/12/2024,Balanced Growth,Cash,,Sumitomo Mitsui Banking Corp/Sydney,,425390949.5,0.00613807,,AUD,
31/12/2024,Balanced Growth,Cash,,Suncorp Bank,,100349157.5,0.00144796,,AUD,
31/12/2024,Balanced Growth,Cash,,Teachers Mutual Bank Ltd,,59125637.75,0.00085314,,AUD,
31/12/2024,Balanced Growth,Cash,,UBS AG/Australia,,141016930.2,0.00203477,,AUD,
31/12/2024,Balanced Growth,Cash,,UBS Group AG,,-464702.2714,-0.00000671,,AUD,
31/12/2024,Balanced Growth,Cash,,United Overseas Bank Ltd/Sydney,,45580110.09,0.00065769,,AUD,
31/12/2024,Balanced Growth,Cash,,Warburg Dillon,,1912579.339,0.0000276,,AUD,
31/12/2024,Balanced Growth,Cash,,Westpac Banking Corp,,706608942.6,0.01019583,,AUD,
31/12/2024,Balanced Growth,Cash,,JPMorgan Chase & Co,,1578112.644,0.00002277,,BRL,
31/12/2024,Balanced Growth,Cash,,Barclays Bank PLC,,931741.6871,0.00001344,,CAD,
31/12/2024,Balanced Growth,Cash,,Citigroup Inc,,-2124742.629,-0.00003066,,CAD,
31/12/2024,Balanced Growth,Cash,,Goldman Sachs Group Inc/The,,-330665.9216,-0.00000477,,CAD,
31/12/2024,Balanced Growth,Cash,,JPMorgan Chase & Co,,3578515.757,0.00005164,,CAD,
31/12/2024,Balanced Growth,Cash,,Merrill Lynch & Co,,-21547.04079,-0.00000031,,CAD,
31/12/2024,Balanced Growth,Cash,,Barclays Bank PLC,,53857.00753,0.00000078,,CHF,
31/12/2024,Balanced Growth,Cash,,CIT Bank,,2.058948,0,,CHF,
31/12/2024,Balanced Growth,Cash,,JPMorgan Chase & Co,,11842456.52,0.00017088,,CHF,
31/12/2024,Balanced Growth,Cash,,JPMorgan Chase & Co,,2528.526675,0.00000004,,CLP,
31/12/2024,Balanced Growth,Cash,,JPMorgan Chase & Co,,-0.008129,0,,CNH,
31/12/2024,Balanced Growth,Cash,,JPMorgan Chase & Co,,98489.43951,0.00000142,,CNY,
31/12/2024,Balanced Growth,Cash,,JPMorgan Chase & Co,,13379.33319,0.00000019,,COP,
31/12/2024,Balanced Growth,Cash,,JPMorgan Chase & Co,,67856.88269,0.00000098,,CZK,
31/12/2024,Balanced Growth,Cash,,JPMorgan Chase & Co,,1384666.916,0.00001998,,DKK,
31/12/2024,Balanced Growth,Cash,,Barclays Bank PLC,,16968171.56,0.00024484,,EUR,
31/12/2024,Balanced Growth,Cash,,Citigroup Inc,,-3006649.441,-0.00004338,,EUR,
31/12/2024,Balanced Growth,Cash,,Credit Suisse Group AG,,0.021826,0,,EUR,
31/12/2024,Balanced Growth,Cash,,Goldman Sachs Group Inc/The,,3353027.439,0.00004838,,EUR,
31/12/2024,Balanced Growth,Cash,,JPMorgan Chase & Co,,30026947.98,0.00043327,,EUR,
31/12/2024,Balanced Growth,Cash,,Macquarie Group Ltd,,4.838243,0,,EUR,
31/12/2024,Balanced Growth,Cash,,Merrill Lynch & Co,,-76161.45925,-0.0000011,,EUR,
31/12/2024,Balanced Growth,Cash,,Morgan Stanley,,-11077.55432,-0.00000016,,EUR,
