INVESTMENT OPTION NAME,Conservative,,,
REPORTING DATE,31/12/2024,,,
PORTFOLIO HOLDINGS INFORMATION,,,,
Schedule 8D,,,,
TABLE 1,,,,
ASSETS,,,,
Portfolio Holdings Information for Conservative - Assets,,,,
CASH,,,,
NAME OF INSTITUTION,,CURRENCY,VALUE (AUD),WEIGHTING (%)
AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED,,AUD,14469,0.00%
BNP PARIBAS SA (AUSTRALIA),,AUD,199688674,5.27%
BNP PARIBAS SA (AUSTRALIA),,BRL,2436,0.00%
BNP PARIBAS SA (AUSTRALIA),,CAD,239029,0.01%
BNP PARIBAS SA (AUSTRALIA),,CHF,16686,0.00%
BNP PARIBAS SA (AUSTRALIA),,CLP,24,0.00%
BNP PARIBAS SA (AUSTRALIA),,CNY,1,0.00%
BNP PARIBAS SA (AUSTRALIA),,DKK,52738,0.00%
BNP PARIBAS SA (AUSTRALIA),,EUR,377753,0.01%
BNP PARIBAS SA (AUSTRALIA),,GBP,551741,0.01%
BNP PARIBAS SA (AUSTRALIA),,HKD,30628,0.00%
BNP PARIBAS SA (AUSTRALIA),,ILS,1053,0.00%
BNP PARIBAS SA (AUSTRALIA),,INR,21260,0.00%
BNP PARIBAS SA (AUSTRALIA),,JPY,157348,0.00%
BNP PARIBAS SA (AUSTRALIA),,KRW,5,0.00%
BNP PARIBAS SA (AUSTRALIA),,NOK,7171,0.00%
BNP PARIBAS SA (AUSTRALIA),,NZD,361,0.00%
BNP PARIBAS SA (AUSTRALIA),,PHP,695,0.00%
BNP PARIBAS SA (AUSTRALIA),,PLN,92,0.00%
BNP PARIBAS SA (AUSTRALIA),,SEK,2645,0.00%
BNP PARIBAS SA (AUSTRALIA),,SGD,18289,0.00%
BNP PARIBAS SA (AUSTRALIA),,TRY,11,0.00%
BNP PARIBAS SA (AUSTRALIA),,TWD,1229,0.00%
BNP PARIBAS SA (AUSTRALIA),,USD,8665431,0.23%
BNP PARIBAS SA (AUSTRALIA),,ZAR,101,0.00%
COMMONWEALTH BANK OF AUSTRALIA,,AUD,293785892,7.75%
HSBC,,AUD,622,0.00%
NATIONAL AUSTRALIA BANK LIMITED,,AUD,114557732,3.02%
WESTPAC BANKING CORPORATION,,AUD,14043880,0.37%
TOTAL,,,632237996,16.68%
FIXED INCOME,,,,
Held directly or by associated entities or by PSTs,,,,
Internally Managed,,,,
NAME OF ISSUER/COUNTERPARTY,,,VALUE (AUD),WEIGHTING (%)
ABA TRUST 2023-1,,,2492194,0.07%
AFG 2022-2 TRUST,,,53441,0.00%
AFG 2023-1 TRUST,,,290785,0.01%
AGI FINANCE PTY LTD,,,3177492,0.08%
AIRSERVICES AUSTRALIA,,,5328276,0.14%
AMP BANK LTD,,,604294,0.02%
AMP LTD,,,216192,0.01%
AMPOL LTD,,,167571,0.00%
ANZ HOLDINGS (NEW ZEALAND) LTD,,,14355224,0.38%
APOLLO SERIES 2018-1 TRUST,,,8997,0.00%
APOLLO SERIES 2023-1 TRUST,,,446405,0.01%
APOLLO SERIES 2024-1 TRUST,,,1815359,0.05%
AQUASURE FINANCE PTY LTD,,,14802471,0.39%
ASX LTD,,,404007,0.01%
AUCKLAND INTERNATIONAL AIRPORT LTD,,,22754,0.00%
AUSGRID FINANCE PTY LTD,,,1640565,0.04%
AUSNET SERVICES HOLDINGS PTY LTD,,,2205728,0.06%
AUSTRALIA AND NEW ZEALAND BANKING GROUP LTD,,,81171453,2.14%
AUSTRALIA PACIFIC AIRPORTS (MELBOURNE) PTY LTD,,,487632,0.01%
"AUSTRALIA, COMMONWEALTH OF (GOVERNMENT)",,,64324826,1.70%
AUSTRALIAN ENERGY MARKET OPERATOR LTD,,,1332255,0.04%
AUSTRALIAN GAS NETWORKS LTD,,,1384690,0.04%
AUSTRALIAN POSTAL CORP,,,545462,0.01%
AUSTRALIAN PRIME PROPERTY FUND COMMERCIAL,,,349584,0.01%
AUSTRALIAN UNITY FUNDS MANAGEMENT LTD,,,1189109,0.03%
"AUSTRALIAN, CAPITAL TERRITORY OF",,,4879843,0.13%
AUSWIDE BANK LTD,,,15136,0.00%
BANCO SANTANDER SA,,,5700577,0.15%
BANK AUSTRALIA LTD,,,692823,0.02%
BANK OF QUEENSLAND LTD,,,60484308,1.60%
BANQUE FEDERATIVE DU CREDIT MUTUEL SA,,,1251186,0.03%
BARCLAYS PLC,,,1418956,0.04%
BENDIGO AND ADELAIDE BANK LIMITED,,,121169945,3.19%
BNP PARIBAS SA,,,11654536,0.31%
BPCE SA,,,2578516,0.07%
CHARTER HALL EXCHANGE FINANCE PTY LTD,,,336003,0.01%
CHARTER HALL LWR PTY LTD,,,747744,0.02%
CHC FINANCE PTY LTD,,,3891,0.00%
CHORUS LTD,,,572378,0.02%
CNH INDUSTRIAL CAPITAL AUSTRALIA PTY LTD,,,759099,0.02%
COLES GROUP TREASURY PTY LTD,,,2285861,0.06%
COMMONWEALTH BANK OF AUSTRALIA,,,84625039,2.23%
COMPUTERSHARE US INC,,,795352,0.02%
CONNECTEAST FINANCE PTY LTD,,,1414280,0.04%
CONQUEST 2022-1 TRUST,,,256229,0.01%
CONQUEST 2023-2 TRUST,,,275618,0.01%
CONQUEST 2024-1 TRUST,,,732164,0.02%
CONTACT ENERGY LTD,,,937049,0.02%
COOPERATIEVE RABOBANK UA,,,1163901,0.03%
COOPERATIEVE RABOBANK UA (SYDNEY BRANCH),,,1651995,0.04%
CPIF FINANCE PTY LTD,,,562910,0.01%
CREDIT AGRICOLE SA,,,5429735,0.14%
DBL FUNDING TRUST NO. 1 SALUTE SERIES 2024-1,,,697971,0.02%
DBNGP FINANCE CO PTY LTD,,,266257,0.01%
DBS BANK LTD (SYDNEY BRANCH),,,808125,0.02%
DEUTSCHE BAHN FINANCE GMBH,,,2643772,0.07%
DEXUS WHOLESALE PROPERTY FUND,,1.30%,15117,0.00%
DWPF FINANCE PTY LTD,,,888317,0.02%
ELECTRANET PTY LTD,,,30422,0.00%
ENBW INTERNATIONAL FINANCE BV,,,2070038,0.05%
ETSA UTILITIES FINANCE PTY LTD,,,419185,0.01%
EXPORT-IMPORT BANK OF KOREA,,,1083602,0.03%
FIRSTMAC MORTGAGE FUNDING TRUST NO. 4 SERIES 2024-1,,,659223,0.02%
FIRSTMAC MORTGAGE FUNDING TRUST NO. 4 SERIES 2024-4,,,641467,0.02%
FIRSTMAC MORTGAGE FUNDING TRUST SERIES 20223-1,,,407081,0.01%
FLINDERS PORT HOLDINGS PTY LTD,,,1138627,0.03%
GAIF BOND ISSUER PTY LTD,,,1162788,0.03%
GOLDMAN SACHS GROUP INC,,,667970,0.02%
GPT RE LTD,,,3744,0.00%
GPT WHOLESALE OFFICE FUND NO1,,,1596722,0.04%
GPT WHOLESALE SHOPPING CENTRE FUND NO 1,,,481313,0.01%
GTA FINANCE COMPANY PTY LIMITED,,,672097,0.02%
HARBOURVEST PARTNERS,,,8344199,0.22%
HEATHROW FUNDING LTD,,,2744075,0.07%
HONGKONG AND SHANGHAI BANKING CORPORATION LTD (SYDNEY BRANCH),,,1625067,0.04%
HSBC HOLDINGS PLC,,,1903859,0.05%
ICPF FINANCE PTY LTD,,,393991,0.01%
ILLAWARRA SERIES 2017-1 RMBS TRUST,,,4332,0.00%
ING BANK (AUSTRALIA) LTD,,,4812676,0.13%
JOHN DEERE FINANCIAL LTD,,,1428556,0.04%
KINGFISHER TRUST 2016-1,,,1115,0.00%
KIWIBANK LTD,,,1024407,0.03%
KOREA HOUSING FINANCE CORP,,,1332634,0.04%
LIGHT TRUST 2019-1,,,5648,0.00%
LIGHT TRUST 2023-1,,,9675,0.00%
LIGHT TRUST 2024-1,,,1575246,0.04%
LION SERIES 2024-1 TRUST,,,1366713,0.04%
LLITST FINANCE PTY LTD,,,555992,0.01%
LLOYDS BANKING GROUP PLC,,,4473560,0.12%
LONSDALE FINANCE PTY LTD,,,3386088,0.09%
MACQUARIE BANK LTD,,,4629172,0.12%
MEDALLION TRUST SERIES 2019-1,,,4231,0.00%
MEDALLION TRUST SERIES 2023-2,,,28807,0.00%
MIRVAC GROUP FINANCE LTD,,,960935,0.03%
MIZUHO BANK LTD (SYDNEY BRANCH),,,401934,0.01%
MIZUHO FINANCIAL GROUP INC,,,1451975,0.04%
MORTGAGE HOUSE RMBS PRIME SERIES 2024-2,,,1351342,0.04%
MORTGAGE HOUSE RMBS SERIES 2022-2,,,13597,0.00%
MPF DELAWARE 1 LTD,,,23611733,0.62%
MPF GENERAL PARTNER,,,48524778,1.28%
NATIONAL AUSTRALIA BANK LIMITED,,,25431178,0.67%
NATIONAL RMBS TRUST 2018-1,,,11381,0.00%
NATIONAL RMBS TRUST 2022-1,,,1344903,0.04%
NATIONAL RMBS TRUST 2024-1,,,900621,0.02%
NATIONWIDE BUILDING SOCIETY,,,2102684,0.06%
NATWEST MARKETS PLC,,,1543871,0.04%
NBN CO LTD,,,10908947,0.29%
NETWORK FINANCE COMPANY PTY LIMITED,,,3190134,0.08%
NEW SOUTH WALES TREASURY CORP,,,27460705,0.72%
NEW TERMINAL FINANCING COMPANY PTY LTD,,,686279,0.02%
NEXTERA ENERGY CAPITAL HOLDINGS INC,,,807797,0.02%
NORFINA LTD,,,8606118,0.23%
NORTHERN TERRITORY TREASURY CORP,,,5101943,0.13%
NSW ELECTRICITY NETWORKS FINANCE PTY LTD,,,1176878,0.03%
NSW PORTS FINANCE CO PTY LTD,,,1339488,0.04%
PERTH AIRPORT PTY LTD,,,318890,0.01%
PROGRESS 2021-1 TRUST,,,12604,0.00%
PROGRESS 2023-2 TRUST,,,1577192,0.04%
PROGRESS 2024-2 TRUST,,,269481,0.01%
PUMA SERIES 2023-1,,,27036,0.00%
QIC FINANCE (TOWN CENTRE FUND) PTY LTD,,,2660078,0.07%
QPH FINANCE CO PTY LTD,,,939899,0.02%
QUBE HOLDINGS LTD,,,1902604,0.05%
QUEENSLAND TREASURY CORP,,,26518569,0.70%
REGION RE LTD,,,438518,0.01%
REGISTRY FINANCE PTY LTD,,,2699972,0.07%
REVOLUTION ASSET MANAGEMENT,,,20991808,0.55%
ROYAL BANK OF CANADA,,,1093542,0.03%
SCENTRE GROUP TRUST 1,,,2729621,0.07%
SERIES 2017-1 HARVEY TRUST,,,2854,0.00%
SERIES 2018-1 REDS TRUST,,,12525,0.00%
SERIES 2023-1 REDS TRUST,,,379456,0.01%
SERIES 2024-1 REDS TRUST,,,1218376,0.03%
SERIES 2024-2 WST TRUST,,,2941872,0.08%
SGSP (AUSTRALIA) ASSETS PTY LTD,,,905605,0.02%
SMHL SERIES SECURITISATION FUND 2019-1,,,37952,0.00%
SOCIETE GENERALE SA,,,903826,0.02%
SOUTH AUSTRALIAN GOVERNMENT FINANCING AUTHORITY,,,8578285,0.23%
SPARK FINANCE LTD,,,1277173,0.03%
STOCKLAND TRUST MANAGEMENT LTD,,,1117078,0.03%
SUNCORP-METWAY LTD,,,22548432,0.59%
TASMANIAN PUBLIC FINANCE CORP,,,714441,0.02%
TEACHERS MUTUAL BANK LTD,,,415024,0.01%
TELSTRA GROUP LTD,,,1794702,0.05%
TORONTO-DOMINION BANK,,,3997882,0.11%
TORRENS SERIES 2021-1 TRUST,,,2381,0.00%
TRANSPOWER NEW ZEALAND LTD,,,907335,0.02%
TRANSURBAN QUEENSLAND FINANCE PTY LTD,,,35983,0.00%
TREASURY CORPORATION OF VICTORIA,,,44852022,1.18%
TRITON BOND TRUST 2021-2,,,8471,0.00%
TRITON BOND TRUST 2023-1,,,21814,0.00%
TRITON BOND TRUST 2024-1,,,2031165,0.05%
TRITON BOND TRUST 2024-3,,,432591,0.01%
UBS AG (SYDNEY BRANCH),,,2231841,0.06%
UNITED ENERGY DISTRIBUTION PTY LTD,,,1001033,0.03%
VERIZON COMMUNICATIONS INC,,,472140,0.01%
VICINITY CENTRES RE LTD,,,1961639,0.05%
VICINITY CENTRES TRUST,,,1988564,0.05%
VICTORIA POWER NETWORKS (FINANCE) PTY LTD,,,491453,0.01%
WELLS FARGO & CO,,,1256387,0.03%
WESFARMERS LTD,,,912437,0.02%
WESTCONNEX FINANCE COMPANY PTY LTD,,,647497,0.02%
WESTERN AUSTRALIAN TREASURY CORP,,,1164172,0.03%
WESTPAC BANKING CORPORATION,,,35932002,0.95%
WOOLWORTHS GROUP LTD,,,2761351,0.07%
WSO FINANCE PTY LTD,,,1864000,0.05%
