Table 1 – Assets,,,,
,,,,
Portfolio Holdings Information for Investment Option [Accumulation - Balanced]—Assets,,,,
,,,Value (AUD),Weighting (%)
Cash,,,,
Name of Institution,Currency,,Value (AUD) ,Weighting (%)
Australia and New Zealand Banking Group,AUD,,"110,893,396",0.26%
Bank of America Merrill Lynch,AUD,,"2,160,863",0.01%
Bank of America Merrill Lynch,USD,,"-860,394",0.00%
Bank of New York Mellon,USD,,"351,428",0.00%
The Bank Of Nova Scotia,AUD,,"140,846,685",0.33%
Bank of Queensland,AUD,,"127,249,299",0.30%
Barclays Bank,AUD,,"107,590",0.00%
Barclays Bank,CAD,,"-76,536",0.00%
Barclays Bank,EUR,,"-662,516",0.00%
Barclays Bank,GBP,,"847,820",0.00%
Barclays Bank,ILS,,47,0.00%
Barclays Bank,JPY,,"-319,087",0.00%
Barclays Bank,NZD,,"-10,377",0.00%
Barclays Bank,SEK,,"17,608",0.00%
Barclays Bank,SGD,,"23,101",0.00%
Barclays Bank,THB,,"1,341",0.00%
Barclays Bank,USD,,"6,815,139",0.02%
Bendigo and Adelaide Bank,AUD,,"109,399,820",0.26%
BNP Paribas,USD,,"5,127,220",0.01%
Canadian Imperial Bank of Commerce,AUD,,"179,177,870",0.42%
Challenger,AUD,,"46,095,867",0.11%
Citigroup,AUD,,"35,277,182",0.08%
Citigroup,CAD,,"-8,079",0.00%
Citigroup,EUR,,"-255,336",0.00%
Citigroup,GBP,,"136,499",0.00%
Citigroup,JPY,,"44,753",0.00%
Citigroup,USD,,"5,453,846",0.01%
Commonwealth Bank Of Australia,AUD,,"286,532,906",0.68%
Credit Agricole,AUD,,"179,606,716",0.42%
Credit Union Australia,AUD,,"30,690,135",0.07%
Cuscal,AUD,,"3,701,202",0.01%
DBS Bank Ltd,AUD,,"177,978,745",0.42%
Deutsche Bank,USD,,"1,381,477",0.00%
Goldman Sachs,AUD,,"1,095,438",0.00%
Goldman Sachs,USD,,"-10,227,299",-0.02%
HSBC Bank,CHF,,"4,772",0.00%
HSBC Bank,EUR,,"184,889",0.00%
HSBC Bank,GBP,,"42,778",0.00%
HSBC Bank,JPY,,"48,500",0.00%
HSBC Bank,USD,,"1,685,769",0.00%
ING Bank (Australia),AUD,,"171,379,074",0.40%
JP Morgan Chase & Co,AED,,706,0.00%
JP Morgan Chase & Co,AUD,,"532,686,006",1.26%
JP Morgan Chase & Co,BRL,,"225,189",0.00%
JP Morgan Chase & Co,CAD,,"1,333,927",0.00%
JP Morgan Chase & Co,CHF,,"401,752",0.00%
JP Morgan Chase & Co,CNH,,"-131,396,730",-0.31%
JP Morgan Chase & Co,CNY,,"132,330,249",0.31%
JP Morgan Chase & Co,COP,,-4,0.00%
JP Morgan Chase & Co,CZK,,"1,459,488",0.00%
JP Morgan Chase & Co,DKK,,"98,042",0.00%
JP Morgan Chase & Co,EUR,,"6,140,744",0.01%
JP Morgan Chase & Co,GBP,,"2,454,679",0.01%
JP Morgan Chase & Co,HKD,,"1,592,797",0.00%
JP Morgan Chase & Co,HUF,,"61,022",0.00%
