Hostplus Superannuation Fund,,,,
HC Balanced - Class A Option,,,,
,,,,
Table 1 - Assets,,,,
,,,,
Portfolio Holdings Information for Investment Option HC Balanced - Class A Option —Assets,,,Summary,
Cash,,,,
Name of Institution,Currency,,Value (AUD),Weighting (%)
ANZ Group Holdings Ltd,AUD,,"385,468,004",0.47%
Bank of America,USD,,"68,476",0.00%
Bank of Queensland,AUD,,"75,237,667",0.09%
Barclays Bank,USD,,"639,893",0.00%
BNP Paribas,AUD,,"78,669",0.00%
BNP Paribas,USD,,"-4,922,222",-0.01%
BNSC,AUD,,"62,138,414",0.08%
Citigroup Inc,AUD,,"983,096,649",1.20%
Citigroup Inc,BRL,,"1,858,172",0.00%
Citigroup Inc,CAD,,"22,032,049",0.03%
Citigroup Inc,CHF,,"21,706,507",0.03%
Citigroup Inc,CNH,,"3,886,278",0.00%
Citigroup Inc,CZK,,0,0.00%
Citigroup Inc,DKK,,"1,631,517",0.00%
Citigroup Inc,EUR,,"118,569,077",0.15%
Citigroup Inc,GBP,,"47,380,724",0.06%
Citigroup Inc,HKD,,"3,634,244",0.00%
Citigroup Inc,HUF,,1,0.00%
Citigroup Inc,IDR,,"827,086",0.00%
Citigroup Inc,ILS,,"8,504",0.00%
Citigroup Inc,INR,,"229,162",0.00%
Citigroup Inc,JPY,,"39,527,929",0.05%
Citigroup Inc,KRW,,"45,553",0.00%
Citigroup Inc,MXN,,"66,212",0.00%
Citigroup Inc,MYR,,3,0.00%
Citigroup Inc,NOK,,"18,815",0.00%
Citigroup Inc,NZD,,"219,582",0.00%
Citigroup Inc,PHP,,2,0.00%
Citigroup Inc,PLN,,"13,348",0.00%
Citigroup Inc,SEK,,"202,765",0.00%
Citigroup Inc,SGD,,"2,333,800",0.00%
Citigroup Inc,TRY,,118,0.00%
Citigroup Inc,TWD,,"1,200,558",0.00%
Citigroup Inc,USD,,"1,512,849,775",1.85%
Citigroup Inc,VND,,"106,157",0.00%
Citigroup Inc,ZAR,,"82,666",0.00%
Commonwealth Bank,AUD,,"61,656,130",0.08%
DBS Bank,AUD,,"96,543,495",0.12%
Goldman Sachs & Co,AUD,,"1,540,966",0.00%
HSBC,AUD,,"97,592",0.00%
JP Morgan Chase,EUR,,-1,0.00%
JP Morgan Chase,USD,,"3,354,384",0.00%
Macquarie Bank,AUD,,"17,823,371",0.02%
Macquarie Bank,CAD,,"53,061",0.00%
Macquarie Bank,CHF,,-54,0.00%
Macquarie Bank,EUR,,"75,461",0.00%
Macquarie Bank,GBP,,"-8,021",0.00%
Macquarie Bank,HKD,,"-1,910",0.00%
Macquarie Bank,JPY,,"35,944",0.00%
Macquarie Bank,SGD,,9,0.00%
Macquarie Bank,USD,,"436,173",0.00%
Metway Bank,AUD,,"203,767,584",0.25%
Mizuho Financial Group Inc,AUD,,"14,013,735",0.02%
Morgan Stanley & Co,AUD,,"10,843,112",0.01%
Morgan Stanley & Co,USD,,"401,396",0.00%
NAB,AUD,,"41,144,289",0.05%
National Australia Bank Ltd,AUD,,"103,791,304",0.13%
