Effective Date,Fund Name,Option Name,Asset Class Name,Int/Ext,Name/Kind of Investment Item,Currency,Stock ID,Listed Country,Units Held,% Ownership,Address,Value (AUD),Weighting (%)
31/12/2024,HESTA,Balanced Growth,Cash,1,JPMorgan Chase & Co,AED,,,,,,90349.30802,0.00013000000000000002
31/12/2024,HESTA,Balanced Growth,Cash,1,JPMorgan Chase & Co,ARS,,,,,,11705.31485,1.7e-05
31/12/2024,HESTA,Balanced Growth,Cash,1,Australia Government Bond,AUD,,,,,,384994668.1,0.555518
31/12/2024,HESTA,Balanced Growth,Cash,1,Australia & New Zealand Banking Group Ltd,AUD,,,,,,515530908.1,0.743872
31/12/2024,HESTA,Balanced Growth,Cash,1,Bank of America Corp,AUD,,,,,,-7214699.672,-0.010409999999999999
31/12/2024,HESTA,Balanced Growth,Cash,1,Bank of Nova Scotia/Australia,AUD,,,,,,110758384.4,0.15981599999999999
31/12/2024,HESTA,Balanced Growth,Cash,1,Bank of Queensland Ltd,AUD,,,,,,15799693.63,0.022798
31/12/2024,HESTA,Balanced Growth,Cash,1,Barclays Bank PLC,AUD,,,,,,-4108203.428,-0.005928
31/12/2024,HESTA,Balanced Growth,Cash,1,Bendigo & Adelaide Bank Ltd,AUD,,,,,,188010733.0,0.271285
31/12/2024,HESTA,Balanced Growth,Cash,1,Canadian Imperial Bank of Commerce/Sydney,AUD,,,,,,44673772.49,0.064461
31/12/2024,HESTA,Balanced Growth,Cash,1,Citigroup Inc,AUD,,,,,,141581188.6,0.20429100000000003
31/12/2024,HESTA,Balanced Growth,Cash,1,Commonwealth Bank of Australia,AUD,,,,,,983688071.0,1.4193870000000002
31/12/2024,HESTA,Balanced Growth,Cash,1,Cooperatieve Rabobank UA/Australia,AUD,,,,,,208210880.1,0.300432
31/12/2024,HESTA,Balanced Growth,Cash,1,Credit Union Australia Ltd,AUD,,,,,,152498231.1,0.22004300000000002
31/12/2024,HESTA,Balanced Growth,Cash,1,DBS Bank Ltd/Australia,AUD,,,,,,39909531.06,0.057586
31/12/2024,HESTA,Balanced Growth,Cash,1,Defence Bank Ltd,AUD,,,,,,26860231.69,0.038757
31/12/2024,HESTA,Balanced Growth,Cash,1,Goldman Sachs Group Inc/The,AUD,,,,,,-1684607.259,-0.002431
31/12/2024,HESTA,Balanced Growth,Cash,1,Great Southern Bank,AUD,,,,,,2501680.711,0.0036100000000000004
31/12/2024,HESTA,Balanced Growth,Cash,1,Heritage and People's Choice Ltd,AUD,,,,,,23724533.92,0.034233
31/12/2024,HESTA,Balanced Growth,Cash,1,HSBC Holdings PLC,AUD,,,,,,-10882894.78,-0.015703
31/12/2024,HESTA,Balanced Growth,Cash,1,IMB Ltd,AUD,,,,,,20616376.5,0.029747999999999997
31/12/2024,HESTA,Balanced Growth,Cash,1,ING Bank Australia Ltd,AUD,,,,,,15627794.84,0.02255
31/12/2024,HESTA,Balanced Growth,Cash,1,JPMorgan Chase & Co,AUD,,,,,,436110167.9,0.629274
31/12/2024,HESTA,Balanced Growth,Cash,1,Macquarie Bank Ltd,AUD,,,,,,111738493.2,0.16123
31/12/2024,HESTA,Balanced Growth,Cash,1,Macquarie Group Ltd,AUD,,,,,,121052083.2,0.174669
31/12/2024,HESTA,Balanced Growth,Cash,1,Merrill Lynch & Co,AUD,,,,,,-119487.9809,-0.000172
31/12/2024,HESTA,Balanced Growth,Cash,1,Mitsubishi UFJ Financial Group Inc,AUD,,,,,,37461505.9,0.054054000000000005
31/12/2024,HESTA,Balanced Growth,Cash,1,Mizuho Bank Ltd/Sydney,AUD,,,,,,58263612.8,0.08407
31/12/2024,HESTA,Balanced Growth,Cash,1,MSI Banking,AUD,,,,,,-0.04,0.0
31/12/2024,HESTA,Balanced Growth,Cash,1,MUFG Bank Ltd/Sydney,AUD,,,,,,109137863.0,0.157478
31/12/2024,HESTA,Balanced Growth,Cash,1,National Australia Bank Ltd,AUD,,,,,,915738269.6,1.32134
31/12/2024,HESTA,Balanced Growth,Cash,1,NBN Co Ltd,AUD,,,,,,164621536.6,0.237536
31/12/2024,HESTA,Balanced Growth,Cash,1,Newcastle Greater Mutual Group Ltd,AUD,,,,,,43484230.41,0.06274400000000001
31/12/2024,HESTA,Balanced Growth,Cash,1,Norfina Ltd,AUD,,,,,,175157601.3,0.252739
31/12/2024,HESTA,Balanced Growth,Cash,1,Oversea-Chinese Banking Corp Ltd,AUD,,,,,,11972859.32,0.017276
31/12/2024,HESTA,Balanced Growth,Cash,1,Police & Nurses Ltd,AUD,,,,,,85803883.1,0.12380799999999999
31/12/2024,HESTA,Balanced Growth,Cash,1,Royal Bank of Canada,AUD,,,,,,165887369.2,0.239363
31/12/2024,HESTA,Balanced Growth,Cash,1,Standard Chartered PLC,AUD,,,,,,35918577.96,0.051828
